Country,"Country
Code","Max 
 Cases",Logistic,,,Bertalanffy,,,Gompertz,,,Poisson,,,Second Wave,Infection Decreasing,,fit_logit,fit_bert,fit_gomp,nfit
,,,a,b,c,a,b,c,a,b,c,log_a,b,c,,,,,,,
United_States_of_America,USA,3970906,3040427,5.141,0.043,4266376,0.017,7.608,3862608,11.234,0.021,,,,,,,1,1,1,3
Brazil,BRA,2227514,2448450,6.900,0.057,8825482,0.013,8.213,6157749,13.553,0.018,,,,,,,1,1,1,3
India,IND,1238635,1713194,8.278,0.050,508205622,0.003,6.409,20594825,14.895,0.009,,,,,,,1,1,1,3
Russia,RUS,789190,713806,7.389,0.064,860427,0.032,33.794,850737,37.904,0.033,,,,,,,1,1,1,3
South_Africa,ZAF,394948,1996219,8.770,0.054,NA,NA,NA,NA,NA,NA,,,,,,,1,0,0,1
Peru,PER,366550,332964,5.642,0.064,450438,0.027,9.896,429183,13.112,0.030,,,,,,,1,1,1,3
Mexico,MEX,362274,398451,6.159,0.053,2097036,0.009,5.549,1057041,10.649,0.016,,,,,,,1,1,1,3
Chile,CHL,336402,363322,7.381,0.072,568340,0.027,18.467,553176,22.076,0.029,,,,,,,1,1,1,3
United_Kingdom,GBR,326628,307492,6.471,0.073,324159,0.044,34.677,323345,37.551,0.045,,,,,,,1,1,1,3
Iran,IRN,281413,302452,3.190,0.032,NA,NA,NA,440041,4.263,0.014,,,,,,,1,0,1,2
Pakistan,PAK,269191,308062,6.998,0.063,694497,0.018,10.531,610639,14.923,0.021,,,,,,,1,1,1,3
Spain,ESP,268636,240580,6.995,0.111,244657,0.072,62.961,244531,66.045,0.073,,,,,,,1,1,1,3
Saudi_Arabia,SAU,258156,304889,5.397,0.049,1357109,0.008,4.355,662367,8.803,0.016,,,,,,,1,1,1,3
Italy,ITA,245180,234912,5.715,0.087,240164,0.056,25.996,239854,28.357,0.057,,,,,,,1,1,1,3
Turkey,TUR,222402,188073,3.302,0.074,203691,0.038,3.613,197331,5.629,0.046,,,,,,,1,1,1,3
Colombia,COL,218428,437051,6.749,0.047,NA,NA,NA,113800064,13.051,0.005,,,,,,,1,0,1,2
