Date,Cases,Difference,Case_Type,Country_Region,Days_after_First_Cases
2020-01-20,1,1,Confirmed,전국(지역),1
2020-01-21,1,0,Confirmed,전국(지역),2
2020-01-22,1,0,Confirmed,전국(지역),3
2020-01-23,1,0,Confirmed,전국(지역),4
2020-01-24,2,1,Confirmed,전국(지역),5
2020-01-25,2,0,Confirmed,전국(지역),6
2020-01-26,3,1,Confirmed,전국(지역),7
2020-01-27,4,1,Confirmed,전국(지역),8
2020-01-28,4,0,Confirmed,전국(지역),9
2020-01-29,4,0,Confirmed,전국(지역),10
2020-01-30,7,3,Confirmed,전국(지역),11
2020-01-31,11,4,Confirmed,전국(지역),12
2020-02-01,12,1,Confirmed,전국(지역),13
2020-02-02,15,3,Confirmed,전국(지역),14
2020-02-03,15,0,Confirmed,전국(지역),15
2020-02-04,16,1,Confirmed,전국(지역),16
2020-02-05,18,2,Confirmed,전국(지역),17
2020-02-06,23,5,Confirmed,전국(지역),18
2020-02-07,24,1,Confirmed,전국(지역),19
2020-02-08,24,0,Confirmed,전국(지역),20
2020-02-09,27,3,Confirmed,전국(지역),21
2020-02-10,27,0,Confirmed,전국(지역),22
2020-02-11,29,2,Confirmed,전국(지역),23
2020-02-12,29,0,Confirmed,전국(지역),24
2020-02-13,29,0,Confirmed,전국(지역),25
2020-02-14,29,0,Confirmed,전국(지역),26
2020-02-15,29,0,Confirmed,전국(지역),27
2020-02-16,29,0,Confirmed,전국(지역),28
2020-02-17,29,0,Confirmed,전국(지역),29
2020-02-18,30,1,Confirmed,전국(지역),30
2020-02-19,52,22,Confirmed,전국(지역),31
2020-02-20,104,52,Confirmed,전국(지역),32
2020-02-21,203,99,Confirmed,전국(지역),33
2020-02-22,432,229,Confirmed,전국(지역),34
2020-02-23,600,168,Confirmed,전국(지역),35
2020-02-24,831,231,Confirmed,전국(지역),36
2020-02-25,975,144,Confirmed,전국(지역),37
2020-02-26,1259,284,Confirmed,전국(지역),38
2020-02-27,1764,505,Confirmed,전국(지역),39
2020-02-28,2335,571,Confirmed,전국(지역),40
2020-02-29,3148,813,Confirmed,전국(지역),41
2020-03-01,3734,586,Confirmed,전국(지역),42
2020-03-02,4210,476,Confirmed,전국(지역),43
2020-03-03,4809,599,Confirmed,전국(지역),44
2020-03-04,5324,515,Confirmed,전국(지역),45
2020-03-05,5762,438,Confirmed,전국(지역),46
2020-03-06,6280,518,Confirmed,전국(지역),47
2020-03-07,6763,483,Confirmed,전국(지역),48
2020-03-08,7130,367,Confirmed,전국(지역),49
2020-03-09,7378,248,Confirmed,전국(지역),50
2020-03-10,7509,131,Confirmed,전국(지역),51
2020-03-11,7751,242,Confirmed,전국(지역),52
2020-03-12,7865,114,Confirmed,전국(지역),53
2020-03-13,7975,110,Confirmed,전국(지역),54
2020-03-14,8082,107,Confirmed,전국(지역),55
2020-03-15,8158,76,Confirmed,전국(지역),56
2020-03-16,8228,70,Confirmed,전국(지역),57
2020-03-17,8310,82,Confirmed,전국(지역),58
2020-03-18,8398,88,Confirmed,전국(지역),59
2020-03-19,8545,147,Confirmed,전국(지역),60
2020-03-20,8631,86,Confirmed,전국(지역),61
