Date,Case_Type,Cases,Difference,Country_Region,Days_after_First_Cases
2020-05-06,Confirmed,0,0,비수도권,1
2020-05-07,Confirmed,0,0,비수도권,2
2020-05-08,Confirmed,0,0,비수도권,3
2020-05-09,Confirmed,1,1,비수도권,4
2020-05-10,Confirmed,6,5,비수도권,5
2020-05-11,Confirmed,9,3,비수도권,6
2020-05-12,Confirmed,10,1,비수도권,7
2020-05-13,Confirmed,17,7,비수도권,8
2020-05-14,Confirmed,22,5,비수도권,9
2020-05-15,Confirmed,25,3,비수도권,10
2020-05-16,Confirmed,27,2,비수도권,11
2020-05-17,Confirmed,29,2,비수도권,12
2020-05-18,Confirmed,32,3,비수도권,13
2020-05-19,Confirmed,32,0,비수도권,14
2020-05-20,Confirmed,34,2,비수도권,15
2020-05-21,Confirmed,35,1,비수도권,16
2020-05-22,Confirmed,38,3,비수도권,17
2020-05-23,Confirmed,40,2,비수도권,18
2020-05-24,Confirmed,46,6,비수도권,19
2020-05-25,Confirmed,48,2,비수도권,20
2020-05-26,Confirmed,51,3,비수도권,21
2020-05-27,Confirmed,53,2,비수도권,22
2020-05-28,Confirmed,56,3,비수도권,23
2020-05-29,Confirmed,56,0,비수도권,24
2020-05-30,Confirmed,59,3,비수도권,25
2020-05-31,Confirmed,59,0,비수도권,26
2020-06-01,Confirmed,60,1,비수도권,27
2020-06-02,Confirmed,60,0,비수도권,28
2020-06-03,Confirmed,61,1,비수도권,29
2020-06-04,Confirmed,61,0,비수도권,30
2020-06-05,Confirmed,64,3,비수도권,31
2020-06-06,Confirmed,67,3,비수도권,32
2020-06-07,Confirmed,68,1,비수도권,33
2020-06-08,Confirmed,68,0,비수도권,34
2020-06-09,Confirmed,70,2,비수도권,35
2020-06-10,Confirmed,73,3,비수도권,36
2020-06-11,Confirmed,73,0,비수도권,37
2020-06-12,Confirmed,74,1,비수도권,38
2020-06-13,Confirmed,75,1,비수도권,39
2020-06-14,Confirmed,77,2,비수도권,40
2020-06-15,Confirmed,78,1,비수도권,41
2020-06-16,Confirmed,82,4,비수도권,42
2020-06-17,Confirmed,88,6,비수도권,43
2020-06-18,Confirmed,100,12,비수도권,44
2020-06-19,Confirmed,106,6,비수도권,45
2020-06-20,Confirmed,115,9,비수도권,46
2020-06-21,Confirmed,131,16,비수도권,47
2020-06-22,Confirmed,135,4,비수도권,48
2020-06-23,Confirmed,140,5,비수도권,49
