"","(Intercept)","log(Days_after_first_Case)","Days_after_first_Case","(Intercept)_smoothing","log(Days_after_first_Case)_smoothing","Days_after_first_Case_smoothing"
"Afghanistan",-29.2688913157701,10.1623713261848,-0.112431901130706,-33.1510057043105,11.0076409191014,-0.112016572393483
"Albania",2.57947637329055,-0.318440131843949,0.0263823059997507,6.18621259265113,-1.27714027930786,0.0325458845069779
"Algeria",0.00518527680973302,1.19536942157903,-0.00159142207438194,-3.49445448778595,2.29189852341492,-0.0184322308780817
"Andorra",1.30956469552793,1.07327040178347,-0.07354736391189,6.34126255425772,-0.551418911322981,-0.046997724359768
"Angola",0.472168374069296,-0.715931376974609,0.0513734564813947,-0.146929413272133,-0.600912112468638,0.0503152065597126
"Anguilla",NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA
"Argentina",2.36399554120325,0.166916979159358,0.0401124805846821,1.59135845640576,0.313490863075263,0.0387905524882073
"Armenia",-2.17555987747732,1.7678444451597,0.00200851285548537,-2.78482995485242,1.78543116870304,0.00657108670029363
"Aruba",NA,NA,NA,NA,NA,NA
"Australia",-8.65502683057598,4.01406552513935,-0.054159474181251,-20.2553690126409,7.5158355776069,-0.0989182021359866
"Austria",0.13653531203438,2.26887475520848,-0.0688572253761872,-4.111199444889,3.71025461570671,-0.0934514625424325
"Azerbaijan",0.47567294665086,0.634080571505619,0.023828685063493,0.0801959461493098,0.62891722664116,0.0264760055707432
"Bahamas",NA,NA,NA,NA,NA,NA
"Bahrain",-4.98472522587506,2.5111676897467,-0.00655709760477487,-6.66131771669318,2.86613898087096,-0.00717696653650977
"Bangladesh",-11.809722674746,5.20238249851679,-0.0403971484238043,4.99525410456115,-0.114937022724905,0.035080191805301
"Barbados",NA,NA,NA,NA,NA,NA
"Belarus",-16.9166872125983,7.29137263354399,-0.101799658520434,-21.2527654427682,8.38090725443198,-0.10688051718819
"Belgium",-25.98360396285,10.3254275925057,-0.154536935203471,-33.8088972390099,12.4324517888936,-0.170595754540023
"Belize",NA,NA,NA,NA,NA,NA
"Benin",-5.06401736824877,1.85767542125505,-0.00202045882253098,-2.37691387924902,0.776798143591564,0.0212832054636612
"Bermuda",NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA
"Bolivia",-8.065042049636,3.35364444254865,-0.00651324589252053,-10.0717845218701,3.78269367339347,-0.00774502194221765
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",3.38364092070135,-0.271678956754781,0.0231817898391849,2.01799522990134,0.256021060996487,0.00959124090601601
"Brazil",-13.4192363427677,5.8298987448779,-0.0338567991580608,-16.2532464822991,6.45765277901409,-0.036013385484745
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA
"Bulgaria",2.88350669105531,-0.16733576192212,0.0241253732147341,1.54349417043624,0.29745223739969,0.013993660496006
"Burundi",NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA
"Cameroon",-2.39028168120299,1.91815670526972,-0.010525310107956,-5.27388427975757,2.72731133456685,-0.0196391672892098
"Canada",-40.2730682247792,13.4306697095695,-0.141802286083966,-49.2816827387868,15.7108114596874,-0.156449158117231
"Cape_Verde",-2.11635390516843,0.921317990954705,0.0132898090054237,6.3565315363134,-1.36896471669608,0.0311363899210711
"Cases_on_an_international_conveyance_Japan",0.323993762036738,2.85767589484937,-0.300075208983013,-2.99964910963644,3.51121972295206,-0.19554875003967
"Cayman_Islands",NA,NA,NA,NA,NA,NA
"Central_African_Republic",-37.170740721703,11.6409037200039,-0.119989548719467,-35.9626696572096,10.9266668050755,-0.0990240145683987
"Chad",-32.1486114580659,11.7580764074734,-0.216101343903658,4.07196521446047,-0.614652729942083,0.00944938881365248
"Chile",-16.1053887182354,6.5978614134225,-0.0578084579485423,-14.9729713985353,5.99257435704796,-0.0418042140096772
"Colombia",1.24518845448793,0.821658637190188,0.026886745307104,1.51850347766847,0.625331354915236,0.0312018303184431
"Congo",0.143126271709692,0.173340832395603,0.0254377284864704,0.546383341722186,0.033256530003491,0.025522476841001
