,(Intercept),log(Days_after_first_Case),Days_after_first_Case,(Intercept)_smoothing,log(Days_after_first_Case)_smoothing,Days_after_first_Case_smoothing
Afghanistan,-29.26889132,10.16237133,-0.112431901,-30.06182512,10.34580539,-0.112795504
Albania,2.579476373,-0.318440132,0.026382306,4.484853392,-0.981210281,0.037383611
Algeria,0.005185277,1.195369422,-0.001591422,-0.456741225,1.34008101,-0.003860457
Andorra,1.309564696,1.073270402,-0.073547364,5.348996567,-0.793591453,-0.013590731
Angola,0.472168374,-0.715931377,0.051373456,0.268981099,-0.647158977,0.049722515
Anguilla,NA,NA,NA,NA,NA,NA
Antigua_and_Barbuda,NA,NA,NA,NA,NA,NA
Argentina,2.363995541,0.166916979,0.040112481,1.721092542,0.383804992,0.036025168
Armenia,-2.175559877,1.767844445,0.002008513,-2.417987552,1.816369563,0.002091865
Aruba,NA,NA,NA,NA,NA,NA
Australia,-8.655026831,4.014065525,-0.054159474,-10.18491452,4.482506997,-0.060378288
Austria,0.136535312,2.268874755,-0.068857225,-0.510145533,2.494133372,-0.072947705
Azerbaijan,0.475672947,0.634080572,0.023828685,0.393804783,0.636675121,0.024291263
Bahamas,NA,NA,NA,NA,NA,NA
Bahrain,-4.984725226,2.51116769,-0.006557098,-5.46706822,2.633757151,-0.007526819
Bangladesh,-11.80972267,5.202382499,-0.040397148,-1.982112318,2.189517824,-0.000315084
Barbados,NA,NA,NA,NA,NA,NA
Belarus,-16.91668721,7.291372634,-0.101799659,-17.74892162,7.5089992,-0.103175658
Belgium,-25.98360396,10.32542759,-0.154536935,-27.19647413,10.65155726,-0.156920029
Belize,NA,NA,NA,NA,NA,NA
Benin,-5.064017368,1.857675421,-0.002020459,-4.167839144,1.551165247,0.00304323
Bermuda,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,NA,NA,NA
Bolivia,-8.06504205,3.353644443,-0.006513246,-8.488006795,3.450528604,-0.006979788
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA
Bosnia_and_Herzegovina,3.383640921,-0.271678957,0.02318179,3.176572344,-0.189347219,0.020954856
Brazil,-13.41923634,5.829898745,-0.033856799,-14.2477171,6.040225363,-0.035488185
British_Virgin_Islands,NA,NA,NA,NA,NA,NA
Brunei_Darussalam,NA,NA,NA,NA,NA,NA
Bulgaria,2.883506691,-0.167335762,0.024125373,2.599226225,-0.055229276,0.021248682
Burundi,NA,NA,NA,NA,NA,NA
Cambodia,NA,NA,NA,NA,NA,NA
Cameroon,-2.390281681,1.918156705,-0.01052531,-2.317064422,1.854371537,-0.008077135
Canada,-40.27306822,13.43066971,-0.141802286,-42.00213241,13.87971169,-0.145090439
Cape_Verde,-2.116353905,0.921317991,0.013289809,5.154534253,-1.611775945,0.057922663
Cases_on_an_international_conveyance_Japan,0.323993762,2.857675895,-0.300075209,-1.135973375,3.628530935,-0.333044034
Cayman_Islands,NA,NA,NA,NA,NA,NA
Central_African_Republic,-37.17074072,11.64090372,-0.119989549,-39.39157054,12.24630087,-0.125635004
Chad,-32.14861146,11.75807641,-0.216101344,1.454144824,0.323956562,-0.009745749
Chile,-16.10538872,6.597861413,-0.057808458,-16.28522949,6.605926713,-0.056409808
Colombia,1.245188454,0.821658637,0.026886745,1.351759338,0.775677373,0.027553793
Congo,0.143126272,0.173340832,0.025437728,-0.244074351,0.312299675,0.022300992
Costa_Rica,3.892888338,-1.265185376,0.063797701,4.524922479,-1.427841272,0.064062656
Cote_dIvoire,1.248763422,0.353840159,0.024359776,5.296136539,-1.001344189,0.045783372
Croatia,1.597348707,0.599839592,-0.010863512,1.239530352,0.733075759,-0.013816339
Cuba,-1.986323735,2.25759721,-0.066111808,1.083193791,1.093286351,-0.039786594
Curacao,NA,NA,NA,NA,NA,NA
Cyprus,0.014745525,1.518666134,-0.072521451,-0.60295063,1.755953124,-0.077696831
Czechia,2.393357236,0.910297063,-0.021403732,2.087090358,1.011346452,-0.023019277
Democratic_Republic_of_the_Congo,-6.998575362,3.078585589,-0.023723854,1.553109844,0.34093363,0.016624497
Denmark,-2.573417401,2.883615693,-0.068575525,-3.150138753,3.059853006,-0.070573505
Djibouti,-7.23817683,3.74648786,-0.063619333,-6.090695998,3.346153096,-0.056178953
Dominica,NA,NA,NA,NA,NA,NA
Dominican_Republic,2.022816341,0.778074357,0.007582308,1.649649608,0.89705806,0.005524821
Ecuador,-1.657450031,2.519883898,-0.033947759,-2.25075493,2.698200482,-0.036259317
