"","(Intercept)_1","log(Days_after_first_Case)_1","Days_after_first_Case_1","(Intercept)_2","log(Days_after_first_Case)_2","Days_after_first_Case_2","psi","(Intercept)_1_s","log(Days_after_first_Case)_1_s","Days_after_first_Case_1_s","(Intercept)_2_s","log(Days_after_first_Case)_2_s","Days_after_first_Case_2_s","psi_s"
"Afghanistan",-6.27572219371627,3.09732448311595,-0.0321386212064126,-54.9444013212112,17.5642267293642,-0.195466946452568,47,-4.78068878162085,2.39007272377652,-0.00340587937772969,-59.3344406824398,18.8094082158516,-0.208751735042823,52
"Albania",-0.419340377717372,1.38443359161103,-0.0471321700181155,-40.9551849059291,11.3777286616457,-0.0764315564616701,66,-0.323139923821782,1.32847248386169,-0.0441824379375383,-70.6267135151874,19.5251721949217,-0.154452281260871,73
"Algeria",-5.96753966348681,3.39768604201314,-0.0483297373057753,-269.797915825196,70.3280592873443,-0.510347675254518,108,-5.53807246425087,3.24080255957455,-0.0449571035073229,-563.601514476797,147.236626909,-1.13023652986301,114
"Andorra",-0.955937271478783,2.52807945757088,-0.164829213023167,-189.418593702694,57.0365210516391,-0.738712935561942,49,0.0334289016283583,1.47324787163641,-0.0293353522123016,8.47776990778705,-1.68874948782769,-0.00802056733979764,15
"Angola",0.04560018629887,-1.35050128012212,0.248519556998985,4.3703483715438,-1.96795506267243,0.0701110196613958,15,-0.223903589424713,-0.0778194404937564,0.00921493971028859,-5.8339716882296,1.09825013102738,0.0310830843723061,60
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",-2.60827563886423,2.66749549316883,-0.0624108299594602,-8.7280769891872,3.26694546041633,0.00876523082045893,52,-1.83012894328713,2.26957302953433,-0.0440913586342645,-10.4758410720571,3.75286789384799,0.00392911125399017,59
"Armenia",-2.20153730815309,2.8536256178601,-0.130714587505731,-21.1038504187134,7.32490243715408,-0.0635485337559647,34,-0.564462877799033,1.78249887180341,-0.056327041441841,-28.4246099678528,9.42097905075502,-0.0865483212003506,43
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",-94.6526203528166,31.6496889457827,-0.491976050978249,285.038551877743,-73.574890480479,0.579219821533322,109,-89.5889065862077,30.0213740340741,-0.465650234469885,301.725409435647,-77.7457089207585,0.607175389846161,112
"Austria",-17.8002398028455,9.88990864334598,-0.314268984299173,56.360000349223,-14.9932936088384,0.161224080838789,67,-16.1703059754464,9.19306612463924,-0.29067278276096,85.0550806130808,-22.7952730654619,0.232797322337478,73
"Azerbaijan",-10.8461060403377,5.84616446811125,-0.168626734901083,-22.7436704735882,7.17151919784775,-0.0438949174089555,52,-8.13978424318583,4.61918621050243,-0.122190842195328,-23.8511140583372,7.48017120054716,-0.0469941570464271,60
"Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",0.0600912103801966,0.737134663804264,0.0267787148310801,27.7404988165668,-5.71955297614764,0.0489697767151114,103,0.928430137028776,0.536084332161499,0.00976872565669562,-13.534034843609,4.96605677922212,-0.0332355003690393,36
"Bangladesh",-15.7636358558878,7.00600279099005,-0.103499993692516,-28.7310266319994,10.0689802638824,-0.0947899331074389,56,-6.54508728870713,3.45589320906763,-0.0106499636501471,-50.7782260314817,16.2104357476898,-0.156775198109946,83
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",-1.64091664534576,1.27383158109127,0.0414401740370051,-17.612021841813,7.50431814565872,-0.104659031853009,14,-20.0609217165114,8.42737491342152,-0.126864977654461,-48.6837166882596,16.203576850969,-0.19361168775927,75
"Belgium",-50.6613155336608,18.3591266421725,-0.28732486373004,83.8112477218112,-19.7272718322741,0.129090654712853,98,-46.5640608214366,16.8000127630031,-0.247362187576974,17.0512818067176,-2.02791749998886,-0.0191229362921311,61
"Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin",-0.344727463145495,-0.00953328359947681,0.0424536282938156,4105.55543958083,-1108.79796559513,10.0747490169484,102,0.806977518165974,-1.7100949796778,0.174603725934258,-133.574036917085,38.3397767252081,-0.394498389362963,56
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",0.215622245145791,0.324776168285411,0.059363084005892,-4.45768926504103,2.458755901046,-0.00125436194638703,77,-0.163848327308632,0.561218440638243,0.0458347726059166,-16.3692236205646,5.77283921022425,-0.0344922980629065,39
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",-0.901387851611814,1.95429807367676,-0.0624005611631807,-23.9988767477473,5.97791296089233,0.00699075879015062,78,-0.863247273602968,1.93535629664475,-0.0616210938410199,-0.279133094519514,-0.475747691582363,0.0669743347594611,84
"Brazil",-13.2993993150989,6.3429108101477,-0.077081283459214,-20.7808755787156,7.87205259965432,-0.0538915647267302,55,-12.6812936246602,6.1121239089903,-0.071583309559531,-19.6814023437784,7.57110626267386,-0.0510628395445921,60
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",-0.052385711044762,1.3138683370602,-0.0285589811220807,-51.0477253358698,13.820670921334,-0.0822543345328762,82,-0.293394040039699,1.43346102569643,-0.0332843528130648,23.436824566444,-6.36391653256549,0.102524777008178,87
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",-13.8365077594108,8.42432764797024,-0.377757817741039,-13.0848250870561,5.11902825719045,-0.0506062925652041,35,-3.23871922119338,2.69498581091367,-0.0683181511616386,-20.28060741998,7.20593767741387,-0.0745026843335545,44
