,(Intercept)_1,log(Days_after_first_Case)_1,Days_after_first_Case_1,(Intercept)_2,log(Days_after_first_Case)_2,Days_after_first_Case_2,psi,(Intercept)_1_s,log(Days_after_first_Case)_1_s,Days_after_first_Case_1_s,(Intercept)_2_s,log(Days_after_first_Case)_2_s,Days_after_first_Case_2_s,psi_s
Afghanistan,-6.275722194,3.097324483,-0.032138621,-54.94440132,17.56422673,-0.195466946,47,-6.275722194,3.097324483,-0.032138621,-54.94440132,17.56422673,-0.195466946,47
Albania,-0.419340378,1.384433592,-0.04713217,-40.95518491,11.37772866,-0.076431556,66,-0.284898184,1.307192664,-0.043151247,-76.42003302,21.10923783,-0.169407345,75
Algeria,-5.967539663,3.397686042,-0.048329737,-269.7979158,70.32805929,-0.510347675,108,-5.90243827,3.373783439,-0.047807521,-386.4856514,100.9112674,-0.757992245,110
Andorra,-0.955937271,2.528079458,-0.164829213,-189.4185937,57.03652105,-0.738712936,49,-1.922574079,-2.468067642,1.887635472,2.346571515,0.62861692,-0.060373705,4
Angola,0.755876327,-0.934569889,0.060613765,262.6897656,-71.86507442,0.706359618,100,-0.132117475,-0.168574746,0.016481242,-15.20121643,3.759242897,0.002348136,54
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua_and_Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,-2.608275639,2.667495493,-0.06241083,-8.728076989,3.26694546,0.008765231,52,-2.608275639,2.667495493,-0.06241083,-8.728076989,3.26694546,0.008765231,52
Armenia,-2.201537308,2.853625618,-0.130714588,-21.10385042,7.324902437,-0.063548534,34,-1.986230371,2.709746896,-0.120192294,-22.29000516,7.665976861,-0.067339227,36
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,-94.65262035,31.64968895,-0.491976051,285.0385519,-73.57489048,0.579219822,109,-91.3294896,30.58092118,-0.47468594,296.9893641,-76.56277257,0.599266943,111
Austria,-17.8002398,9.889908643,-0.314268984,56.36000035,-14.99329361,0.161224081,67,-17.80986312,9.894033786,-0.314409799,63.97350769,-17.07092629,0.180513193,68
Azerbaijan,-10.84610604,5.846164468,-0.168626735,-22.74367047,7.171519198,-0.043894917,52,-10.77705542,5.814505241,-0.167389794,-22.9068539,7.216994663,-0.044351393,53
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,0.06009121,0.737134664,0.026778715,27.74049882,-5.719552976,0.048969777,103,0.084705635,0.727265538,0.027021911,23.65697874,-4.649109026,0.040309331,104
Bangladesh,-15.76363586,7.006002791,-0.103499994,-28.73102663,10.06898026,-0.094789933,56,-6.545087289,3.455893209,-0.010649964,-50.77822603,16.21043575,-0.156775198,83
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,-20.82349473,8.708057896,-0.133453675,-33.93898961,12.10290169,-0.152566979,67,-20.65354465,8.644779527,-0.131919634,-37.48954087,13.09497764,-0.162651925,69
Belgium,-50.66131553,18.35912664,-0.287324864,83.81124772,-19.72727183,0.129090655,98,-49.30275474,17.91043671,-0.279512342,74.85534982,-17.40815242,0.111284862,99
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,-0.344727463,-0.009533284,0.042453628,4105.55544,-1108.797966,10.07474902,102,-0.352826491,-0.005285487,0.042301793,7100.231998,-1916.725127,17.36903877,104
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,0.215622245,0.324776168,0.059363084,-4.457689265,2.458755901,-0.001254362,77,0.380731867,0.248881759,0.061853556,-12.15487577,4.57511566,-0.021656681,78
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia_and_Herzegovina,-0.901387852,1.954298074,-0.062400561,-23.99887675,5.977912961,0.006990759,78,-0.841537677,1.924433752,-0.061159937,-32.84803068,8.393699303,-0.01572646,79
Brazil,-13.29939932,6.34291081,-0.077081283,-20.78087558,7.8720526,-0.053891565,55,-14.99631571,7.023348344,-0.097002393,-20.34852891,7.753597606,-0.052774656,56
British_Virgin_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei_Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,-0.052385711,1.313868337,-0.028558981,-51.04772534,13.82067092,-0.082254335,82,-0.133302381,1.354102599,-0.030149475,-42.74117159,11.56744807,-0.061554905,83
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,-13.83650776,8.424327648,-0.377757818,-13.08482509,5.119028257,-0.050606293,35,-15.09400787,9.099382564,-0.414641784,-12.09430326,4.829123404,-0.047196734,36
Canada,-1.154731141,-1.527351711,0.223928526,-22.77656018,8.663656311,-0.098175102,65,-2.07262554,-1.130344706,0.211832879,-22.86638481,8.687800076,-0.09838593,66
Cape_Verde,0.350638541,-5.974725575,0.832620857,-0.678829773,0.462957533,0.020055663,27,-0.460842142,-0.470596358,0.116182068,5.294982587,-1.322299865,0.042477422,39
Cases_on_an_international_conveyance_Japan,2.393950756,-0.289115463,0.191582137,17.6836896,-3.911816524,-0.178760694,15,2.34397166,-0.124886702,0.158889484,-236.658431,120.7187854,-6.102273247,16
Cayman_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central_African_Republic,-2.930211335,0.302853143,0.07607289,-55.17140765,16.95871195,-0.18457098,83,-2.975397973,0.320940416,0.075607604,-84.14108957,24.93787152,-0.262110612,84
Chad,-1.208753318,-0.250542392,0.101704418,-14.05670507,6.994418142,-0.184696942,58,-1.208753318,-0.250542392,0.101704418,-14.05670507,6.994418142,-0.184696942,58
Chile,-7.018172322,4.780827099,-0.114935615,-58.15486894,18.56663802,-0.186406135,49,-6.694124676,4.629825128,-0.108860018,-59.36652007,18.90638853,-0.189891317,50
Colombia,-1.223471447,2.226315798,-0.045825244,-2.424370541,1.879506203,0.015074883,42,2.151894849,0.477915059,0.034273161,303.2522537,-79.52923664,0.715325025,110
Congo,-3.110432928,1.623963051,-0.018624809,22.0049352,-6.343301055,0.106064774,81,-3.110432928,1.623963051,-0.018624809,22.0049352,-6.343301055,0.106064774,81
Costa_Rica,-1.362037943,2.107991837,-0.09581866,27.0664225,-8.411891027,0.157327219,64,-0.152636738,1.417505318,-0.059620579,27.06740325,-8.410221866,0.157251269,74
Cote_dIvoire,-2.762566122,2.362634578,-0.056112196,-30.09537977,9.265363297,-0.07146046,53,2.172058512,3.627714365,-1.980913497,1.759357154,0.191540275,0.026702232,4
Croatia,-12.5671573,6.583745208,-0.190151729,-946.4828978,247.0845416,-1.937843738,90,-12.5586053,6.580209609,-0.190043389,-1008.910137,263.4537007,-2.070579259,91
Cuba,-4.938008542,3.598124797,-0.113943308,-52.25884,16.27459118,-0.205210015,65,-0.258243411,0.844367619,0.051947533,7.951561182,-0.99913857,-0.013307394,29
Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,-1.57176326,2.375235012,-0.113317878,1.107550982,0.312252416,-0.0208523,65,-1.57176326,2.375235012,-0.113317878,1.107550982,0.312252416,-0.0208523,65
Czechia,-7.135802561,5.151119179,-0.164035734,20.52135617,-5.120928717,0.072511163,69,-7.195127833,5.177739735,-0.165010545,25.79086479,-6.559618667,0.085955796,70
Democratic_Republic_of_the_Congo,0.765701358,0.018993732,0.053439625,-37.20395224,11.83479117,-0.124181357,76,0.77810191,0.009678879,0.053992676,-31.55209366,10.27867836,-0.109102979,74
Denmark,-4.356189692,3.603311073,-0.088275904,-67.03073869,19.62423224,-0.195788448,91,-4.332736744,3.593563176,-0.087985151,-81.50519186,23.48660889,-0.229148435,92
Djibouti,-23.25699694,11.49021513,-0.393914939,-91.23438564,29.18343086,-0.400378506,43,-23.25699694,11.49021513,-0.393914939,-91.23438564,29.18343086,-0.400378506,43
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican_Republic,-0.960516095,2.008678612,-0.025516938,3.097220552,0.076252294,0.02822754,85,-1.009461344,2.029475441,-0.026145407,10.91801401,-2.048085102,0.04784491,86
Ecuador,-12.16124324,6.386031273,-0.120144325,3.404126983,0.266460548,0.016783509,86,3.797269129,-0.770760892,0.133453744,35.12633515,-8.405372648,0.098410929,53
Egypt,-13.54873273,5.506565559,-0.066865812,-49.67249163,14.87930376,-0.119133102,65,-13.4815058,5.480461196,-0.066169239,-50.44357788,15.08653226,-0.120958757,66
El_Salvador,0.302724719,0.004616789,0.071540186,14.27843062,-3.540993424,0.072185516,47,0.409068888,-0.065782224,0.075420787,17.28199327,-4.409221873,0.082051965,50
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,-4.464415159,3.692602375,-0.1400397,-49.09021855,15.02582841,-0.185035606,63,-4.44057047,3.680728195,-0.139512452,-55.53049414,16.83346086,-0.203673392,64
Eswatini,-0.264713185,-1.093932689,0.134587208,24.63569824,-7.360924816,0.122621655,42,-0.003608847,-1.557811069,0.178673545,24.57923533,-7.346786951,0.122533286,44
Ethiopia,-1.099968415,0.7082326,-0.000581425,-76.08458009,22.5196498,-0.224963066,42,1.180218258,-0.968156019,0.09381933,194.0861038,-51.48207338,0.479664047,90
Falkland_Islands_(Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faroe_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,-31.97700416,11.1987643,-0.153378171,-368.9922466,93.78185025,-0.659202669,138,-34.0046098,11.85223026,-0.163807681,123.309506,-29.30635291,0.169464915,113
France,-72.95513941,24.7132122,-0.339901044,4.974052179,0.289860475,-0.00096114,110,-72.32016936,24.51400238,-0.336927867,5.084093569,0.262115457,-0.000768712,111
French_Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,-0.433817053,-0.437581204,0.109717295,-25.57509149,8.771334676,-0.103455169,63,-0.524724561,-0.384798099,0.10734652,-30.82599863,10.25454246,-0.119125389,64
Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,-1.375157522,1.638346424,-0.142445051,-6.415034586,3.007077174,-0.05613757,15,-0.297009772,0.180762711,0.055402164,12.89026768,-2.772545262,0.015778596,46
Germany,-71.70410039,24.89338689,-0.364960901,62.09085896,-14.14949823,0.098829737,104,-71.65916501,24.87901589,-0.364732992,77.16744329,-17.98888796,0.126480097,105
Ghana,-8.455153069,4.198332323,-0.059467886,69.3276886,-18.45125528,0.214593146,81,0.433342864,0.371187661,0.064481475,27.85096455,-7.064914587,0.105355234,49
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,-3.378451552,3.175157588,-0.10668113,-20.007229,5.272454455,-0.01795402,82,-3.327287995,3.151327952,-0.105776495,-29.47607034,7.808420895,-0.040135269,83
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,1.055418712,0.802478045,-0.105801745,-18.27162454,4.557906163,-0.013222823,48,1.073319998,0.782609208,-0.103630511,-20.11852837,5.086583254,-0.019058044,47
Guatemala,0.853598082,-0.297414535,0.082209549,18.99597845,-4.512666401,0.080298936,71,0.853598082,-0.297414535,0.082209549,18.99597845,-4.512666401,0.080298936,71
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,-8.220831866,4.018491626,-0.063891312,20738.20952,-5536.846691,48.14752776,112,-10.38448858,4.824285968,-0.082556307,51.36054581,-13.09924732,0.128861658,83
Guinea_Bissau,1.432109812,-2.115230212,0.267115684,25.37923596,-6.511023695,0.071924176,40,1.364389036,-1.945396386,0.250484704,25.57242216,-6.570110931,0.072725666,41
Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,0.092196925,-0.21621541,0.053540677,-80.76579949,25.29144787,-0.311870734,34,-0.197031789,-0.514039895,0.101368559,-33.60340215,11.87778539,-0.166232934,79
Holy_See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,-3.145713438,2.996640321,-0.144198587,-7.885067907,2.987654083,0.003775221,32,0.892044493,0.292104688,0.040554633,-10097.08827,2689.069698,-23.09523966,115
Hungary,-6.267662971,3.931448955,-0.096503014,-153.1426169,39.90002821,-0.299430439,110,-0.564522746,0.943835077,0.050607648,-0.544100978,2.053206516,-0.064926182,38
Iceland,-9.827295265,6.249136628,-0.242382502,-17.31242413,2.497070522,0.051447565,82,-9.751353518,6.213896733,-0.24098403,-74.73660564,17.74629002,-0.077947597,83
India,-0.270095975,-1.748579127,0.211049346,-12.566444,4.543870493,-0.002582383,67,-0.270095975,-1.748579127,0.211049346,-12.566444,4.543870493,-0.002582383,67
Indonesia,0.535123032,1.448772589,-0.005881731,6.952285421,-0.67269834,0.030223787,84,-0.787633984,2.059309362,-0.027909384,8.790357773,-1.158488898,0.034260223,63
Iran,-3.274895349,4.032517656,-0.097991722,-22.58913532,8.052109134,-0.067374624,68,-3.338677302,4.060322402,-0.098936674,-22.79523733,8.10776011,-0.067873004,69
Iraq,-6.376509247,3.854273396,-0.100830301,-59.36934279,16.61106498,-0.105519922,57,-5.569952762,3.476344935,-0.085818643,-64.95793984,18.11688559,-0.118952863,59
Ireland,-13.80596783,7.393809598,-0.175264691,264.2780834,-69.49701991,0.589008225,101,-13.80596783,7.393809598,-0.175264691,264.2780834,-69.49701991,0.589008225,101
Isle_of_Man,-1.922556331,2.584458338,-0.16543183,-26.30258509,-3.98E-13,4.15E-15,62,-1.957690179,2.606645343,-0.166868884,-26.30258509,-1.81E-12,1.97E-14,64
Israel,-24.76795685,11.43659474,-0.278148407,-17.63245167,3.784751027,0.045399916,84,-24.85582692,11.4702861,-0.27902692,-12.75730962,2.500312692,0.055977639,85
Italy,-32.03342752,12.97381564,-0.208879177,95.12061059,-22.11401484,0.140246293,103,-31.39696625,12.76004188,-0.205000289,81.51113573,-18.62097773,0.114314999,104
Jamaica,-5.337373711,2.934122905,-0.07641251,-194.2293837,53.23103219,-0.492774459,87,1.360497488,-1.218978628,0.157218677,32.66171412,-9.067860731,0.105003132,39
Jersey,0.130733599,1.390898409,-0.104675079,13.01825845,-4.228510117,0.056129655,69,1.453675292,-0.716185019,0.206827497,7.995966307,-1.865456807,-0.006145563,18
Jordan,-1.019345029,2.477088222,-0.182658707,-21.71315452,7.145998825,-0.088498368,34,-1.020559806,2.478052954,-0.182745619,-22.87110614,7.488127961,-0.09265024,35
Kazakhstan,-0.92987168,1.660072831,-0.008170151,-607.269497,165.6760591,-1.488040141,87,-1.183085346,1.76568967,-0.011200204,-757.9316345,206.5517174,-1.864613503,89
Kenya,-3.477115982,2.494606048,-0.088509088,-10.41495051,3.456774194,-0.003391276,38,1.073780281,-0.175349159,0.053269286,27.82914596,-7.173330928,0.10291515,78
Kosovo,-2.484656012,2.274221511,-0.072371844,-54.11067705,14.64240858,-0.090730601,68,-2.588713958,2.323978827,-0.074297096,-52.04102897,14.09511191,-0.086167599,77
Kuwait,1.651820296,-0.338795777,0.084035823,43.75195341,-10.02116907,0.089202397,79,1.651820296,-0.338795777,0.084035823,43.75195341,-10.02116907,0.089202397,79
Kyrgyzstan,1.145924849,0.536805837,0.002660001,-172.8657036,47.51883303,-0.404461909,78,0.97303002,0.632436686,-0.001516253,-220.6199136,60.67139988,-0.532358114,83
Laos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,-4.808067935,3.867928105,-0.175407202,11.73774443,-2.399840154,0.003876465,42,-4.808067935,3.867928105,-0.175407202,11.73774443,-2.399840154,0.003876465,42
Lebanon,-9.557753305,5.386043147,-0.18775145,-17.55489906,5.316330142,-0.03981974,56,-9.915061666,5.555918881,-0.194846867,-15.01235618,4.615330652,-0.03307166,57
Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberia,-6.172324808,2.840992744,-0.065435159,-61.54336757,17.55972228,-0.163556599,60,-0.155062448,-2.250721957,0.368703022,5.665481632,-1.621800722,0.045981409,27
Libya,-1.838509073,1.518991756,-0.095929461,-39.32631455,11.17939097,-0.084450392,36,-2.149767285,1.774769911,-0.118828414,-38.73221361,11.0068821,-0.082448026,38
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,-6.8800901,4.694366971,-0.173269669,-17.26957807,6.032855288,-0.087593593,57,-7.014040852,4.759909701,-0.176142491,-13.00510398,4.818390196,-0.074465191,58
Luxembourg,-2.627618,3.650140007,-0.16939691,61.97391672,-18.74636073,0.262210198,79,-2.627618,3.650140007,-0.16939691,61.97391672,-18.74636073,0.262210198,79
Madagascar,0.991075691,-0.132212147,0.039268067,-2778.980994,753.2199372,-6.873623582,102,0.978732393,-0.125729026,0.03904591,-5136.008748,1391.592497,-12.72409938,104
Malawi,1.469930589,-1.761135825,0.152443903,27.84666903,-8.25100966,0.148542768,57,1.623143511,-2.151856263,0.183589365,-18.17222498,5.18082175,-0.011056355,58
Malaysia,-51.85347753,17.69265117,-0.260836499,-111.7322219,31.20998486,-0.27958752,93,-52.47273686,17.89635852,-0.264345673,-110.4164663,30.86851667,-0.276942812,94
Maldives,1.625538665,-3.285034031,0.301420219,-13.60462797,5.314302235,-0.075976031,53,1.536100857,-2.735804963,0.256386792,-11.75197688,4.782463656,-0.070074937,54
Mali,-0.909400939,1.286948041,-0.016570998,-7134.2742,1966.685476,-19.20234072,101,-0.090766812,0.891789962,-0.002052551,-21.61212375,7.719643673,-0.109420088,73
Malta,-2.759771885,2.458937844,-0.102617037,-53.77164816,16.94830884,-0.235992791,51,-2.980331243,2.585830596,-0.10974949,-48.94233658,15.54364658,-0.219654371,52
Mauritania,-4.091017217,0.143878255,0.090303907,-675.350818,185.5042955,-1.742511763,99,-0.855422634,-0.22853183,-0.005458677,-123.6512014,35.6462804,-0.355170239,31
Mauritius,-0.183143315,2.346369121,-0.22753236,-84.32983908,24.03012714,-0.280058285,50,1.247026453,0.919388699,-0.074795309,29.16233404,-9.695250779,0.137539263,17
Mexico,-3.209902346,2.575317148,-0.000433744,0.346719678,1.773679871,-0.001192596,77,-2.960762156,2.478489094,0.002054254,-2.38906209,2.521076907,-0.008223422,78
Moldova,-6.547415725,4.126297343,-0.096405106,-20.60610022,7.14284985,-0.066990131,56,-2.537303512,2.045253707,0.006389316,-0.28616935,1.338233125,-0.003770363,37
Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,-1.317779332,2.529592883,-0.189774596,-482.751913,129.4838334,-1.108769362,63,-1.329405433,2.537543082,-0.190352851,-482.7517827,129.4837978,-1.108769026,65
Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,-5.982340664,3.922349831,-0.0868033,-211.7198741,58.01140561,-0.503417129,84,-6.15676683,3.993721538,-0.088879996,-212.4509938,58.2093945,-0.505226036,85
Mozambique,0.591231982,-0.642649452,0.069404903,18.42669424,-4.49269859,0.053057366,77,0.591231982,-0.642649452,0.069404903,18.42669424,-4.49269859,0.053057366,77
