"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"Afghanistan",-4.01193620089885,0.0259572144694641,1.86788457087513,-0.0830316081881722,0.0481252010525978,90,-5.50608988745985,0.0221224504501307,2.23370870978761,-0.0804800129908815,0.0375458936046823,94
"Albania",-4.11473399270676,-0.106124980996899,3.00416178344877,0.101288138513504,0.0437512474478811,57,-4.26364864365245,-0.0880475180677644,2.86873004659602,0.0859101964666417,0.053398204953736,63
"Algeria",-12.7385904127235,-0.0905811806043317,5.66907669713761,0.0592863610131051,0.0985334221444009,90,-15.3824191244611,-0.0942904563675699,6.35902667657752,0.0608215330476651,0.0853809612797199,95
"Andorra",-1.66463351500854,-0.163189309555496,2.70329555156082,0.16373830764375,-0.179315119824191,59,-3.73902836995179,-0.166307731293739,3.40817824050112,0.159953242445353,-0.136572209762433,65
"Angola",1.3628970165486,0.061714025947516,-1.10310085230876,-0.0389779308867031,0.0255677468487883,119,-6.73165592014483,-0.327658018604666,4.31438927533621,0.322513297368272,-0.0574752766965891,32
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",0.861113430546172,0.0297801515603854,0.70908946462129,-0.0166671457597804,-0.014249133554623,139,-13.2224012060853,-0.160314214150553,6.58648271454816,0.137883873741912,-0.0720532061497264,56
"Armenia",1.25018557074332,0.0303599556994864,0.478058533101679,-0.06041249255709,0.0642035157403695,101,-0.0891913675053079,0.0239135949576616,0.867941220514359,-0.0577966534776503,0.0560907366342005,107
"Aruba",-3.65351874022529,-0.420464283908342,4.12495775158759,0.450205337841882,0.695884196638636,47,-3.053814644103,-0.286102866712259,3.26653609339843,0.336409348612734,0.560869352560035,59
"Australia",-145.662875980344,-0.719758110159609,47.2853608694083,0.481465148726364,-0.239473171472458,106,-149.135233404978,-0.680324645033586,47.4723209496637,0.44783258700734,-0.123455282746528,112
"Austria",-14.1205738827243,-0.246077176872707,8.09449966736453,0.217668812341222,-0.239370582551643,76,-18.7385560882334,-0.254851745725359,9.46612096193795,0.218258783007276,-0.240730569953876,81
"Azerbaijan",1.09224796701466,0.0293978913989835,0.387017597369981,-0.0679589085141013,0.0565954730365176,120,-43.1063864012903,-0.449502303681543,17.6132331112801,0.307129742562388,-0.214164847358587,57
"Bahamas",-11.4700642241136,-0.244074664720012,5.77673130713952,0.247854730929612,0.246451365759033,63,-8.79717955255584,-0.170333952874194,4.34809831145917,0.188832782006873,0.297377906932328,72
"Bahrain",-0.354709897997905,0.0245139592042518,0.870480633369634,-0.0380980480992713,0.0240926401842246,106,-1.59657039468289,0.0206693513589513,1.19362141094563,-0.0361217543892712,0.0234011153636766,110
