"","country","current_state","max_spread","max_suppression","control_index","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"1","Afghanistan",1.80145186495999,23.8907604015959,27.3153862909764,0.874626488789146,1,1,158,NA,NA,NA,NA,87,NA,NA,NA,NA
"2","Albania",49.9975337658979,3.06174196880293,2.4429645972732,1.25328953690954,0,1,NA,NA,NA,NA,NA,78,NA,NA,NA,NA
"3","Algeria",13.6302783533943,20.1802248587758,8.7393906454426,2.30911120437206,2,2,140,209,NA,NA,NA,78,164,NA,NA,NA
"4","Andorra",7.78098189782884,1.86249711956856,1.12904048526563,1.64962828514548,3,3,91,156,256,NA,NA,80,142,183,NA,NA
"5","Angola",29.0997592385934,2.06214363934493,1.45587258887691,1.41643139317274,0,1,NA,NA,NA,NA,NA,142,NA,NA,NA,NA
"6","Argentina",44.4966738217985,244.191474883126,0,-Inf,0,1,NA,NA,NA,NA,NA,77,NA,NA,NA,NA
"7","Armenia",10.4700853796658,15.5033457584607,13.2119613655581,1.1734325683752,1,1,180,NA,NA,NA,NA,79,NA,NA,NA,NA
"8","Aruba",12.823378206531,6.26070265481015,0.67682252736779,9.25013929302628,0,1,NA,NA,NA,NA,NA,91,NA,NA,NA,NA
"9","Australia",2.48686888571397,23.6792097041176,19.1374658380935,1.23732211487393,2,2,88,216,NA,NA,NA,66,162,NA,NA,NA
"10","Austria",12.2723181871353,43.1834019117577,32.0468515309835,1.34750840874359,1,2,88,NA,NA,NA,NA,68,165,NA,NA,NA
"11","Azerbaijan",10.237046005845,14.2576462247567,18.6796729503036,0.763270655898982,1,2,187,NA,NA,NA,NA,83,230,NA,NA,NA
"12","Bahamas",22.8986333399883,2.4365633835074,0.770072793743914,3.16406890790337,1,1,233,NA,NA,NA,NA,108,NA,NA,NA,NA
"13","Bahrain",25.3558783272775,25.8605445134962,10.6863429507799,2.41996206116601,1,2,181,NA,NA,NA,NA,66,218,NA,NA,NA
"14","Bangladesh",20.5457887843812,85.4884500491207,50.9733304812848,1.67712113848453,1,2,180,NA,NA,NA,NA,93,260,NA,NA,NA
"15","Belarus",5.79936810050263,32.2864627278525,25.9641744403198,1.24350045490816,1,2,139,NA,NA,NA,NA,81,227,NA,NA,NA
"16","Belgium",9.80529630018351,70.634454062046,54.4098953188068,1.29819132435697,1,2,99,NA,NA,NA,NA,65,181,NA,NA,NA
"17","Belize",12.3918773814916,2.6413527421626,0.848427672950422,3.11323266127949,1,1,247,NA,NA,NA,NA,216,NA,NA,NA,NA
"18","Benin",3.03353243673289,2.71085442997889,3.45726276664287,0.784104250372392,3,3,131,176,200,NA,NA,113,144,190,NA,NA
"19","Bolivia",27.8507055147507,29.9716056580446,43.4014051958056,0.6905676330715,1,2,203,NA,NA,NA,NA,88,252,NA,NA,NA
"20","Bosnia_and_Herzegovina",39.9080231046913,7.17527691917633,5.44971763137346,1.31663278806759,1,2,218,NA,NA,NA,NA,82,230,NA,NA,NA
"21","Botswana",16.8393695998658,2.00296742655351,2.15984271237121,0.927367263866418,2,2,206,251,NA,NA,NA,166,216,NA,NA,NA
"22","Brazil",33.9165515828711,877.395963360774,832.250980281242,1.05424443364942,1,1,213,NA,NA,NA,NA,73,NA,NA,NA,NA
"23","Bulgaria",18.3270466201424,6.76743851600529,6.10370960552783,1.10874188868297,2,3,119,206,NA,NA,NA,77,151,246,NA,NA
"24","Burkina_Faso",10.4428555960623,3.61351998818066,1.00890715902419,3.58161794755787,2,3,98,129,NA,NA,NA,83,121,166,NA,NA
"25","Cameroon",6.32108417147962,11.8112950540182,14.1050313596197,0.837381694012531,2,3,161,191,NA,NA,NA,85,183,238,NA,NA
"26","Canada",8.45509546347994,74.3584719889747,41.2973059920698,1.80056471488124,2,3,119,207,NA,NA,NA,68,188,227,NA,NA
"27","Cape_Verde",45.4553986001491,1.59225137553373,1.13275930970017,1.40563962873559,0,1,NA,NA,NA,NA,NA,108,NA,NA,NA,NA
"28","Central_African_Republic",0.702491121370446,3.83175973196845,3.79535329291755,1.0095923715768,1,1,176,NA,NA,NA,NA,120,NA,NA,NA,NA
"29","Chad",3.58038984318501,1.84954157036718,1.13031702085515,1.63630338767074,1,2,136,NA,NA,NA,NA,121,187,NA,NA,NA
"30","Chile",5.73141061798012,316.480203046535,412.693242552044,0.766865483644608,1,1,170,NA,NA,NA,NA,76,NA,NA,NA,NA
"31","China",0.0676066679482468,211.147103029371,283.981540070648,0.743524043770037,1,1,43,NA,NA,NA,NA,6,NA,NA,NA,NA
"32","Colombia",31.2316435407728,237.791056193734,177.638921674739,1.33862024128437,1,1,229,NA,NA,NA,NA,78,NA,NA,NA,NA
"33","Congo",5.62537912655114,5.58606661044463,4.15953925834653,1.34295321272317,2,2,199,248,NA,NA,NA,101,234,NA,NA,NA
"34","Costa_Rica",55.2023205687864,19.800202588103,9.68954699044457,2.04346009236853,1,1,255,NA,NA,NA,NA,79,NA,NA,NA,NA
"35","Cote_dIvoire",5.66201425808173,11.7633713618151,10.3422446558554,1.13740989052654,2,2,174,250,NA,NA,NA,86,232,NA,NA,NA
"36","Croatia",19.8785276324017,11.9900958150977,2.68789004889724,4.46078358748971,3,3,93,199,245,NA,NA,78,157,217,NA,NA
"37","Cuba",18.1612760487733,2.8239199107606,1.95499392535062,1.44446480070476,2,3,109,156,NA,NA,NA,87,145,181,NA,NA
"38","Cyprus",1.68291133738134,1.65992760584482,1.49320848876132,1.11165160012036,2,2,97,221,NA,NA,NA,80,177,NA,NA,NA
"39","Czechia",21.0210218561846,50.3976999205468,10.3468166226631,4.87084112519774,1,2,93,NA,NA,NA,NA,72,155,NA,NA,NA
"40","Democratic_Republic_of_the_Congo",5.84246074865569,4.11577480776782,4.71287123635003,0.873305168200471,1,1,176,NA,NA,NA,NA,88,NA,NA,NA,NA
"41","Denmark",12.3359050223954,14.6706858730134,9.43950559708514,1.55417947710562,3,3,98,227,256,NA,NA,71,191,240,NA,NA
"42","Djibouti",0.0999250785933432,8.98528190964478,9.8559556607641,0.911660139200361,2,3,109,152,NA,NA,NA,97,127,249,NA,NA
"43","Dominican_Republic",24.0672448812424,28.2027240989274,35.8253406218259,0.787228358737375,1,2,210,NA,NA,NA,NA,83,244,NA,NA,NA
"44","Ecuador",10.562740561307,115.559836056612,97.5614495126129,1.18448256595114,2,3,121,225,NA,NA,NA,78,153,248,NA,NA
"45","Egypt",3.24293328965806,49.2024285044114,40.5673178509276,1.21285880139316,1,1,170,NA,NA,NA,NA,71,NA,NA,NA,NA
"46","El_Salvador",11.5237596130699,8.45665074037623,14.6893645710255,0.575698880607593,1,1,218,NA,NA,NA,NA,96,NA,NA,NA,NA
"47","Equatorial_Guinea",0.198404647089432,15.6263632197044,15.4081056952913,1.01416511080138,3,3,142,185,216,NA,NA,108,163,201,NA,NA
"48","Estonia",10.2114844219162,2.27785840372217,2.04569423262275,1.11348918494127,1,2,94,NA,NA,NA,NA,75,181,NA,NA,NA
"49","Eswatini",14.4060522575999,2.36137059609306,2.87669157198216,0.820863320590874,1,1,227,NA,NA,NA,NA,119,NA,NA,NA,NA
"50","Ethiopia",13.2038039781174,62.8872514368163,38.4687135125264,1.63476357004605,1,1,238,NA,NA,NA,NA,100,NA,NA,NA,NA
"51","Faroe_Islands",1.42137382061444,0.970291047124306,0.684144597576426,1.41825434354309,2,2,83,224,NA,NA,NA,81,138,NA,NA,NA
"52","Finland",8.67140776502733,4.73841563434533,3.69662039786945,1.28182369958147,1,2,101,NA,NA,NA,NA,73,196,NA,NA,NA
"53","France",36.7536879552612,222.892853081,146.541244875154,1.52102470038994,1,2,95,NA,NA,NA,NA,61,170,NA,NA,NA
"54","French_Polynesia",16.9268835518674,1.67126778481998,0.400175588389388,4.17633617169512,1,1,249,NA,NA,NA,NA,101,NA,NA,NA,NA
"55","Gabon",1.45381658549554,4.90014372762943,4.77192991760977,1.02686833466403,3,3,147,172,209,NA,NA,105,160,195,NA,NA
"56","Gambia",5.991826538979,5.15978006839163,4.1036817466409,1.25735385611109,1,1,230,NA,NA,NA,NA,186,NA,NA,NA,NA
"57","Georgia",14.103434161321,6.97767921170613,0.710314139802811,9.82337084496613,0,1,NA,NA,NA,NA,NA,84,NA,NA,NA,NA
"58","Germany",4.41610185534933,292.11729292327,188.410067051811,1.55043357021332,1,1,94,NA,NA,NA,NA,61,NA,NA,NA,NA
"59","Ghana",3.71887021732589,20.1240677992178,31.389487457081,0.641108518472419,2,2,132,210,NA,NA,NA,86,146,NA,NA,NA
"60","Greece",24.6966588122063,9.78117042179888,3.64234184873352,2.68540703426832,1,2,92,NA,NA,NA,NA,69,150,NA,NA,NA
"61","Guam",8.88617555240893,3.90531357459617,2.2296607022613,1.75152819020196,1,1,241,NA,NA,NA,NA,89,NA,NA,NA,NA
"62","Guatemala",17.890203915046,32.5784585209896,27.1324085862809,1.20072121195545,1,1,202,NA,NA,NA,NA,96,NA,NA,NA,NA
"63","Guinea",11.9843404924526,3.58208165458309,3.12838585760296,1.14502552358671,2,2,140,229,NA,NA,NA,95,184,NA,NA,NA
"64","Guinea_Bissau",1.34748571467834,3.98448436364459,2.03992452317814,1.95325087686915,2,2,130,187,NA,NA,NA,110,164,NA,NA,NA
"65","Guyana",24.0147228121134,1.91546452422105,0.173186484982186,11.0601270325341,0,1,NA,NA,NA,NA,NA,108,NA,NA,NA,NA
"66","Haiti",2.3442781499908,8.79350021110096,3.8963016027582,2.25688386260346,1,1,157,NA,NA,NA,NA,113,NA,NA,NA,NA
"67","Honduras",17.7670277086098,27.9109951808875,27.1854424027229,1.02668901860843,2,2,185,243,NA,NA,NA,87,228,NA,NA,NA
"68","Hungary",18.2415978379242,30.0391114797226,3.10287413700893,9.68106025360067,0,1,NA,NA,NA,NA,NA,78,NA,NA,NA,NA
"69","Iceland",0.901399848822145,4.00458540032775,4.16084124091305,0.962446094061735,1,2,90,NA,NA,NA,NA,69,140,NA,NA,NA
"70","India",63.9442966262858,1432.8626518235,0.0232005615232471,61759.8263898815,0,1,NA,NA,NA,NA,NA,72,NA,NA,NA,NA
"71","Indonesia",43.7576285376287,79.6148647351242,0,-Inf,0,1,NA,NA,NA,NA,NA,75,NA,NA,NA,NA
"72","Iran",16.8822285173583,126.846082419,86.9649844251103,1.45858799673831,2,3,94,157,NA,NA,NA,57,122,250,NA,NA
"73","Iraq",50.7768198284873,83.3193838455477,16.5339498079748,5.03929096272934,1,1,255,NA,NA,NA,NA,69,NA,NA,NA,NA
"74","Ireland",4.77864748877469,38.0514393475189,27.3965314550115,1.38891448393765,1,2,107,NA,NA,NA,NA,74,179,NA,NA,NA
"75","Israel",29.0664837916238,115.046176794264,24.0706078609819,4.7795293520922,1,2,207,NA,NA,NA,NA,72,229,NA,NA,NA
"76","Italy",5.130837927875,285.737913925367,108.468107311793,2.63430349258341,1,2,87,NA,NA,NA,NA,55,191,NA,NA,NA
"77","Jamaica",13.2490526081111,7.09238560832189,2.69543900819063,2.6312543473513,1,1,246,NA,NA,NA,NA,96,NA,NA,NA,NA
"78","Japan",9.39175102482085,59.2462289232452,27.9757181594609,2.11777329845629,2,2,106,220,NA,NA,NA,48,149,NA,NA,NA
"79","Jordan",20.612187388302,5.99746207123624,0.842820865568193,7.11593924195626,0,1,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
"80","Kazakhstan",1.66941757351693,218.407660489023,103.207696772482,2.11619547106545,2,2,186,217,NA,NA,NA,82,205,NA,NA,NA
"81","Kenya",8.02415760090289,19.1740092732491,23.7348740242401,0.807841206726732,1,1,216,NA,NA,NA,NA,92,NA,NA,NA,NA
"82","Kosovo",8.88177302841902,8.86172214366789,5.22758862924201,1.6951835295718,1,1,214,NA,NA,NA,NA,85,NA,NA,NA,NA
