"","a1_Ber","b1_Ber","c1_Ber","a2_Ber","b2_Ber","c2_Ber","startpoint","breakpoint"
"Afghanistan",NA,NA,NA,NA,NA,NA,89,NA
"Albania",NA,NA,NA,NA,NA,NA,82,NA
"Algeria",NA,NA,NA,NA,NA,NA,81,167
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA
"Angola",NA,NA,NA,NA,NA,NA,144,NA
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",NA,NA,NA,NA,NA,NA,80,NA
"Armenia",NA,NA,NA,NA,NA,NA,81,NA
"Aruba",NA,NA,NA,NA,NA,NA,96,NA
"Australia",NA,NA,NA,NA,NA,NA,69,164
"Austria",NA,NA,NA,NA,NA,NA,70,167
"Azerbaijan",NA,NA,NA,NA,NA,NA,86,233
"Bahamas",NA,NA,NA,NA,NA,NA,110,NA
"Bahrain",NA,NA,NA,NA,NA,NA,69,221
"Bangladesh",NA,NA,NA,NA,NA,NA,95,221
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",NA,NA,NA,NA,NA,NA,84,230
"Belgium",61029.5691704342,0.0599319351656872,6.93190233633138,NA,NA,NA,67,184
"Belize",NA,NA,NA,NA,NA,NA,NA,NA
"Benin",NA,NA,NA,NA,NA,NA,117,148
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",NA,NA,NA,NA,NA,NA,91,NA
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,84,233
"Botswana",NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",NA,NA,NA,NA,NA,NA,76,NA
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,NA,NA,NA,80,154
"Burkina_Faso",NA,NA,NA,NA,NA,NA,NA,NA
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",NA,NA,NA,NA,NA,NA,88,186
"Canada",NA,NA,NA,NA,NA,NA,71,190
"Cape_Verde",NA,NA,NA,NA,NA,NA,113,149
"Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Central_African_Republic",NA,NA,NA,NA,NA,NA,125,NA
"Chad",NA,NA,NA,NA,NA,NA,NA,NA
"Chile",NA,NA,NA,NA,NA,NA,78,NA
"China",NA,NA,NA,NA,NA,NA,4,NA
