"","a1_Gom","b1_Gom","c1_Gom","a2_Gom","b2_Gom","c2_Gom","startpoint","breakpoint"
"Afghanistan",38639.2334478255,22.9008990075451,0.0471813504915235,NA,NA,NA,89,NA
"Albania",NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",17533.1010701675,4.87206089235444,0.026308535382226,42685.6319331255,145.671717874738,0.0380021661236867,81,167
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA
"Angola",7938.0621263473,8.09296184949832,0.0186263161921804,NA,NA,NA,144,NA
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",4121575.97731222,11.6977104917788,0.00953337381431837,NA,NA,NA,80,NA
"Armenia",49122.9464119966,15.6955582970696,0.0299586904775328,NA,NA,NA,81,NA
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA
"Australia",6948.1460782596,17.2515879838543,0.132055635286284,23479.2015706253,1579.7219269304,0.0499401032039975,69,164
"Austria",16168.554097142,8.85733134211705,0.10436983748511,43923.7145781712,23.5480706459442,0.0153415452969828,70,167
"Azerbaijan",52564.6143239363,12.0250252939661,0.0235819207380736,NA,NA,NA,86,233
"Bahamas",5804.7955801054,70.9997376433841,0.0307156227474904,NA,NA,NA,110,NA
"Bahrain",71811.4108126247,10.020943167436,0.019387569156375,NA,NA,NA,69,221
"Bangladesh",367963.121932296,9.7090886016833,0.025051629698406,NA,NA,NA,95,221
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",71458.1960102019,8.98170243159049,0.0389955820140971,NA,NA,NA,84,230
"Belgium",60703.4258875487,8.71314537985854,0.0643891428879471,34665.8923828886,1331.62123509733,0.0450438098691244,67,184
"Belize",NA,NA,NA,NA,NA,NA,NA,NA
"Benin",311.191349662318,73.5640167932967,0.270562224881574,1555.00426938145,92.925936370919,0.0746007026993811,117,148
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",230051.897925544,10.4780237520442,0.0175787909715535,NA,NA,NA,91,NA
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",7206613.46345083,9.8286210337864,0.0159795736144547,NA,NA,NA,76,NA
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",3818.30920321765,4.3660024839273,0.0317871963612261,17882.8586283242,70.230243942426,0.0332715147620747,80,154
"Burkina_Faso",NA,NA,NA,NA,NA,NA,NA,NA
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",64971.4126618814,6.37320535581197,0.0142063493600517,6388.54871564663,2648.35004463292,0.0700343240608117,88,186
"Canada",109946.219994602,7.51075701682387,0.041970083451682,26191.2804786043,1309.8962464483,0.0494470279729928,71,190
"Cape_Verde",468.767431060866,4.31605111318236,0.0688328689228669,4978.35284627762,11.1960644170473,0.0244180444442031,113,149
"Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Central_African_Republic",4802.43066970877,10.2059706605141,0.0561059603197232,NA,NA,NA,125,NA
"Chad",NA,NA,NA,NA,NA,NA,NA,NA
"Chile",414172.16801804,27.638051759688,0.0377332352431079,NA,NA,NA,78,NA
"China",84736.9929559269,148.35508224351,0.129955419935285,NA,NA,NA,4,NA
"Colombia",8181727.78664313,11.5898136671449,0.00904533588284786,NA,NA,NA,81,NA
"Comoros",NA,NA,NA,NA,NA,NA,NA,NA
"Congo",6620.71772380168,8.47023270942413,0.0206594867057549,NA,NA,NA,103,NA
"Costa_Rica",132745.147916726,21.6685436913703,0.0172659046491865,NA,NA,NA,82,NA
"Cote_dIvoire",21536.0428174058,13.8812485932815,0.0286603080139817,NA,NA,NA,89,NA
"Croatia",2199.75364093435,4.18230411612466,0.0878175374768639,25053.3736826245,21.2428435071404,0.0164506221395983,81,160
"Cuba",2011.78063011528,4.96059339380995,0.0724921715429051,426.781097327918,4977.93072662763,0.120653343719718,89,148
"Curaçao",NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",8845.19162533807,5.17021362789734,0.0708667672201122,42105.758279258,19.5949412783978,0.0165782557798152,74,158
