"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Afghanistan",37225.1244842359,5.54137625380594,0.0745151896872701,NA,NA,NA,89,NA
"Albania",NA,NA,NA,NA,NA,NA,82,NA
"Algeria",12055.6969181988,3.56596058445343,0.0619798776360074,33969.2182689628,10.46383350062,0.0784149698777837,81,167
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA
"Angola",3143.29893815052,5.25096632199911,0.0612217464398891,NA,NA,NA,144,NA
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",637972.300066496,6.95925912968858,0.04364317474066,NA,NA,NA,80,NA
"Armenia",43668.9384053689,5.43704544874783,0.0544358925998832,NA,NA,NA,81,NA
"Aruba",1866.11611123044,25.7306419002837,0.186761136064619,NA,NA,NA,96,NA
"Australia",6872.51414020481,4.92963838195632,0.198966602911617,19088.6848128556,15.3134247736781,0.102233550996854,69,164
"Austria",15928.3736917972,3.93873492652244,0.158411363522842,15617.5185116706,8.75707698236376,0.0514771540337087,70,167
"Azerbaijan",38702.1030562779,5.60242692574196,0.0531890529611789,NA,NA,NA,86,233
"Bahamas",2689.97050920463,11.5277888321694,0.091376349973761,NA,NA,NA,110,NA
"Bahrain",47814.6276548001,5.36344917984505,0.0472328627067352,9152.79653561624,31.8298357307822,0.192151378605312,69,221
"Bangladesh",265120.237409077,5.14444298825716,0.0573093590774041,62360.7508601036,29.2176531099247,0.210077281083293,95,221
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",67832.9506346788,4.16714611108558,0.0637142937730645,NA,NA,NA,84,230
"Belgium",59168.8921544408,3.95412802953336,0.0992654124729437,24636.5686678638,16.526157863297,0.104035129821802,67,184
"Belize",NA,NA,NA,NA,NA,NA,NA,NA
"Benin",301.905488672877,7.01734112930983,0.405746459087669,1212.2784389685,9.90091817833102,0.160808091070797,117,148
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",135690.683207617,5.66756865866928,0.0465866386075947,NA,NA,NA,91,NA
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,84,233
"Botswana",NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",4425284.72151537,5.41233907498993,0.0409794493365532,NA,NA,NA,76,NA
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",2779.90910049037,3.29225898370066,0.0716116602626063,14100.5175561363,9.087723482347,0.0698346591096589,80,154
"Burkina_Faso",NA,NA,NA,NA,NA,NA,NA,NA
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",19342.1150092896,4.45567620061817,0.0528026957333207,6124.22947437248,12.1693494692761,0.103423433067285,88,186
"Canada",102585.254459384,3.92997262729298,0.0705365283174119,22010.5818373476,13.8523091269972,0.0933517713237735,71,190
"Cape_Verde",355.030552567744,3.24184183236862,0.149512046200886,3619.43443085094,5.33740880668063,0.0542091878726891,113,149
"Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Central_African_Republic",4649.61399312836,4.25135296218857,0.0877652511283822,NA,NA,NA,125,NA
"Chad",NA,NA,NA,NA,NA,NA,NA,NA
"Chile",385091.070896775,6.13866469529364,0.0638578868712937,NA,NA,NA,78,NA
"China",84466.0716363572,8.20510888241941,0.19580595914803,NA,NA,NA,4,NA
"Colombia",1040833.83251929,6.98303249951994,0.043935172399788,NA,NA,NA,81,NA
"Comoros",NA,NA,NA,NA,NA,NA,NA,NA
"Congo",4512.86729216628,5.07536921888408,0.0510956111797257,NA,NA,NA,103,NA
"Costa_Rica",51658.5457228351,8.40416704577274,0.0563636223885244,NA,NA,NA,82,NA
"Cote_dIvoire",18495.1447053838,5.39680741583648,0.0549351378403499,NA,NA,NA,89,NA
"Croatia",2154.04442626588,2.73856224267121,0.130649052290243,11157.5121239418,8.064412395629,0.0502016959653896,81,160
"Cuba",1857.85853454326,3.23297771672048,0.123123817950281,402.654396605846,14.1714913962423,0.193221834564798,89,148
"Curaçao",NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",8517.24790978957,3.14551329532516,0.110750822284798,19324.7536603604,7.7193361909529,0.0495651461376568,74,158
"Democratic_Republic_of_the_Congo",9776.33310728957,4.66104573608773,0.0568764481867956,NA,NA,NA,91,NA
"Denmark",12275.1381369733,2.93050063595382,0.0737125617415274,4523.45639003031,17.450167970615,0.109198117169642,72,194
"Djibouti",1039.26457146906,4.18012611802815,0.319115410882535,3954.75631004549,7.82164312685291,0.13707968472593,100,130
"Dominica",NA,NA,NA,NA,NA,NA,84,NA
"Dominican_Republic",146654.829700064,4.48427333061212,0.03190672805569,NA,NA,NA,84,NA
"Ecuador",42372.7921498791,5.16878621966743,0.115092335381715,81926.1882591853,7.04193978829153,0.0529068413507512,80,156
"Egypt",99367.4805253659,6.26207783846683,0.0624213542635196,NA,NA,NA,75,NA
"El_Salvador",35215.4725016918,5.35703133258565,0.0436350799596553,NA,NA,NA,99,NA
"Equatorial_Guinea",6217.41387021805,3.52533451100592,0.0395784149742541,1794.37013250331,78.3710698775074,0.728334109416139,112,204
"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA
"Estonia",1839.96222638925,2.50572139810387,0.100743120158788,473.773638729193,13.5542529213802,0.0845645189299963,77,184
"Eswatini",6275.90322667527,5.08354189203633,0.0483623929722993,NA,NA,NA,122,NA
"Ethiopia",NA,NA,NA,NA,NA,NA,103,NA
"Falkland_Islands_(Malvinas)",NA,NA,NA,NA,NA,NA,NA,NA
"Faroe_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Fiji",NA,NA,NA,NA,NA,NA,NA,NA
"Finland",7140.23782584135,3.13028373391124,0.0751914281045076,964.749309530778,16.403431553153,0.101034021420745,74,199
"France",148083.104690987,4.33461611843163,0.104980733565928,NA,NA,NA,63,173
"French_Polynesia",NA,NA,NA,NA,NA,NA,NA,NA
"Gabon",6387.37021970965,4.04995562168044,0.0696420698986781,2436.88827223475,16.8888390648965,0.154156677913461,107,198
"Gambia",3074.30792097865,6.20270204001974,0.140196115169381,NA,NA,NA,188,NA
"Georgia",NA,NA,NA,NA,NA,NA,NA,NA
"Germany",175872.664218202,4.49400142146387,0.114932338983191,132611.778112501,7.60868110900356,0.0395181257211784,63,165
"Ghana",8373.16583489022,5.37778409324935,0.112030269400971,40815.6158978044,7.2697153224729,0.0630609523811944,89,149
"Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA
"Greece",2722.55244238965,3.01699079948895,0.110825185243814,NA,NA,NA,72,153
"Greenland",NA,NA,NA,NA,NA,NA,NA,NA
"Grenada",NA,NA,NA,NA,NA,NA,NA,NA
"Guam",NA,NA,NA,NA,NA,NA,93,NA
"Guatemala",79946.9588282001,5.86161470625375,0.0527888697479814,NA,NA,NA,99,NA
"Guernsey",NA,NA,NA,NA,NA,NA,NA,NA
"Guinea",5405.94853033036,3.13544908676532,0.066300939455558,4380.6143109138,9.4572046740734,0.0757103295840549,98,187
"Guinea_Bissau",1291.36884016023,3.56774965827351,0.162404277383116,707.152284949659,6.8274993035692,0.0853662792756996,116,168
"Guyana",NA,NA,NA,NA,NA,NA,NA,NA
"Haiti",7599.62545025858,4.63416459022889,0.0828993568884843,NA,NA,NA,115,NA
"Holy_See",NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",57068.7019306717,6.21562698883601,0.0563217387481122,8664.374844489,52.1396942378747,0.345893571645045,90,232
"Hungary",3961.4737415274,3.20115928068808,0.0882990335345142,2793.50953356194,9.97564198991677,0.0589397104997882,81,180
"Iceland",1749.5100465806,3.76705042484565,0.181761150574978,487.698783899737,11.9864690444355,0.0718449516821774,73,144
"India",6772200.96037911,6.99941535218224,0.0409535786650342,NA,NA,NA,75,NA
"Indonesia",242605.834725065,4.71551946221428,0.0317515574632238,NA,NA,NA,77,NA
"Iran",95727.283469947,4.29238092665628,0.108230258413564,288611.723264154,5.58108918469663,0.0418059187986512,59,125
"Iraq",280073.688503213,7.07271792966691,0.047159829428398,NA,NA,NA,73,NA
"Ireland",24975.5268625661,4.31041381471677,0.116014276455158,6740.01339901204,12.6832467376445,0.0735677644656241,76,182
"Isle_of_Man",NA,NA,NA,NA,NA,NA,NA,NA
"Israel",16406.5519188989,4.04895012888078,0.138615549036413,82698.9188884146,12.1079739173859,0.0881633050247711,74,144
"Italy",234731.18223965,3.84973974025877,0.0866734069713724,74965.5440045605,13.0277986416481,0.0638477074126974,57,195
"Jamaica",512.047798279355,3.7428222172281,0.163546408237691,NA,NA,NA,99,164
"Japan",16561.6906178529,7.3357911823976,0.122983964564157,58141.5255898814,15.3152989887044,0.0874307211894344,52,153
"Jersey",NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",146925.464163605,6.98383956946209,0.0566882418873809,NA,NA,NA,85,245
"Kenya",45045.327765749,6.59430835367794,0.0516457251182702,NA,NA,NA,95,NA
"Kosovo",19224.9710580626,5.90155510830505,0.0425779262033676,NA,NA,NA,88,NA
"Kuwait",69592.533682662,5.29596104841926,0.0507288378303232,14218.7631407085,35.707797552995,0.212826575358198,67,222
"Kyrgyzstan",43233.1232619937,13.9927768755703,0.122228540106933,NA,NA,NA,91,NA
"Laos",NA,NA,NA,NA,NA,NA,NA,NA
"Latvia",NA,NA,NA,NA,NA,NA,NA,NA
"Lebanon",NA,NA,NA,NA,NA,NA,76,NA
"Lesotho",NA,NA,NA,NA,NA,NA,NA,NA
"Liberia",NA,NA,NA,NA,NA,NA,NA,NA
"Libya",57626.0598677122,8.37947659154573,0.054194120916738,NA,NA,NA,115,NA
"Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",1762.96864943108,2.04918311230736,0.087178362798393,1549.04572883825,11.9144451070697,0.0760749354424716,84,185
"Luxembourg",3842.91869002922,2.67305919075021,0.153039931955672,3788.85710427876,13.7655358034626,0.103957690198584,79,161
"Madagascar",15668.0785301919,8.89824645528564,0.0790726898906451,NA,NA,NA,97,NA
"Malawi",412.534010605937,6.94102629219449,0.316355056874636,5048.01569224534,6.10876888939394,0.0841242967155327,135,167
"Malaysia",6466.73248818565,3.52342700998739,0.111355237324529,2139.80849947031,8.41485849303322,0.0904737515584282,69,141
"Maldives",2238.40789635732,2.76981953593715,0.089171776467734,6135.40065943068,10.3998719616419,0.089631396287426,115,184
"Mali",NA,NA,NA,NA,NA,NA,NA,NA
"Malta",612.947027426297,1.85822738635431,0.0627178982357661,1217.9122699267,26.7643089798491,0.177682778424224,84,197
"Mauritania",6593.97813913663,3.67919834253624,0.0908043798894783,NA,NA,NA,143,NA
"Mauritius",NA,NA,NA,NA,NA,NA,NA,NA
"Mexico",681824.164191669,5.05129200846064,0.0401501186312847,NA,NA,NA,80,NA
"Moldova",29644.0183217549,3.71648588856291,0.0378251613357916,19901.0287718387,12.552259153188,0.0858587416079858,84,196
"Monaco",NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",4803.34351029295,9.36253025986447,0.0760416537224933,NA,NA,NA,90,NA
"Montserrat",NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",NA,NA,NA,NA,NA,NA,83,NA
"Mozambique",8377.57860569917,4.65292809973445,0.0341336738957679,NA,NA,NA,119,NA
"Myanmar",NA,NA,NA,NA,NA,NA,NA,NA
