"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","a1_Gom","b1_Gom","c1_Gom","a2_Gom","b2_Gom","c2_Gom","startpoint","breakpoint"
"Afghanistan",37297.2400201736,5.47281787782481,0.0745275806600334,NA,NA,NA,38617.6027502537,22.2600934946084,0.0474578961609419,NA,NA,NA,87,NA
"Albania",27471.5493919262,5.21078048192594,0.0272695117763249,NA,NA,NA,9768529.7324198,11.2579219761089,0.00290239264634002,NA,NA,NA,78,NA
"Algeria",12053.5645833863,3.57709074352741,0.062167983687118,34732.8395505518,10.310611783768,0.0768458232201077,17517.977468837,4.89283684178435,0.0263920610724781,42775.1636102382,147.044128575062,0.0380515164430806,78,164
"Andorra",738.168780013438,2.38885760098519,0.160317213350281,92.5420357353826,401.093335375333,5.23703497353973,751.224872675396,3.43587036955513,0.110690022823521,NA,NA,NA,80,142
"Angola",3323.70860816827,5.16288683550513,0.0595848749032314,NA,NA,NA,8008.87214522226,7.94291956954139,0.0185588081777516,NA,NA,NA,142,NA
"Argentina",672092.949452945,6.94573424963247,0.0429777555562834,NA,NA,NA,4001066.36770139,11.7309565153134,0.00962065913727764,NA,NA,NA,77,NA
"Armenia",43817.9252321567,5.37735561756602,0.0542860277715131,NA,NA,NA,48822.491345743,15.6137192554468,0.0303044016151278,NA,NA,NA,79,NA
"Aruba",2087.68001913297,23.4447187689098,0.166159604363995,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA
"Australia",6874.40693456495,5.10851993814508,0.206664982552172,19119.4023359772,15.4183977393092,0.102895477837673,6945.58816440418,19.5495813035661,0.137413889786018,22585.1182519658,2242.27433613455,0.0526169905368327,66,162
"Austria",15935.0980559548,3.85548700064434,0.161877160934299,18913.3498890776,8.59106194127017,0.0488233962047157,16165.2371432498,8.4219185516952,0.106834486896083,66452.5005056251,20.2199293812858,0.0132899310738167,68,165
"Azerbaijan",37612.0266032758,5.72097612126539,0.0550071551618736,NA,NA,NA,43447.5736392111,16.9191455434783,0.0291000411452537,NA,NA,NA,83,NA
"Bahamas",2729.18366816175,11.4422783953634,0.0911657322516916,NA,NA,NA,5149.79799681264,82.9451083725554,0.0328717409500844,NA,NA,NA,108,NA
"Bahrain",47822.3812971727,5.3715435767905,0.0473001761280332,10648.7630719143,27.7564880535913,0.16558974173719,71772.5354742444,10.0590522201983,0.0194252408592234,13062.6063389495,1512709.06963237,0.0856173975342213,66,218
"Bangladesh",313906.582384319,4.6656399704562,0.0481459354228384,NA,NA,NA,384771.715919297,8.97085830025349,0.0238756594964108,NA,NA,NA,93,NA
"Belarus",67827.4285178202,4.17802508755295,0.063891965484281,3054.20877101354,39.6043718975446,0.249123223340733,71429.9460532975,9.04820447507963,0.0391255975491677,NA,NA,NA,81,227
"Belgium",59149.6834091516,3.88251185714271,0.100068422596544,25498.0243048258,16.1021426762898,0.101483814157652,60660.0856019979,8.33919056964302,0.0649909533882545,34239.6444242616,1422.34899233208,0.0458257592599822,65,181
"Belize",881.548652749631,3.53345902082943,0.205036519360357,NA,NA,NA,1079.59606862135,5.28077730413075,0.103577194650246,NA,NA,NA,216,NA
"Benin",308.838933496485,9.71703889265705,0.533978586365959,1273.49207123547,9.65163860271957,0.153346558177996,308.644112727471,3454.74609450484,0.468103258167964,1801.09703327244,60.7576911710554,0.0645032589452781,113,144
"Bolivia",136825.626013007,5.6606500042975,0.0463782260530745,NA,NA,NA,220938.146027422,10.7411843715595,0.0180662486154442,NA,NA,NA,88,NA
"Bosnia_and_Herzegovina",56647.926559005,5.19537426785453,0.0282049954956237,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA
"Botswana",1010.85799261143,3.75316038291202,0.0971560263373139,940.235239996042,11.7529802243721,0.17335477706585,1779.15095427261,5.19741421809118,0.0365321962236432,1118.35585006298,449.122797863039,0.0925495302995281,166,216
"Brazil",4516903.30800499,5.38865009245709,0.0404531252623499,NA,NA,NA,7194513.05406049,9.85597309657789,0.0160108098042013,NA,NA,NA,73,NA
"Bulgaria",2785.69077403509,3.29937207669736,0.0717110148696168,14298.3098719852,9.02178027541268,0.0690443759982523,3831.69576543212,4.37495077253117,0.0317734643483601,17726.2759752216,73.3221560386338,0.0336782940529117,77,151
"Cameroon",19816.26608635,4.45189540717911,0.0522434694048785,6254.33272756601,11.7975553469063,0.0997666468330496,70829.8381271133,6.39271121741678,0.0137371698256308,6501.3765807187,2216.49935423906,0.068242173838565,85,183
"Canada",102734.098488034,3.9362041396385,0.0705783371845354,23036.5513690577,13.3446940626877,0.0887201312815838,109875.95563531,7.57393027862337,0.0421462868934771,27322.436563044,1049.0333124536,0.0473364210833687,68,188
"Cape_Verde",437.959407264545,2.7034106709843,0.110527545889412,3775.21203005837,5.36317277502533,0.0524119425136735,695.966338475138,3.43954502335083,0.0441706983010465,5177.27798961103,11.3799159789334,0.0236866222316766,108,146
"Central_African_Republic",4679.31844180129,4.38461911492885,0.0871830252499715,NA,NA,NA,4820.46528226523,11.2886631593568,0.0561455640209538,NA,NA,NA,120,NA
"Chad",866.234877872687,2.58780735965246,0.127668890494675,NA,NA,NA,875.92198653729,3.75691180670463,0.0859676531371025,NA,NA,NA,121,NA
"Chile",388132.847746753,6.02552907410925,0.0631003686079787,NA,NA,NA,416079.634599359,26.2913913407439,0.0375173510245528,NA,NA,NA,76,NA
"China",84496.5334539896,7.48934252771658,0.202916234954477,NA,NA,NA,84759.8753651953,89.8682769306946,0.133973510789955,NA,NA,NA,6,NA
"Colombia",1008609.58620518,7.00808803833216,0.0444487049403302,NA,NA,NA,5507789.88758716,11.8576774738584,0.0101370218910661,NA,NA,NA,78,NA
"Congo",4454.23552207172,5.05981131668601,0.0518201718476634,NA,NA,NA,6116.03577480121,8.84270555055133,0.0221557090016742,NA,NA,NA,101,NA
"Costa_Rica",55819.8548806514,8.26643554383288,0.0544239813432488,NA,NA,NA,142385.29252517,20.9048637236758,0.0167454195998281,NA,NA,NA,79,NA
"Cote_dIvoire",18910.6571891848,5.3069056354085,0.0535196075927717,1103.51788367628,43.7220374793502,0.282033139558076,24568.5756965826,10.8824037313146,0.0245299272597572,NA,NA,NA,86,232
"Croatia",2154.40891034426,2.76948257996004,0.132454281703814,22045.8200955562,8.01946513338387,0.0435396990271718,2199.2174383005,4.26484303275163,0.0890373256317187,103355.365351702,15.2782027678503,0.0103785690686292,78,157
"Cuba",1849.90330350426,3.15833791291867,0.124882399860214,401.944382372678,14.3346154179902,0.198843026197105,1996.7906973555,4.78567523828035,0.0740544541088067,426.55819637434,5403.20148031956,0.123847257320647,87,145
"Cyprus",899.570177990431,2.79960977065811,0.129217503393428,572.566729091674,16.0936326982517,0.109137956085732,914.768172132414,4.35723058988492,0.0867416543532969,830.247520125306,973.307401779117,0.0461806233131268,80,177
"Czechia",8510.12863482436,3.05548972933057,0.11178430345185,21441.6987462092,7.49381616426618,0.0471649439734055,8827.42191576799,4.91948867468095,0.0718739677912481,49988.9084343297,17.4999555841581,0.015259434104459,72,155
"Democratic_Republic_of_the_Congo",9814.65817406032,4.65244323670063,0.0566334576243039,NA,NA,NA,10624.9534406981,11.18733211486,0.033066745072475,NA,NA,NA,88,NA
"Denmark",12278.9730096668,2.77396289426854,0.073490399004484,4486.64854589957,17.5357554247825,0.111223225178181,12700.8127540283,4.18930999457408,0.0480073954114659,6948.96538561294,1197.87346689006,0.0441104582509158,71,191
"Djibouti",1042.51414934776,4.56104375221447,0.351719853321472,3965.99772190015,7.93060892840512,0.138938947961206,1081.86014115547,12.6425299950828,0.22420460619746,4038.66370715944,99.698725118723,0.0874281151820248,97,127
"Dominican_Republic",139567.141052621,4.42121737591569,0.0326105339440419,NA,NA,NA,416190.999600647,6.24378774378728,0.00915046116337943,NA,NA,NA,83,NA
"Ecuador",42274.5594814766,5.13627158764967,0.11713247454665,85393.1047641492,6.78631450817974,0.0508514881759096,48236.3759384722,12.162569643024,0.0618148406846868,118013.580450783,21.8329526595497,0.0229825377954339,78,153
"Egypt",99339.3625547127,6.34738626484075,0.0626536038178535,NA,NA,NA,106055.284091312,32.1977971954468,0.0374880403955319,NA,NA,NA,71,NA
"El_Salvador",34033.5883527198,5.39409754032444,0.0445229932667496,NA,NA,NA,73363.8914648789,8.54891519245932,0.0144603004051711,NA,NA,NA,96,NA
"Equatorial_Guinea",1542.15810671126,3.40906735034798,0.0964022290487783,1895.76653349911,17.401970989704,0.231225828822013,2212.54108810177,4.49180745110325,0.0408590207303694,2052.00945010178,12099.9617916629,0.12924962700837,108,163
"Estonia",1852.97041815318,2.36023563280178,0.0996843511115462,599.087737913705,12.7111341162704,0.0770999972599004,1891.44356361264,3.31584031370905,0.0673147663899553,2335.34655582629,55.5822330276673,0.0199876200793672,75,181
"Eswatini",6146.92875069384,5.07269388690289,0.0487005966507277,NA,NA,NA,15162.4696742672,7.61250373131808,0.0148680480913025,NA,NA,NA,119,NA
"Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA
"Faroe_Islands",139.054981128401,1.4856564879852,0.274347356382262,223.030004823822,30.9642060972255,0.215070142530389,139.576929332267,2.05565300612304,0.209999859492065,NA,NA,NA,81,138
"Finland",7133.77108701488,2.98387291155403,0.0752423285490488,1042.39261504228,15.8712084867477,0.0979792574908315,7358.91208703151,4.70931811499046,0.0489681408575964,2145.4726434067,321.692209433782,0.0334413812176207,73,196
"France",147973.751830768,4.26882743702841,0.106084644461549,NA,NA,NA,152453.46949722,10.5000411233763,0.0680613201575098,NA,NA,NA,61,170
"French_Polynesia",726.343614191014,18.4673932952654,0.128489227998552,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA
"Gabon",3534.56638797355,4.9219956939034,0.119868663223455,2730.30396209281,13.998489921542,0.199449838782799,5472.02058800076,8.28407883719565,0.0482882071091502,2946.5419598137,3260.53885645128,0.119616799581997,105,160
"Gambia",3119.14097932405,6.10446050429775,0.140353576433963,NA,NA,NA,4158.34088244613,15.5941310769004,0.0636097055607045,NA,NA,NA,186,NA
"Germany",201751.782521829,3.27369598358402,0.0754974992554959,NA,NA,NA,206352.662881411,5.50704262770621,0.048018651148975,NA,NA,NA,61,NA
"Ghana",8569.0392414518,5.36149397019933,0.110919727392204,40557.6339661385,7.31477520913939,0.0636373611307359,19148.2589461412,8.2143487247908,0.034863818244686,48382.014235955,35.2813888536918,0.0323686613715692,86,146
"Greece",2720.0733924889,3.0471436164122,0.112156052736056,NA,NA,NA,2823.62061494266,4.84468299641335,0.0718152873227875,NA,NA,NA,69,150
"Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA
"Guatemala",81589.7966038535,5.82199539075316,0.0520049508467582,NA,NA,NA,120123.344198573,12.2195849226261,0.021600026894544,NA,NA,NA,96,NA
"Guinea",5424.48596817317,3.12490715716126,0.0661099546448551,4475.86140518396,9.35458000285854,0.0745050806513869,6343.5322559044,4.40327029795762,0.0352502338340153,5742.30697302363,90.1702560350687,0.0363921009821046,95,184
"Guinea_Bissau",1284.20181099819,4.15780655053747,0.168106836979065,742.720443652885,6.64754799537428,0.0801830838846038,1357.04298223417,9.24457824738313,0.10384003710004,791.450086908882,47.0653240702808,0.0502992891127728,110,164
"Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA
"Haiti",7648.24530030431,4.52348155745855,0.0820538633268137,NA,NA,NA,7935.96784006021,12.1933138864845,0.0521814587950664,NA,NA,NA,113,NA
"Honduras",57105.6227586261,6.22521132770278,0.0564034134553687,14056.7721815056,37.5440501832885,0.243140278161313,88622.899209193,13.7646459872043,0.0225308743365123,NA,NA,NA,87,229
"Hungary",3961.51906093064,3.2171103303644,0.0888353183639287,7553.49436588689,9.9873955967439,0.050998995385515,4133.47506405775,5.30050661067004,0.0561860145672395,846435.066766491,18.6129132855583,0.00638939388523048,78,177
"Iceland",1813.0235247054,3.80186089888859,0.171116701934308,NA,NA,NA,1820.99951708156,8.30473904099797,0.115415070902639,NA,NA,NA,69,NA
"India",6781332.14482373,7.0061879722713,0.040976520920417,NA,NA,NA,71829222.5826577,11.6035587362509,0.00783108107178972,NA,NA,NA,72,NA
"Indonesia",251077.297666058,4.68615321045556,0.0313242639803642,NA,NA,NA,801538.707077915,6.8448977641368,0.0086847506841295,NA,NA,NA,75,NA
"Iran",95537.4424342357,4.22513352825337,0.109417236366621,280106.785934067,5.64084427701072,0.0431247411488902,115343.753052394,7.10016950063055,0.0543492783468341,346242.688733459,15.4789421803864,0.0217961546088378,57,122
"Iraq",298207.36221058,7.02875808365036,0.0457084921758732,NA,NA,NA,592546.867577859,16.0984613001926,0.0159212098772096,NA,NA,NA,69,NA
"Ireland",25861.9110872794,3.96682812058038,0.106811260384314,NA,NA,NA,26131.273134874,9.14164161278482,0.0710560346310207,NA,NA,NA,74,NA
"Israel",16415.775666587,3.95074818521955,0.140127841236521,83533.0562347246,12.0119087207617,0.0879225243997234,17033.3498501616,8.50361380438139,0.0894948473549275,121791.461581654,169.477238341107,0.0370217965247005,72,142
"Italy",234553.78679718,3.78323462358254,0.0872465238571535,918307.402376004,14.1384309351479,0.0554308341923569,239586.089774055,8.0510183869035,0.0576349335943471,NA,NA,NA,55,191
"Jamaica",511.665103280761,3.82874973831827,0.167947143275858,NA,NA,NA,528.882649227801,7.71106781467216,0.106197890223525,NA,NA,NA,96,161
"Japan",16548.4047536013,7.56560607106509,0.124843389199022,58514.5635874599,15.4001250797675,0.0873532229063646,17343.3433185127,83.5084739241768,0.0788791143444981,89567.5850719476,563.814043278376,0.0352349185279496,48,149
"Jordan",388.954557093136,2.38005072516258,0.194890811713574,NA,NA,NA,402.901181612924,3.36909426441642,0.129876286346829,NA,NA,NA,80,120
"Kazakhstan",470433.316692595,7.3893396447837,0.047045732838618,53267.7850179174,25.6276615969969,0.185535179131013,NA,NA,NA,NA,NA,NA,82,205
"Kenya",43341.3589850772,6.68207810078711,0.0529905850874292,NA,NA,NA,84808.0656346733,13.478282393153,0.0180376726249735,NA,NA,NA,92,NA
"Kosovo",18499.7939009945,5.93355196240072,0.0433833605626744,NA,NA,NA,57238.9849989972,9.34382269096687,0.0118432801116116,NA,NA,NA,85,NA
"Kuwait",69583.0046587505,5.30180738510067,0.0507901187567112,16481.6945552691,30.7525250540953,0.181582567832824,84156.0876264058,12.9077772925278,0.0258430639014756,19882.5843292233,8893556.82920519,0.0953172736370012,64,219
"Kyrgyzstan",43270.6236955547,14.1290273856588,0.124471841879314,NA,NA,NA,45200.5097622612,5915.75317318124,0.0796086118317839,NA,NA,NA,89,NA
"Latvia",1051.7576694558,1.87186148051844,0.0732177328628479,282.321376535558,10.6621019863263,0.0764329194955689,1077.90604129697,2.54646638277475,0.0517425216616502,362.886433604803,158.37683167752,0.0367720535047002,79,179
"Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA
"Lesotho",1076.84759789037,2.44827957323989,0.0933891241037673,NA,NA,NA,1233.94909210928,3.1558847338636,0.0518299164591739,NA,NA,NA,189,NA
"Libya",40988.0345581068,8.17904339360139,0.0563626221748405,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA
"Lithuania",1761.31580257492,1.94208793756141,0.0863552933382245,1681.33344973176,11.7740759093892,0.074673600425951,1800.46014914665,2.64954827724097,0.0605357905086175,5924.2469908588,46.568241770544,0.0200936182555579,82,182
"Luxembourg",3842.48356144321,2.54006335535833,0.155008893872819,3860.71177656754,13.4271697557754,0.101786858292088,3894.56050848899,3.80101623108974,0.106960424176665,4320.87165417861,1301.09615239977,0.0562203259496424,77,158
"Madagascar",15554.37867161,9.02605907613329,0.0803800047819505,NA,NA,NA,17955.2513010883,102.075108547365,0.0429409645139939,NA,NA,NA,94,NA
"Malawi",410.28207740452,7.64642598176393,0.353094160695583,5128.93357649299,6.02356004672711,0.082563804672244,437.931508066916,94.0765653067363,0.22424567419071,5781.60635335639,22.1717421224847,0.0457333384751557,132,164
"Malaysia",6468.24543929392,3.54537900741327,0.11228186594542,2157.24434953543,8.06300658745577,0.0861204213919965,6918.13579350311,6.08100825976394,0.0673756447801294,2209.45167024584,191.085837894252,0.0599977130711047,66,138
"Maldives",2250.29286094663,2.75021678367583,0.0888742350171504,6489.93819809361,10.1945575338737,0.0868263694546092,2483.42123599963,3.76149612716625,0.0515501193096747,11651.6681212969,53.8738067624516,0.0317629450991633,112,181
"Mali",2598.5490715078,3.04494676234185,0.0542019337776078,214.437481058147,31.0111716572512,0.231622073003025,2935.85267595731,4.21251207510143,0.0297756345000758,NA,NA,NA,100,217
"Malta",611.647851465086,1.86937857398953,0.0628681685435111,1275.98561258049,26.3387785192175,0.174102470580543,626.309233650217,2.57903118692012,0.0449379012613672,NA,NA,NA,81,195
"Mauritania",6652.47872124332,3.64680156495438,0.0896836487632201,NA,NA,NA,6945.14436907096,6.86529710633798,0.0562993329811143,NA,NA,NA,140,NA
"Mexico",690723.42723901,5.03965671540389,0.0398248363088983,NA,NA,NA,1085154.88706946,8.58833948957049,0.0158568510217509,NA,NA,NA,77,NA
"Moldova",29810.502253132,3.68249226074604,0.0377404800085198,22399.6668729848,11.7943801125567,0.0795242347143185,82387.49674465,5.15514274929915,0.0112602535369914,35055.8071820584,149.312050481772,0.0328413062019099,82,193
"Mongolia",159.338259794076,0.802675383365866,0.140319678929855,22.7454944497957,23.009402631039,0.587664873967492,161.888539572925,1.31466962607643,0.110115536654106,23.7553743247918,853341.900388627,0.358335365285177,136,166
"Montenegro",4848.96929303707,9.35531622463765,0.0757622485840265,NA,NA,NA,5651.602783363,137.145641577926,0.0413280107881844,NA,NA,NA,87,NA
"Morocco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA
"Mozambique",9066.95324037439,4.66328623619561,0.0335367598701906,NA,NA,NA,92388.6819503421,7.47057931481293,0.00658831508931132,NA,NA,NA,117,NA
"Myanmar",NA,NA,NA,NA,NA,NA,9359.78288304178,4.65732928881379,0.00308861145226998,NA,NA,NA,106,NA
