"","country","current_state","max_spread","max_suppression","control_index","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"1","Afghanistan",1.7397422849298,23.1501934383687,25.7313676790362,0.899687639115647,1,1,161,NA,NA,NA,NA,89,NA,NA,NA,NA
"2","Albania",49.1646555991918,2.86827415042501,2.05669241376265,1.39460530472692,1,2,238,NA,NA,NA,NA,82,251,NA,NA,NA
"3","Algeria",15.1836621783413,19.5045720614917,8.51015805602589,2.29191654644779,2,2,142,212,NA,NA,NA,81,167,NA,NA,NA
"4","Angola",27.6624969716285,1.85618575055932,1.15319504900366,1.60960260119312,1,1,246,NA,NA,NA,NA,144,NA,NA,NA,NA
"5","Argentina",44.8239778884634,229.815541813694,0,-Inf,0,1,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
"6","Armenia",10.015521178588,14.9634491494768,12.8089622301141,1.16820152020571,1,1,183,NA,NA,NA,NA,81,NA,NA,NA,NA
"7","Aruba",12.9206397955095,5.7533891365459,0.649128133023268,8.86325648797549,0,1,NA,NA,NA,NA,NA,96,NA,NA,NA,NA
"8","Australia",3.28038964549067,21.9893557671456,18.0792206246381,1.21627785974241,2,2,92,219,NA,NA,NA,69,164,NA,NA,NA
"9","Austria",10.7227469168438,40.8752861750488,30.185678768598,1.35412844244441,1,2,91,NA,NA,NA,NA,70,167,NA,NA,NA
"10","Azerbaijan",10.5307942882493,13.5281586711346,17.6588919640638,0.766081965882382,1,2,190,NA,NA,NA,NA,86,233,NA,NA,NA
"11","Bahamas",24.1734505647753,2.32019860048055,0.574130644865697,4.04123803742143,1,1,237,NA,NA,NA,NA,110,NA,NA,NA,NA
"12","Bahrain",28.3833425171041,21.1920052669151,10.1961538289499,2.07843130090335,1,2,184,NA,NA,NA,NA,69,221,NA,NA,NA
"13","Bangladesh",23.2121315623073,83.2273513211476,47.5112468278539,1.75173999585199,1,2,183,NA,NA,NA,NA,95,260,NA,NA,NA
