"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Afghanistan",37795.2298612235,5.39535762426807,0.0719363493665987,NA,NA,NA,89,NA
"Albania",24402.844007832,5.11793794523927,0.0278893819925069,NA,NA,NA,NA,NA
"Algeria",12055.7095370002,3.56595701442826,0.0619797710057615,39296.8663602069,9.12826157100246,0.0657784510184096,81,167
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA
"Angola",4927.11788984764,4.9219718805596,0.0476710321019307,NA,NA,NA,144,NA
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",1080009.36810043,6.78962419037951,0.0371930853153043,NA,NA,NA,80,NA
"Armenia",45424.9270199248,5.2006095331727,0.0509856092613391,NA,NA,NA,81,NA
"Aruba",3770.3325722313,13.8394838710864,0.091188099982609,NA,NA,NA,96,NA
"Australia",6872.51304500705,4.92964995120414,0.198967130905419,19526.061765788,14.8506711956244,0.0987314042469229,69,164
"Austria",15928.370892275,3.93874043383261,0.158411658527057,966219.794018093,10.7179426662162,0.034584768460998,70,167
"Azerbaijan",38702.1089897088,5.60242463354856,0.0531890281980564,5269.13905540769,22.335038487631,0.134202657590966,86,233
"Bahamas",3664.21124961622,9.88765872549869,0.073470051425803,NA,NA,NA,110,NA
"Bahrain",47814.6272662,5.36344924514276,0.047232863452174,35891.2321581187,13.7970633621947,0.0710559171841294,69,221
"Bangladesh",336087.879611837,4.52301989786191,0.0444339389157874,15937.3505637215,85.7303020105838,0.501603636420042,95,260
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",67832.9504424506,4.16714614945973,0.0637142945502059,7433.70317311903,19.9252540967434,0.116069823761783,84,230
"Belgium",59202.7138340957,3.95460243500542,0.099281704253634,57292.5007977064,9.86782412972214,0.0528369164540978,67,184
"Belize",NA,NA,NA,NA,NA,NA,NA,NA
"Benin",301.905475717952,7.01734509770238,0.405746681796668,1212.27891954134,9.90090419771232,0.160807852482774,117,148
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",139704.954442955,5.59667954774871,0.0454416624787836,NA,NA,NA,91,NA
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",3694.00798396936,3.75874634777721,0.0444046152414357,NA,NA,NA,168,NA
"Brazil",5014059.81035887,5.21175895140577,0.0373882491514214,NA,NA,NA,76,NA
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",2779.91066253302,3.29225752344343,0.0716115965743272,14357.6098557629,8.95822388245204,0.0684901508905055,80,154
"Burkina_Faso",NA,NA,NA,NA,NA,NA,NA,NA
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",19342.1318559667,4.45567378980974,0.0528026438611328,7473.95009745581,8.38519764350732,0.0673354916191391,88,186
"Canada",102585.215083142,3.92997048905597,0.0705365374664635,16247.9197473327,18.6146890315432,0.131648218296266,71,190
