"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi"
"Afghanistan",37902.6231937978,5.50846498735111,0.0714533579730087,238334.172060073,5.34725460537087,0.0307482472257871
"Albania",12809504.3167783,10.1242418062748,0.0161533229925677,NA,NA,NA
"Algeria",61103.8564212714,4.44760882138011,0.0311760651688861,17992.2982059698,13.7622998880614,0.296994445189406
"Andorra",790.829357271974,2.58369661205126,0.135494789219072,6658.37329142852,6.80342588899867,0.0556708025264752
"Angola",27417.5686146353,5.65602307097813,0.0303217283315132,NA,NA,NA
"Argentina",1679225.56336612,6.65594261136928,0.031830311124064,NA,NA,NA
"Armenia",43713.2165736891,5.53408782016201,0.0543252553057397,96481.0467453343,5.83677150585154,0.0875240692511826
"Aruba",4580.60501346333,11.6205439140085,0.0714646924651641,NA,NA,NA
"Australia",6874.22222229382,5.52322036232057,0.199280789800122,20487.7636988763,5.12889090970035,0.0886787964292265
"Austria",NA,NA,NA,NA,NA,NA
"Azerbaijan",NA,NA,NA,NA,NA,NA
"Bahamas",8127.0985352864,7.15053892927392,0.0420820945383313,NA,NA,NA
"Bahrain",92235.0836523267,4.10329110150335,0.0246808965814418,NA,NA,NA
"Bangladesh",363971.615899822,4.37929538370679,0.0402179163762435,114237.309739641,2.54297283022214,0.0675352275461426
"Belarus",67674.9613041848,4.37239136078464,0.0640436854723212,185089.12134645,4.68592827164368,0.0363868915295366
"Belgium",NA,NA,NA,NA,NA,NA
"Belize",7930.45025259225,3.22517935098081,0.0321816820734743,-3452.04102688415,-2.03934539481337,-0.123190280624859
"Bolivia",143662.290870049,5.58923288590564,0.0437215076006566,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA
"Botswana",18489.1081338951,4.84152061615821,0.0294089929761983,NA,NA,NA
"Brazil",5604304.18291381,5.02208180581738,0.0334063584328505,618281.595284215,4.39183517982303,0.247530739843153
"Bulgaria",NA,NA,NA,NA,NA,NA
"Cameroon",20609.5054519422,4.03495439158578,0.0436235407817933,NA,NA,NA
"Canada",102198.231200444,4.16257087264707,0.0710962538016217,1949629.38935447,5.99921125447752,0.0274873197871304
"Cape_Verde",14202.1637250857,4.23660002808214,0.0231148769359752,NA,NA,NA
"Central_African_Republic",4782.47840537495,4.45973112323703,0.0825183577439698,NA,NA,NA
"Chile",497332.820247324,4.18205261513564,0.0362785401140755,NA,NA,NA
"China",86580.1287385009,4.98384003358056,0.182258765708077,NA,NA,NA
"Colombia",911682.482362691,7.24627223581707,0.0463480002424849,347970.659338856,5.27763866285159,0.139195729318249
"Congo",5233.89353037258,4.92950276445247,0.0456582130054867,-2195.44039097841,-1.11084031349518,-0.08709984726096
"Costa_Rica",148154.185785814,6.81714168523725,0.0341236401745978,NA,NA,NA
"Cote_dIvoire",19982.9105552191,4.96576211957166,0.0471238241978149,2703.83928564572,0.927713645095824,0.0348995489264471
"Croatia",NA,NA,NA,NA,NA,NA
"Cuba",2146.34256859291,2.9194030650359,0.0910703342844374,4443.1190694638,3.96500247110055,0.0522514441028919
"Curacao",4850.53890675931,4.07206305072801,0.0376297384189904,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA
"Czechia",597640.659419748,16.3986109307989,0.0692695665357859,NA,NA,NA
"Democratic_Republic_of_the_Congo",10121.7724994833,4.62415715134987,0.0533836311381914,61498.5518257553,5.07004556108321,0.0261656118928063
"Denmark",12229.4197333419,3.02479773410273,0.0746638924064829,149941.341390052,5.33432363269741,0.0343818450282152
"Djibouti",1051.50982869951,4.93986980614796,0.311502324773149,4007.65000122315,4.00049657224457,0.133243602396715
"Dominican_Republic",127859.841878812,4.477801332029,0.033523713868553,14059.9218285178,4.2180332731721,0.211363022240843
"Ecuador",41796.920797795,5.47386714071209,0.117533800990364,164587.26637807,2.90022447246979,0.0282893583634917
"Egypt",100764.20646578,6.36725918677319,0.0606716142165144,54862.5765416678,3.01124358860712,0.0326245743475088
"El_Salvador",31168.0186917001,5.65263890718959,0.0471613429767337,6617.97836730338,9.11823705552889,0.157667061248287
"Equatorial_Guinea",1692.85480117281,3.52905551841331,0.0881055602158514,1407.66064661086,10.7699101232649,0.423790916153108
"Estonia",NA,NA,NA,NA,NA,NA
"Eswatini",5845.73653487615,5.17265680634306,0.0492610076922443,644.808227053607,2.95728251080419,0.121194841575825
"Ethiopia",99402.7374708026,7.08109071316575,0.0468082197620399,8772.17459332154,3.3361587554779,0.26220774108606
