"country","current_state","first_day","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"Afghanistan",6.55562838692048,86,2,1,157,326,NA,NA,NA,273,NA,NA,NA,NA
"Albania",37.1804559113441,77,1,0,331,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",28.3532548772827,77,1,1,208,NA,NA,NA,NA,281,NA,NA,NA,NA
"Andorra",17.0358145432569,79,3,2,90,155,298,NA,NA,141,182,NA,NA,NA
"Angola",13.4930029365729,141,1,0,303,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",29.0450142348135,76,1,0,293,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",11.1980201957076,78,2,1,179,303,NA,NA,NA,244,NA,NA,NA,NA
"Aruba",2.36126067420973,90,1,0,256,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",0.444866974749817,65,2,1,87,215,NA,NA,NA,161,NA,NA,NA,NA
"Austria",19.5130960692383,67,2,1,87,318,NA,NA,NA,164,NA,NA,NA,NA
"Azerbaijan",26.8172237014211,82,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas",5.89958681729533,107,1,0,292,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",5.39688271261942,65,1,0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh",24.7076768283149,92,1,1,179,NA,NA,NA,NA,280,NA,NA,NA,NA
"Belarus",47.6392766957887,80,1,1,138,NA,NA,NA,NA,226,NA,NA,NA,NA
"Belgium",3.28345366501434,64,2,1,98,299,NA,NA,NA,180,NA,NA,NA,NA
"Belize",23.364579915503,215,1,1,314,NA,NA,NA,NA,327,NA,NA,NA,NA
"Bolivia",3.15246375300759,87,1,0,202,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",15.9290380404463,81,1,0,310,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",4.37200955182811,165,1,1,285,NA,NA,NA,NA,336,NA,NA,NA,NA
"Brazil",38.1564236804299,72,1,1,212,NA,NA,NA,NA,309,NA,NA,NA,NA
"Bulgaria",21.7033200826691,76,1,0,321,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",7.11963810839436,84,2,1,160,327,NA,NA,NA,298,NA,NA,NA,NA
"Canada",45.4963414470368,67,1,1,118,NA,NA,NA,NA,187,NA,NA,NA,NA
"Cape_Verde",19.5456020888886,107,1,0,287,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central_African_Republic",0.14630913268063,119,1,0,175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",4.53217422050861,75,1,0,169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",0.0370218867662425,18,1,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",35.7948709595109,77,1,1,228,NA,NA,NA,NA,274,NA,NA,NA,NA
"Congo",4.1985797490252,100,2,2,198,247,NA,NA,NA,233,288,NA,NA,NA
"Costa_Rica",43.6490685556435,78,1,1,261,NA,NA,NA,NA,336,NA,NA,NA,NA
"Cote_dIvoire",2.23036817470913,85,1,1,173,NA,NA,NA,NA,315,NA,NA,NA,NA
"Croatia",32.3381771571379,77,1,1,244,NA,NA,NA,NA,268,NA,NA,NA,NA
"Cuba",18.4761403796895,86,2,2,108,261,NA,NA,NA,180,286,NA,NA,NA
"Curacao",26.7303040008178,241,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",28.5461762725799,79,1,1,96,NA,NA,NA,NA,176,NA,NA,NA,NA
"Czechia",7.89353099013514,71,1,0,302,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Democratic_Republic_of_the_Congo",16.8976110119754,87,1,1,175,NA,NA,NA,NA,267,NA,NA,NA,NA
"Denmark",30.5644259698914,70,1,1,97,NA,NA,NA,NA,190,NA,NA,NA,NA
"Djibouti",0.186791654462105,96,4,3,108,151,217,296,NA,126,205,247,NA,NA
"Dominican_Republic",27.6178142494791,82,1,1,209,NA,NA,NA,NA,307,NA,NA,NA,NA
"Ecuador",8.40749008460144,77,2,2,120,262,NA,NA,NA,152,324,NA,NA,NA
"Egypt",7.21706201107606,70,1,1,169,NA,NA,NA,NA,278,NA,NA,NA,NA
"El_Salvador",14.1516832986726,95,1,1,217,NA,NA,NA,NA,257,NA,NA,NA,NA
"Equatorial_Guinea",0.185225424688218,107,3,2,141,184,215,NA,NA,162,200,NA,NA,NA
"Estonia",33.4056250916037,74,1,1,93,NA,NA,NA,NA,180,NA,NA,NA,NA
"Eswatini",11.1935932179174,118,1,1,226,NA,NA,NA,NA,306,NA,NA,NA,NA
"Ethiopia",8.48389305982102,99,1,1,237,NA,NA,NA,NA,315,NA,NA,NA,NA
"Finland",28.405175952134,72,1,1,100,NA,NA,NA,NA,195,NA,NA,NA,NA
"France",9.00947784809321,60,2,1,94,309,NA,NA,NA,169,NA,NA,NA,NA
"French_Polynesia",14.6467338987829,100,1,0,310,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon",1.54424841577498,104,1,1,171,NA,NA,NA,NA,294,NA,NA,NA,NA
"Gambia",0.387261043879178,185,1,0,229,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia",40.0047852262897,83,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",26.0938188688967,60,2,1,93,319,NA,NA,NA,162,NA,NA,NA,NA
"Ghana",4.84436870693593,85,2,1,209,317,NA,NA,NA,286,NA,NA,NA,NA
"Greece",18.0073006684301,68,2,1,91,320,NA,NA,NA,149,NA,NA,NA,NA
"Guam",9.89254852584725,88,2,1,94,317,NA,NA,NA,132,NA,NA,NA,NA
"Guatemala",15.090333170929,95,1,1,201,NA,NA,NA,NA,308,NA,NA,NA,NA
"Guinea",7.9545838995016,94,1,1,228,NA,NA,NA,NA,336,NA,NA,NA,NA
"Guyana",18.3199764351694,107,1,1,266,NA,NA,NA,NA,303,NA,NA,NA,NA
"Haiti",0.658443890875406,112,1,0,156,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",15.8153276248102,86,1,1,184,NA,NA,NA,NA,323,NA,NA,NA,NA
"Hungary",31.1724496412989,77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iceland",3.72548725294354,68,2,1,89,286,NA,NA,NA,139,NA,NA,NA,NA
"India",29.3946563840877,71,1,0,258,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia",65.1112427799464,74,1,1,271,NA,NA,NA,NA,308,NA,NA,NA,NA
"Iran",47.5743021155452,56,1,1,156,NA,NA,NA,NA,248,NA,NA,NA,NA
"Iraq",25.5302784573325,68,1,1,270,NA,NA,NA,NA,336,NA,NA,NA,NA
"Ireland",6.0854832152815,73,2,1,106,294,NA,NA,NA,178,NA,NA,NA,NA
"Israel",5.85852312237878,71,2,1,94,272,NA,NA,NA,141,NA,NA,NA,NA
"Italy",21.1850624498201,54,2,1,86,318,NA,NA,NA,190,NA,NA,NA,NA
"Jamaica",8.49748466557928,95,2,2,116,266,NA,NA,NA,160,316,NA,NA,NA
"Japan",30.5580402155458,47,2,2,105,219,NA,NA,NA,148,268,NA,NA,NA
"Jordan",24.9055670506599,79,1,0,323,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",4.21656049844945,81,1,1,185,NA,NA,NA,NA,277,NA,NA,NA,NA
"Kenya",30.6914490186699,91,2,1,215,319,NA,NA,NA,260,NA,NA,NA,NA
"Kosovo",22.4490521806808,84,2,1,213,325,NA,NA,NA,277,NA,NA,NA,NA
"Kuwait",8.13403761120635,63,1,1,141,NA,NA,NA,NA,336,NA,NA,NA,NA
"Kyrgyzstan",3.15718591479076,88,1,1,201,NA,NA,NA,NA,256,NA,NA,NA,NA
"Latvia",32.4469461437151,78,1,1,90,NA,NA,NA,NA,178,NA,NA,NA,NA
"Lebanon",42.2112976448958,72,1,0,312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Libya",27.2350302314551,112,1,0,299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",35.1150143481196,81,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",16.0466644394024,76,3,2,88,205,307,NA,NA,157,245,NA,NA,NA
"Madagascar",0.321560650442563,93,1,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malawi",0.721661033313257,131,1,0,198,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malaysia",41.3831034735149,65,1,1,92,NA,NA,NA,NA,187,NA,NA,NA,NA
"Maldives",6.8524681817904,111,1,1,237,NA,NA,NA,NA,307,NA,NA,NA,NA
"Mali",20.1527393813913,99,1,1,159,NA,NA,NA,NA,216,NA,NA,NA,NA
"Malta",19.3775583429774,79,2,1,98,314,NA,NA,NA,193,NA,NA,NA,NA
"Mauritania",8.42761548266998,139,1,1,175,NA,NA,NA,NA,283,NA,NA,NA,NA
"Mexico",26.6448377427247,72,1,1,202,NA,NA,NA,NA,290,NA,NA,NA,NA
"Moldova",51.4980921540902,81,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",17.3900467518769,86,1,0,318,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",36.0600647257704,79,2,1,112,317,NA,NA,NA,153,NA,NA,NA,NA
"Mozambique",9.48593985990696,116,1,1,267,NA,NA,NA,NA,336,NA,NA,NA,NA
"Myanmar",32.1465534413008,105,1,1,286,NA,NA,NA,NA,313,NA,NA,NA,NA
"Namibia",7.57894182788815,174,1,1,238,NA,NA,NA,NA,313,NA,NA,NA,NA
"Nepal",12.3124647299985,118,2,1,178,292,NA,NA,NA,201,NA,NA,NA,NA
"Netherlands",17.3490003508206,66,2,1,101,301,NA,NA,NA,189,NA,NA,NA,NA
"New_Zealand",0.864790985042887,81,2,1,90,297,NA,NA,NA,156,NA,NA,NA,NA
"Nicaragua",1.32879892562927,144,1,1,150,NA,NA,NA,NA,336,NA,NA,NA,NA
