"","a1_Gom","b1_Gom","c1_Gom","a2_Gom","b2_Gom","c2_Gom","a3_Gom","b3_Gom","c3_Gom"
"Afghanistan",38807.6888213346,21.4507654243773,0.0468098585280952,25220.2208168132,5.12163119356936,0.0215325393859032,NA,NA,NA
"Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",90912.024260852,6.40594054824692,0.0125984688180011,229842.599298127,6.39609428019288,0.020931010928524,NA,NA,NA
"Andorra",751.224814817937,3.43587222493539,0.110690077820181,NA,NA,NA,NA,NA,NA
"Angola",132249.707418035,8.47333303724413,0.00715210458208398,NA,NA,NA,NA,NA,NA
"Argentina",2637681.00927938,15.5619356371752,0.0126142431797604,NA,NA,NA,NA,NA,NA
"Armenia",48822.4911622423,15.6137197060965,0.0303044019569473,126242.098868663,12.7518387426234,0.0405595304831235,NA,NA,NA
"Aruba",4753.85903689562,987.12515414551,0.0455464853298766,NA,NA,NA,NA,NA,NA
"Australia",6945.58797128347,19.5496059738613,0.137413946905327,20377.6159283626,19.9168399018104,0.0617691985038478,NA,NA,NA
"Austria",16165.2370131312,8.42191991590285,0.106834495543818,NA,NA,NA,NA,NA,NA
"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas",9904.61273614824,28.5980490767674,0.0208613261603764,NA,NA,NA,NA,NA,NA
"Bahrain",110369.510714621,6.75821226765457,0.0126555117439548,NA,NA,NA,NA,NA,NA
"Bangladesh",418687.34849722,8.02851042499375,0.0216287059928609,167932.94700183,3.51311518947085,0.0309392291496732,NA,NA,NA
"Belarus",71429.9467333706,9.04820417913844,0.0391255965992794,1823464.22674278,7.68209915466739,0.00762038462488457,NA,NA,NA
"Belgium",60692.4866310095,8.3420226521393,0.0650016603297516,598647.917105839,431.138769334032,0.0531717434279739,NA,NA,NA
"Belize",21944.1084534485,4.40818412600252,0.0097190455851773,802.761591944132,4.64389708066559,0.317459013557446,NA,NA,NA
"Bolivia",150713.059928721,20.1431487246455,0.0269446217044684,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",95225.8335511443,7.09101692284642,0.00685947115626705,NA,NA,NA,NA,NA,NA
"Brazil",6680125.18645529,10.4974410423525,0.0170279567623725,1188419.05553991,3.87893317176241,0.0767733960543542,NA,NA,NA
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",21720.8024190561,7.83576894781543,0.0268452596420637,10926.5272296859,5.00333609595286,0.0338441477905484,NA,NA,NA
"Canada",109875.958770909,7.57392873932286,0.0421462824110472,NA,NA,NA,NA,NA,NA
"Cape_Verde",28178.0830005253,5.88382490616183,0.00798869979636218,NA,NA,NA,NA,NA,NA
"Central_African_Republic",4826.86926830296,11.0970665008108,0.0557321539314763,NA,NA,NA,NA,NA,NA
"Chile",527470.772765923,8.81968792654189,0.0223132872067446,NA,NA,NA,NA,NA,NA
"China",86851.8960596685,12.6624186105586,0.122305097435753,NA,NA,NA,NA,NA,NA
"Colombia",1322394.35314121,21.3412607121504,0.0194972031160537,625552.214821739,3.51287923616664,0.0404090918333636,NA,NA,NA
"Congo",10383.6738817385,7.01739889433307,0.0153161720489455,1206.68431243329,18.2434345671207,0.216045797845389,2880.69964557073,5.21864614935472,0.0252663722055331
"Costa_Rica",209351.13260549,19.0315356730489,0.0147567666461022,NA,NA,NA,NA,NA,NA
"Cote_dIvoire",20833.2119086821,14.7827696062682,0.0298096303302796,526.210266264303,3.95866661875601,0.141234917561482,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",2232.72216059653,3.85250805511895,0.057888184642262,5289.29552020174,7.40723133580479,0.028402589908548,2571.99125381809,3.72473154622009,0.059358586254992
"Curacao",1843918.73568057,10.0261599062227,0.00411533837354299,NA,NA,NA,NA,NA,NA
"Cyprus",914.767888758727,4.35724580888664,0.0867418780714523,NA,NA,NA,NA,NA,NA
"Czechia",776656.127289783,1896.85696495308,0.0324802234615166,NA,NA,NA,NA,NA,NA
"Democratic_Republic_of_the_Congo",10701.0818421531,10.9125228163703,0.032606613465421,29991.4084613959,5.63154312608946,0.0108496394789708,NA,NA,NA
"Denmark",12700.8128713385,4.189309778637,0.0480073933709749,1185801.18388149,8.43681869921807,0.00737840332891582,NA,NA,NA
"Djibouti",1081.86085307145,12.6423790090761,0.224203631085217,3763.03770809329,11.6600914963084,0.11235497871021,347.492023874139,78.1640835933799,0.373743072978195
"Dominican_Republic",151886.269524806,7.83615996490703,0.0169776367390519,31537.5560255857,4.08029436952048,0.0608017258095916,NA,NA,NA
"Ecuador",48236.4228117538,12.1624973525126,0.0618146766776601,212963.802378806,3.71001957108305,0.0136374143163686,36488.1055667532,4.17066347806205,0.0958026969194786
"Egypt",104217.195544568,35.8539664183946,0.0388720005426367,42075.8359725041,4.4878837931742,0.0216500553675046,NA,NA,NA
"El_Salvador",42622.0505237615,11.2809327575802,0.0206347682074249,17758.2991368718,3.83594339534844,0.0278243603421789,NA,NA,NA
"Equatorial_Guinea",2212.55050484052,4.49180206726199,0.0408588583916375,2052.00899289461,9.89697453670608,0.12924969960381,NA,NA,NA
