"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","a3_Logi","b3_Logi","c3_Logi"
"Afghanistan",37946.7234873006,5.3055203928488,0.0715397050131559,10279.6548354059,3.69276645024387,0.0683530471379615,NA,NA,NA
"Albania",870.210381880485,2.85552383666003,0.0975041586549769,NA,NA,NA,NA,NA,NA
"Algeria",12053.574987704,3.57708780299597,0.0621678957612658,41140.8820621826,3.3692799480381,0.0614817557130798,50561.9790616682,4.34748879224013,0.0857591041264115
"Andorra",738.168831319127,2.38885806201039,0.160317191343514,92.5420351267311,76.3973404046033,5.23704667341966,6483.18630097662,6.96231236922817,0.0585920375470352
"Angola",25456.6681299962,5.57170136107594,0.0310932222478001,NA,NA,NA,NA,NA,NA
"Argentina",1677596.03820966,6.56802515732074,0.0318773512072216,NA,NA,NA,NA,NA,NA
"Armenia",43817.9235238106,5.3773561104723,0.0542860340499068,97784.8768948757,5.56753430509625,0.0868850262210076,NA,NA,NA
"Aruba",4587.84672141024,11.4235540361932,0.0714765904678204,NA,NA,NA,NA,NA,NA
"Australia",6874.40863544704,5.10850437526184,0.206664224446587,20108.927331315,5.14757402277244,0.0929762859747183,NA,NA,NA
"Austria",15935.1032135989,3.85547630840012,0.161876568814773,715559.133284983,8.7392071618626,0.0481354316048168,NA,NA,NA
"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas",8092.73672014824,7.06156395816944,0.0423536128909354,NA,NA,NA,NA,NA,NA
"Bahrain",47822.3642337577,5.37154611787703,0.0473002061485997,44193.8217166989,2.91211640726535,0.0590954076658578,NA,NA,NA
"Bangladesh",367209.696088105,4.23421259476082,0.0397581398243713,114640.016178109,2.71040964828056,0.070857138162404,NA,NA,NA
"Belarus",67827.4208439006,4.17802985741761,0.0638920369711473,141974.02285425,4.7062921798043,0.0412428654523203,NA,NA,NA
"Belgium",59181.5270116257,3.88304234891198,0.100085108222645,538862.942540506,11.08015456271,0.0932532099870616,NA,NA,NA
"Belize",1629.72344245256,3.13611472645433,0.114901174015881,4981.70873442112,3.20710806481647,0.0638720451681802,670.337191918522,3.2403016392619,0.609642850084139
"Bolivia",143735.864224753,5.46206334795855,0.0437375685104598,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",36763.4142517155,5.04822754174071,0.0315789061544777,62976.2779964644,4.18711043169421,0.107103780749206,NA,NA,NA
