"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","a3_Logi","b3_Logi","c3_Logi"
"Afghanistan",37902.6312026376,5.50845707132721,0.0714532389704038,9943.55112301271,3.83159451795145,0.0686069866217848,NA,NA,NA
"Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",61103.8700917833,4.44760790533584,0.0311760547095999,56381.0013216893,4.4436305909817,0.0795290134938657,NA,NA,NA
"Andorra",744.104253195996,2.86250411704661,0.161175281724857,93.2370524611269,11.9959320132636,0.6835393081862,6410.1112848247,7.1629284304086,0.0590178965702553
"Angola",27417.5629785275,5.65602313710289,0.0303217307856828,NA,NA,NA,NA,NA,NA
"Argentina",1679225.4130017,6.65594322907607,0.031830315127356,NA,NA,NA,NA,NA,NA
"Armenia",43713.2191399013,5.5340870012166,0.054325245515143,97952.8960608176,5.70110091044734,0.085283363854714,NA,NA,NA
"Aruba",4580.60512869154,11.6205423084529,0.07146468191641,NA,NA,NA,NA,NA,NA
"Australia",6874.22030364406,5.52323478667195,0.19928144714704,20112.6120368102,5.38477788453037,0.0923343533790997,NA,NA,NA
"Austria",15908.5143331577,4.27405356331557,0.159566469849707,1500484.15999593,9.09867658250798,0.0439073243536992,NA,NA,NA
"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas",8127.09932028809,7.15053763938916,0.042082085455964,NA,NA,NA,NA,NA,NA
"Bahrain",92235.1136123967,4.10328780792346,0.0246808724120165,NA,NA,NA,NA,NA,NA
"Bangladesh",363971.78641945,4.37929678093202,0.0402179091618597,108666.789976234,2.68291415912469,0.0718935004143908,NA,NA,NA
"Belarus",67674.9597548386,4.37239212738282,0.0640436969770546,138237.198302187,4.75097372164174,0.0409215699280383,NA,NA,NA
"Belgium",59026.310653652,4.17847379962792,0.100181813410127,543434.940803009,11.1013907245402,0.0909777217524368,NA,NA,NA
"Belize",7930.49196451786,3.22517708676011,0.0321815480183514,624.001764184747,3.4297251578196,0.555038462044421,NA,NA,NA
"Bolivia",143662.289827704,5.58923338026733,0.0437215113312528,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",18489.1109303981,4.8415206007475,0.0294089911380487,NA,NA,NA,NA,NA,NA
"Brazil",5604304.27368506,5.0220815549263,0.0334063565346817,781766.205488007,3.1231713317548,0.175560794511028,NA,NA,NA
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",20609.5120234433,4.03495083844299,0.043623485264267,5111.32709912795,3.88262125091446,0.100558397740206,NA,NA,NA
"Canada",102198.238333648,4.16257111854183,0.0710962503589005,1181004.04568572,5.71089911037188,0.0294908713689797,NA,NA,NA
"Cape_Verde",14202.1851773983,4.23659723009692,0.0231148428509124,NA,NA,NA,NA,NA,NA
"Central_African_Republic",4782.47830710903,4.45973205630191,0.0825183796049827,NA,NA,NA,NA,NA,NA
"Chile",497332.899603693,4.1820519154129,0.0362785253309058,NA,NA,NA,NA,NA,NA
"China",86580.1174896833,4.98387849344524,0.182260349135329,NA,NA,NA,NA,NA,NA
"Colombia",911682.684809233,7.24627136185248,0.0463479907251999,510857.392729335,2.73116195450342,0.0785072204534698,NA,NA,NA
"Congo",5233.89263364766,4.92950317882139,0.0456582205204782,1242.88954881163,4.8565868835959,0.269629953436668,1014.00290804514,3.48229382926533,0.0770322334670637
"Costa_Rica",148154.160189194,6.81714101333452,0.0341236396241369,NA,NA,NA,NA,NA,NA
"Cote_dIvoire",19982.9082421356,4.96576495511232,0.0471238557785363,420.734714271602,3.3248487532905,0.278854796731085,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",2146.34291197922,2.91940175078254,0.0910702680933795,3971.67072734917,4.55216674853479,0.0614194175424375,2136.66576784729,3.00687627674926,0.11453433007765
"Curacao",4850.54828507966,4.07206506702736,0.0376297304561207,NA,NA,NA,NA,NA,NA
"Cyprus",914.609700837166,3.07717112643574,0.126762417895687,21102.8125747174,8.47298670999903,0.0508759835917212,NA,NA,NA
"Czechia",597640.806830076,16.3986035149627,0.0692695326801231,NA,NA,NA,NA,NA,NA
"Democratic_Republic_of_the_Congo",10121.77203063,4.62415777878858,0.0533836407919946,3898.1202274412,3.40091410380532,0.0486521269052622,NA,NA,NA
"Denmark",12229.418750286,3.02479824271796,0.0746639169144586,131434.221690992,5.44969878441984,0.0366357812150208,NA,NA,NA
"Djibouti",1051.50981318264,4.93987017743322,0.311502350314822,3688.28106107649,4.84172639858777,0.170880092607248,365.710594772667,5.32579367469646,0.345457552834716
"Dominican_Republic",127859.839021794,4.47780151901886,0.0335237157632264,18634.1923841067,2.95619645072481,0.143821690221388,NA,NA,NA
"Ecuador",41796.9459139708,5.4738557571269,0.117533527061224,164476.124818208,2.90303044143061,0.0283165475445982,9643.33821760737,2.83696526214508,0.384877433216189
"Egypt",100764.206347319,6.36725924015727,0.0606716147611062,16821.350136556,3.19597997321109,0.0653517018280057,NA,NA,NA
"El_Salvador",31168.0234831132,5.65263872640126,0.0471613377024551,13399.5639055147,2.94141750445314,0.0582834369340079,NA,NA,NA
"Equatorial_Guinea",1692.85975449913,3.52905221480171,0.088105302984812,1949.53393171952,5.09402671580148,0.216341167323043,1946.63678804852,11.2318743067586,0.590977406967142
"Estonia",1856.0012106425,2.69374864089813,0.101901349434715,NA,NA,NA,NA,NA,NA
"Eswatini",5845.73692492267,5.17265564145128,0.049260994648469,601.222413337216,3.09990717246095,0.130456174070816,NA,NA,NA
"Ethiopia",99402.7225847805,7.08109695807518,0.0468082615571748,9963.33149789301,2.74642710843165,0.219052126985951,NA,NA,NA
"Finland",7134.78772132799,3.21174679130403,0.0755196820142152,21623.3249267044,5.77780910377482,0.0467932014177966,NA,NA,NA
"France",147092.557186219,4.60314003483546,0.106868828522495,3092970.50389471,7.19584053330217,0.0479890283309629,NA,NA,NA
"French_Polynesia",17590.5744571886,13.6199942578689,0.0634220266422615,NA,NA,NA,NA,NA,NA
"Gabon",8771.48600820397,3.47796169579387,0.0462471964158883,352.185058347235,2.78484231395161,0.101434012082456,NA,NA,NA
"Gambia",3597.07089326701,5.45972726310467,0.109910680513052,NA,NA,NA,NA,NA,NA
"Georgia",231304.917384482,16.2359459622961,0.064647896059439,NA,NA,NA,NA,NA,NA
"Germany",175285.867176476,4.75398520875604,0.115949844976936,27628365.2325829,9.6578897080371,0.035788886235897,NA,NA,NA
"Ghana",48436.2087546219,5.02570308633937,0.0450261929638159,5112.7523774547,3.80757531190129,0.11060852756913,NA,NA,NA
"Greece",2731.13843101065,3.33669557970661,0.112022817558018,NA,NA,NA,NA,NA,NA
"Guam",114.231483621271,2.53848656425953,0.243618932216245,9681.34080128798,6.05389697455348,0.0334738312872383,NA,NA,NA
"Guatemala",104503.114568099,5.0453614753316,0.0390563882889932,14538.390829958,2.7759187138526,0.172111085911533,NA,NA,NA
"Guinea",13028.5847857804,2.57562711131311,0.0229869763394699,NA,NA,NA,NA,NA,NA
"Guyana",5274.11250500073,7.2497164654233,0.042825664312965,1373.43750371961,2.92474576871905,0.150563730534332,NA,NA,NA
"Haiti",8640.35624898437,3.76097249036392,0.0585580771621196,NA,NA,NA,NA,NA,NA
"Honduras",104725.097762525,4.51707609596449,0.0297767008335181,6609.74705169594,3.21055747589093,0.280762862887746,NA,NA,NA
"Hungary",1044413.52982955,11.797196301921,0.0401039381352351,NA,NA,NA,NA,NA,NA
"Iceland",1782.39828749971,4.3144984075194,0.176327188799206,3740.18413735366,11.0942000854872,0.0724432613159974,NA,NA,NA
"India",9789847.56840178,6.8342861846939,0.0356642770653834,NA,NA,NA,NA,NA,NA
"Indonesia",731938.932598216,5.08430683036331,0.0226450134019467,126336.519570582,2.88644501304823,0.162881560772039,NA,NA,NA
"Iran",430593.994370783,3.17120320857707,0.0252908100086353,1253751.73350424,4.08562568979818,0.0427149110825861,NA,NA,NA
"Iraq",588146.118139856,6.03047531633163,0.0309389303978292,NA,NA,NA,NA,NA,NA
"Ireland",24960.7968448462,4.54785423227548,0.116308103735796,51127.5510525744,7.51651533613245,0.0625069463220255,NA,NA,NA
"Israel",16392.4021411907,4.33214953249412,0.139092406756664,338332.389520377,5.4280159006385,0.0439727012606335,NA,NA,NA
"Italy",234107.379154413,4.04540524361933,0.0873541134626588,1867734.30221044,10.2953587700862,0.0760297377692414,NA,NA,NA
"Jamaica",517.892284459751,4.10636847968796,0.161866897624223,9051.80178200382,7.39256760980423,0.0669055498964758,1212.26661599353,3.09529220677213,0.246821777023973
"Japan",16549.7635929776,7.82437393320287,0.123071219761025,62559.6482270455,6.43164030374031,0.080156153135351,331087.487442479,4.51783597190801,0.0443783627183051
"Jordan",324735.559666342,16.5003678240546,0.0662428579146722,NA,NA,NA,NA,NA,NA
"Kazakhstan",142194.493367545,7.33639760144573,0.0588059497309338,47939.6807927092,3.75999441213114,0.0724497900587346,NA,NA,NA
"Kenya",39732.6933016964,7.10443178183482,0.056640953563751,57517.9510525522,4.48275115226535,0.0748556073500306,NA,NA,NA
"Kosovo",16570.9666037116,6.30285664987716,0.0469376250753541,28399.7467346368,5.27453218093618,0.107941489660005,NA,NA,NA
"Kuwait",145435.050159477,3.77478487064459,0.0227162703702711,NA,NA,NA,NA,NA,NA
"Kyrgyzstan",43775.7785534785,13.8449966672739,0.118588377342839,29970.2997285073,4.26579489047063,0.0780120355350162,NA,NA,NA
"Latvia",1057.58079971263,2.13601036041833,0.0762519902483568,27966.053075595,9.54916288048784,0.0601917709537458,NA,NA,NA
"Lebanon",180487.329631791,8.54950155231211,0.0351215589371949,NA,NA,NA,NA,NA,NA
"Libya",94851.0168204643,7.09894844776971,0.0390070242802904,NA,NA,NA,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",3849.07137730818,3.0137141148114,0.15597600952142,3829.12464186598,5.473066921589,0.102151459432188,32264.9177508512,5.70697321929659,0.0773697485687501
"Madagascar",16741.0621494373,7.96749654584564,0.0674397281154797,NA,NA,NA,NA,NA,NA
"Malawi",5846.7410447818,4.96823714952088,0.0659582654265634,NA,NA,NA,NA,NA,NA
"Malaysia",8230.50614343382,2.87566769773885,0.0661136115601569,65488.790434421,9.2859664410191,0.0703383075221338,NA,NA,NA
"Maldives",13878.7236501033,3.80736977181969,0.0286774022543608,1782.85653981092,3.00988947331684,0.133882646294332,NA,NA,NA
"Mali",2612.31079261537,3.1823287026899,0.0538862321970929,4179.85028442131,3.62679366194262,0.0272992935212958,NA,NA,NA
"Malta",630.950853245766,1.99990709828532,0.064056911552092,15357.9031950719,4.53438873465971,0.0338775592041935,NA,NA,NA
"Mauritania",7095.32974232009,3.5097304829988,0.0761972000184468,NA,NA,NA,NA,NA,NA
"Mexico",860526.664139797,4.65294958841654,0.0332630574377674,251808.860915108,2.91862916423515,0.105963779722433,NA,NA,NA
"Moldova",201136.361248681,4.34459543500226,0.0168946712911307,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",7962.74283279396,3.93201630904819,0.0898728434497453,591422.201901336,5.1864290571629,0.0296057560797317,NA,NA,NA
"Mozambique",18191.4854942661,5.6839958692401,0.0336313505953798,NA,NA,NA,NA,NA,NA
"Myanmar",64510.5818487678,16.919144334242,0.0894982635196778,33268.6525559352,2.88213544476155,0.192481637039092,NA,NA,NA
"Namibia",12774.7001419983,4.41105408949342,0.0624132660733135,1337.7601513765,3.0778165822746,0.183707845962136,NA,NA,NA
"Nepal",18780.207450857,6.64113863265609,0.109750692993121,250184.317614073,4.79451905381214,0.0482219082542109,NA,NA,NA
"Netherlands",47727.8079901822,3.85016666895312,0.0919973325426606,514232.228127706,7.73322941110373,0.0660570277848493,NA,NA,NA
"New_Zealand",1117.48716089263,3.30216333986596,0.234551624233823,517.815275654299,4.15376511685282,0.0396835361101747,NA,NA,NA
"Nicaragua",5566.64977317253,1.87133598658941,0.0336212753002358,NA,NA,NA,NA,NA,NA
"Nigeria",60587.5782280432,4.53500054697849,0.0412152790547943,5716.10005469723,2.96699888998121,0.136358246550985,NA,NA,NA
"North_Macedonia",1555.49722952343,3.47414321101489,0.132002538072692,NA,NA,NA,NA,NA,NA
"Norway",8479.51707743431,3.25779118499195,0.102251332420926,NA,NA,NA,NA,NA,NA
"Oman",91107.3217995318,6.48360016610989,0.0600605123619218,39379.4717885488,3.40999477603191,0.0670429371909516,NA,NA,NA
"Pakistan",294702.861363982,6.14883941569114,0.0646444593084129,NA,NA,NA,NA,NA,NA
"Palestine",67655.823002067,6.94046593846969,0.0406336278567953,71585.0709915043,3.45324848950003,0.0700198058973146,NA,NA,NA
"Panama",117998.370547838,4.89022185513736,0.0361511916016915,74275.414007442,2.74191057149814,0.0517904632329422,NA,NA,NA
"Paraguay",1692.97844773869,4.41701816878951,0.076463504386269,72576.1986977851,6.12066181635804,0.0474561132049246,16596.6838552897,2.85441280307611,0.193310921123147
"Peru",1007074.88875952,4.00296541010349,0.0265000297968974,NA,NA,NA,NA,NA,NA
"Philippines",424894.962263088,6.37718299379419,0.0361678770977599,12039.5815991171,3.15374139252464,0.646555145663749,NA,NA,NA
"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portugal",50001.8322423998,2.33364716458412,0.037228645404533,630946.177243853,6.23892455172013,0.0489069515299772,NA,NA,NA
"Puerto_Rico",113539.007515309,4.74838032794007,0.0232219832590821,NA,NA,NA,NA,NA,NA
"Qatar",126497.184985788,4.41147149062623,0.047809176018368,NA,NA,NA,NA,NA,NA
"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russia",920542.507680369,4.13113017967511,0.0457993309253185,1885655.04915618,3.8429211489775,0.0457060677942654,NA,NA,NA
"Rwanda",397.484955094553,2.61390217853468,0.0673540984209824,5646.78710680878,4.31716406520748,0.0422134279017939,2728.68260327884,4.12288938824387,0.0640838215599371
"Saudi_Arabia",343921.978464031,4.62206748642345,0.0418376565249774,NA,NA,NA,NA,NA,NA
"Senegal",15980.9148375523,3.80423405971277,0.0327322108020063,419.049184906698,2.91804721446146,0.156583711299134,NA,NA,NA
"Serbia",10889.8001221094,4.66585073072568,0.124963666397781,21213.1777956582,4.2228313653099,0.0756259684487347,276890.252327161,7.17004540167219,0.100335338133741
"Singapore",56201.9106116657,4.67989920460209,0.0442068988873356,NA,NA,NA,NA,NA,NA
"Slovakia",120099.174715494,16.7645037397352,0.0710538651878135,NA,NA,NA,NA,NA,NA
"Slovenia",92774.933162016,17.3210613206636,0.0699900766426404,NA,NA,NA,NA,NA,NA
"South_Africa",660924.63308025,8.78703955451687,0.0689380021815257,128346.636588229,2.65415424163206,0.0651289144169365,NA,NA,NA
"South_Korea",10142.9578274818,3.16747304342375,0.173710544442358,23625.3098355535,4.75554765959309,0.0326553449040033,135683.204798146,5.57339216039344,0.0506759156738414
"South_Sudan",2271.13578614477,3.30176517117079,0.0955118235912366,586.522925121017,3.19750420511516,0.0567840903087939,NA,NA,NA
"Spain",232080.109344442,4.59932201706795,0.120581572913025,1913670.45859371,5.10099019620154,0.0351332497010649,NA,NA,NA
"Sri_Lanka",2519.31481867172,3.91104798613516,0.0563873286952335,895.330795228194,5.89360656795637,0.241737346161125,23174.5397595592,8.37486006570521,0.0846039274732798
"Sudan",13175.3884119713,3.11899187311027,0.0518139841693805,5894.13094621016,7.05306600721081,0.14362838498633,NA,NA,NA
"Suriname",5220.28531539191,4.37562789242228,0.0588230318485134,NA,NA,NA,NA,NA,NA
"Sweden",85260.766019377,3.73154212258932,0.0401701074775192,337676.284255225,5.98259796214582,0.0647349467356029,NA,NA,NA
"Switzerland",30089.054904232,4.35513705435918,0.142082499227794,343933.570943955,13.13167069797,0.0817592536377672,NA,NA,NA
"Syria",4856.32406538625,6.33857996499132,0.0583306580885381,4621.04757955507,2.83880342295869,0.0600023321676703,NA,NA,NA
"Tajikistan",11381.204504646,1.69418498411961,0.0248359526262582,NA,NA,NA,NA,NA,NA
"Thailand",3352.30371664853,3.33570043115984,0.104579853316913,NA,NA,NA,NA,NA,NA
"Trinidad_and_Tobago",102.018391094886,1.87106846911718,0.221542942260704,5442.30312869001,10.4520829652531,0.0840992600627196,1106.61580795367,3.35322340744543,0.177227589784268
"Tunisia",108270.869473433,12.9375632051839,0.0573626116982057,NA,NA,NA,NA,NA,NA
"Turkey",198450.777231654,2.90241064528509,0.0637884819772748,475720.009070046,3.31733629274835,0.0254887892579808,NA,NA,NA
"Uganda",1077.76375725014,5.67107882007346,0.0898388385378616,10339.0600684715,5.20446286863234,0.0787853861325653,11430.9260028493,3.22332437797884,0.0995217391104954
"Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"United_Arab_Emirates",60073.5113956246,4.26896824075792,0.0513902749411464,101871.229842056,3.73211081281146,0.0512288213100584,25216.3066129911,2.73199242866482,0.23482795472494
"United_Kingdom",277495.870320978,4.22238307113855,0.0741797604638702,1684225.53596578,7.09360000792803,0.057570498969402,NA,NA,NA
"United_States_of_America",16694857.3248732,3.75407972436639,0.0160749343336341,NA,NA,NA,NA,NA,NA
"Uruguay",811.327178984628,1.89200704932801,0.0680428539935469,NA,NA,NA,NA,NA,NA
"Uzbekistan",73307.316670736,5.28085609351728,0.0339377379553683,NA,NA,NA,NA,NA,NA
"Venezuela",101455.647748959,6.99993278680276,0.0414186481107656,NA,NA,NA,NA,NA,NA
"Zambia",1256.58924703403,5.06499407250695,0.144986683884671,15049.5103255958,3.59772462086881,0.0604567625686466,NA,NA,NA
"Zimbabwe",7893.84798831129,5.61232996304882,0.0694412871232825,NA,NA,NA,NA,NA,NA
