"국가",2013,2014,2015,2016,2017
"아시아",,,,,
"한국",89,85,79,77,70
"아제르바이잔",78,76,71,66,67
"바레인",18,16,15,12,12
"중국",70,68,66,64,63
"키프로스",4,4,6,6,5
"조지아",116,106,99,92,86
"홍콩",76,76,71,69,67
"인도",228,223,217,211,204
"인도네시아",332,329,325,322,319
"이란",18,16,16,14,14
"이라크",45,43,43,43,42
"이스라엘",5,5,4,4,3
"일본",18,18,16,16,15
"요르단",5,6,6,6,7
"카자흐스탄",104,91,80,72,66
"북한",513,513,513,513,513
"쿠웨이트",22,22,22,24,27
"키르기즈스탄",141,142,144,144,144
"레바논",15,14,13,12,12
"말레이시아",91,92,88,92,93
"오만",10,10,9,9,7
"파키스탄",275,270,270,268,267
"필리핀",543,546,550,554,554
"카타르",31,23,25,23,26
"사우디아라비아",13,12,12,10,10
"싱가포르",46,46,45,50,47
"스리랑카",66,65,65,65,64
"시리아",17,23,19,21,19
"태국",170,167,163,160,156
"터키",20,20,18,18,17
"투르크메니스탄",71,58,49,46,43
"아랍에미리트",1,1,1,1,1
"우즈베키스탄",86,82,79,76,73
"베트남",144,140,137,133,129
"예멘",48,48,48,48,48
"북아메리카",,,,,
"캐나다",5,5,5,6,6
"멕시코",21,21,21,22,22
"미국",3,3,3,3,3
"남아메리카",,,,,
"앤티가바부다",12,4,4,3,1
"아르헨티나",24,25,25,27,26
"바하마",10,15,18,26,15
"바베이도스",2,2,0,1,0
"볼리비아",123,120,117,114,111
"브라질",44,43,42,42,44
"칠레",16,16,17,16,17
"콜롬비아",31,30,31,32,33
"코스타리카",11,12,11,10,10
"쿠바",8,7,7,7,7
"에콰도르",42,41,39,40,43
"엘살바도르",44,44,49,60,72
"과테말라",27,25,26,24,25
"온두라스",43,40,41,40,38
"자메이카",4,4,5,5,5
"니카라과",58,55,51,48,45
"파나마",47,47,52,56,54
"파라과이",40,39,41,42,44
"페루",122,121,119,117,116
"수리남",32,33,33,26,29
"트리니다드토바고",21,21,17,18,17
"우루과이",30,29,30,29,31
"베네수엘라",27,26,29,32,42
"유럽",,,,,
"알바니아",19,16,16,16,20
"오스트리아",8,8,8,8,7
"벨라루스",59,51,50,42,37
"벨기에",9,9,10,10,9
"보스니아-헤르체고비나",44,42,39,32,27
"불가리아",33,32,28,27,25
"크로아티아",14,13,13,12,10
"체코",5,5,6,6,5
"덴마크",7,6,7,6,5
"에스토니아",23,21,18,16,15
"핀란드",6,5,6,5,5
"프랑스",9,9,8,9,9
"독일",6,6,8,8,8
"그리스",5,5,5,4,5
"헝가리",12,9,10,9,8
"아일랜드",9,7,7,7,7
"이탈리아",6,7,7,7,7
"라트비아",49,42,40,37,32
"리투아니아",60,58,55,53,50
"룩셈부르크",8,5,6,6,6
"몰타",14,12,9,13,11
"몰도바",127,115,102,101,95
"네덜란드",6,6,6,6,5
"노르웨이",8,7,6,6,5
"폴란드",21,20,19,18,17
"포르투갈",26,24,23,20,20
"루마니아",89,86,82,74,72
"러시아",73,70,67,64,60
"슬로바키아",8,7,7,6,5
"슬로베니아",8,8,7,7,6
"스페인",13,12,10,12,11
"스웨덴",7,8,9,8,6
"스위스",7,6,7,8,7
"우크라이나",96,94,91,87,84
"영국",13,11,10,10,9
"몬테네그로",22,21,15,16,14
"세르비아",27,24,21,19,19
"아프리카",,,,,
"알제리",67,72,74,70,70
"앙골라",376,370,366,362,359
"베냉",64,61,60,59,58
"카메룬",235,220,212,203,194
"콩고",382,381,379,378,376
"이집트",16,15,15,14,13
"에리트레아",101,83,70,74,67
"에티오피아",224,207,192,177,164
"가봉",546,541,537,533,529
"가나",168,165,160,156,152
"케냐",443,423,380,348,319
"라이베리아",308,308,308,308,308
"리비아",40,40,40,40,40
"마다가스카르",233,235,236,237,238
"모로코",99,101,101,103,99
"나이지리아",219,219,219,219,219
"세네갈",136,134,130,122,122
"남아프리카공화국",849,820,759,618,567
"수단",100,94,88,82,77
"탄자니아",336,327,306,287,269
"토고",64,58,52,46,41
"튀니지",34,35,38,38,34
"잠비아",437,406,391,376,361
"오세아니아",,,,,
"오스트레일리아",6,7,6,7,7
"피지",36,53,51,43,49
"뉴질랜드",7,8,7,7,8
"파푸아뉴기니",432,432,432,432,432
