"국가별",2016,2016,2017,2017,2018,2018
"국가별",수출,수입,수출,수입,수출,수입
"아시아",,,,,,
"한국",33.03,27.08,35.34,29.48,35.15,31.10
"아르메니아",16.99,31.04,-,-,-,-
"아제르바이잔",35.54,22.42,37.49,21.49,29.34,17.02
"바레인",20.77,35.97,19.66,37.14,-,-
"방글라데시",13.63,18.63,12.56,19.12,-,-
"부탄",23.64,45.16,22.66,40.70,-,-
"캄보디아",46.07,-,54.51,-,-,-
"중국",19.18,14.27,18.78,15.17,-,-
"키프로스",9.88,34.75,15.11,42.02,20.69,44.16
"조지아",14.70,50.73,18.09,52.91,-,-
"홍콩",144.16,161.12,145.64,163.75,146.33,166.09
"인도",11.55,15.79,11.30,16.85,11.91,18.84
"인도네시아",15.48,14.54,16.62,15.45,17.27,18.09
"이스라엘",18.91,20.60,17.30,19.57,16.81,21.44
"일본",13.09,12.33,14.37,13.81,-,-
"요르단",19.13,49.63,18.38,50.06,-,-
"카자흐스탄",26.76,18.49,29.65,17.93,-,-
"쿠웨이트",42.29,28.17,45.94,28.10,-,-
"키르기즈스탄",22.06,58.17,-,-,-,-
"레바논",5.81,36.52,5.33,36.69,-,-
"말레이시아",63.91,56.76,69.18,61.88,69.81,61.37
"몰디브",3.16,48.16,4.10,48.51,3.45,56.24
"몽골",43.95,30.02,54.23,37.92,-,-
"미얀마",18.69,24.80,-,-,-,-
"오만",40.66,35.20,45.78,38.55,-,-
"파키스탄",7.30,16.79,7.16,18.62,7.55,19.25
"필리핀",18.83,29.33,21.91,32.49,20.94,36.06
"카타르",37.73,21.13,40.36,17.64,43.90,16.50
"사우디아라비아",28.47,21.73,32.19,19.53,-,-
"싱가포르",106.28,91.77,110.28,96.83,-,-
"스리랑카",12.51,23.28,12.91,23.84,-,-
"대만",52.76,43.40,50.69,45.09,52.19,48.53
"타지키스탄",12.93,-,16.74,-,-,-
"태국",51.89,47.34,51.88,49.16,49.69,49.41
"터키",16.52,22.99,18.46,27.45,21.95,29.02
"베트남",86.03,84.88,-,-,-,-
"북아메리카",,,,,,
"캐나다",25.77,27.04,25.71,26.87,26.43,27.42
"멕시코",34.69,35.91,35.35,36.30,36.82,37.94
"미국",7.76,12.03,7.94,12.36,8.12,12.76
"남아메리카",,,,,,
"앤티가바부다",4.16,33.74,4.13,41.71,-,-
"아르헨티나",10.35,9.97,-,-,-,-
"바하마",3.40,24.76,3.86,28.18,-,-
"바베이도스",11.41,35.80,10.39,34.24,-,-
"벨리즈",14.44,52.74,15.72,49.03,-,-
"볼리비아",20.62,24.98,21.17,24.80,22.04,24.92
"브라질",10.31,7.98,10.61,7.67,12.83,10.09
"칠레",24.26,23.50,24.93,23.46,25.30,25.15
"콜롬비아",10.96,15.87,-,-,-,-
"도미니카연방",3.93,37.18,4.13,39.77,-,-
"도미니카공화국",6.04,24.05,5.83,23.31,-,-
"에콰도르",16.81,16.33,18.33,19.19,19.93,21.40
"엘살바도르",22.44,40.68,23.11,42.41,22.66,45.40
"그레나다",2.78,33.02,2.21,37.30,-,-
"과테말라",15.22,24.76,14.52,24.32,-,-
"온두라스",18.02,41.33,19.90,42.22,18.37,44.09
"자메이카",8.44,34.47,9.23,37.44,11.96,38.97
"니카라과",16.76,44.31,-,-,-,-
"파나마",1.10,20.18,-,-,-,-
"파라과이",23.58,27.05,22.25,30.44,22.15,32.65
