"국가별",외래 방문객 (천명),외래 방문객 (천명),외래 방문객 (천명),국외 여행객 (천명),국외 여행객 (천명),국외 여행객 (천명)
"국가별",2015,2016,2017,2015,2016,2017
"아시아",,,,,,
"한국",13232,17200,13300,19310,22383,26496
"중국",56886,59300,60700,116886,135130,143035
"홍콩",26686,26600,27900,89082,91758,91304
"인도",13284,14600,15500,-,21872,23943
"인도네시아",9963,11100,12900,8176,8340,8856
"일본",19737,24000,28700,16214,17116,17889
"카자흐스탄",-,-,-,11303,9756,10261
"마카오",14308,15700,17300,-,-,-
"말레이시아",25721,26800,25900,-,-,-
"필리핀",5361,6000,6600,-,-,-
"사우디아라비아",17994,18000,16100,20819,21207,21071
"싱가포르",12052,12900,13900,9125,9474,9889
"대만",10440,10700,10700,13183,14589,15655
"태국",29923,32500,35400,-,-,-
"터키",39478,30300,37600,8751,7892,8887
"아랍에미리트",14200,14900,15800,-,-,-
"베트남",7944,10000,12900,-,-,-
"북아메리카",,,,,,
"캐나다",17977,20000,20800,32267,31278,33060
"멕시코",32093,35100,39300,19603,20223,19067
"미국",77465,76400,76900,73453,80226,87703
"남아메리카",,,,,,
"아르헨티나",5736,6700,6700,-,-,-
"브라질",6306,6500,6600,9469,8592,9458
"칠레",-,5600,6400,-,-,-
"도미니카공화국",5600,6000,-,-,-,-
"유럽",,,,,,
"오스트리아",26728,28100,29500,10628,11534,11491
"벨기에",8355,7500,8400,-,-,-
"불가리아",7099,8300,8900,-,-,-
"크로아티아",12683,13800,15600,-,-,-
"체코",11619,12800,-,-,-,-
"덴마크",10424,10800,11700,8991,9651,8102
"핀란드",-,-,-,8904,9125,9330
"프랑스",84452,82700,86900,26648,26483,29055
"독일",34971,35600,37500,-,90966,92402
"그리스",23599,24800,27200,-,-,-
"헝가리",14316,15300,15800,17276,18895,20297
"아일랜드",9528,10100,10300,-,-,-
"이탈리아",50732,52400,58300,29040,29067,31805
"네덜란드",15007,15800,17900,18070,17938,-
"노르웨이",5361,6000,6300,-,-,-
"폴란드",16728,17500,18300,44300,44500,46700
"포르투갈",10140,18200,21200,-,-,-
"루마니아",-,-,-,13118,16128,19953
"러시아",26852,24600,24400,34550,31659,39629
"슬로바키아",-,7600,-,-,-,-
"스페인",68175,75300,81900,14407,15405,17031
"스웨덴",6092,6600,6900,-,-,-
"스위스",9305,10400,11100,-,-,-
"우크라이나",12428,13300,14200,23142,24668,26437
"영국",34436,35800,37700,65720,70815,74189
"아프리카",,,,,,
"이집트",9139,-,8200,-,-,-
"모로코",10177,10300,11300,-,-,-
"남아프리카공화국",8904,10000,10300,-,-,-
"튀니지",5359,5700,7100,-,-,-
"오세아니아",,,,,,
"오스트레일리아",7450,8300,8800,9459,10380,10932
