"X.Samples","Explanatory","Res_Type","a1_Logi","b1_Logi","c1_Logi","a1_Gom","b1_Gom","c1_Gom","a2_Logi","b2_Logi","c2_Logi","a2_Gom","b2_Gom","c2_Gom"
145,"child_vaccination","Coefficient",-1592.5736025395,-0.00711936489756515,0.000185699833707373,4284.43516480081,-0.387564534728824,0.000101040859562342,1918.44299856427,0.343803404906577,0.00363417402177519,4318.26138969609,11550.6746522991,-0.000279189560894585
145,"child_vaccination","R-square",0.000917905630561398,0.00227716185912872,0.00133465139086483,8.94252644026688e-05,8.36359448649862e-05,0.000623764645345497,0.00180586075949318,0.00775908002281806,0.00501905147663664,0.00182631246121218,0.0146283113951045,0.00442356773976455
145,"child_vaccination","P-value",0.717539480051644,0.568696851798249,0.662653660989804,0.911066345576981,0.913981820852598,0.767970713626368,0.730782463250864,0.475044046445158,0.56590279128351,0.75227486932133,0.370145947460339,0.623031147258168
95,"malnutrition","Coefficient",7821.20813246509,0.0849074370031615,-0.000625255437786077,108908.036048646,1.30836852524825,-0.000732094028359997,-19000.856890037,0.377183127940493,0.00750208205520119,-57870.6692445101,-36442.1755186881,0.00501602835251761
95,"malnutrition","R-square",0.00372254682383353,0.106094334266465,0.00402116972426489,0.0096238824320748,0.000615619472626952,0.00768099666425083,0.00864855556309335,0.0252862783328402,0.170910348529029,0.0138198401051692,0.00632616235644252,0.197872249038933
95,"malnutrition","P-value",0.556966566097984,0.001277320609138,0.541528509233929,0.352196783062686,0.814389183791715,0.40612486230742,0.5341120340982,0.28569255162725,0.00387284875859902,0.464166974180974,0.621079546397731,0.00356808772223265
145,"migration_rate","Coefficient",707.866946650895,0.0261331633480727,0.000488421054316511,-24166.8044457734,-2.16211009796259,0.000459870833162459,1905.29304708982,0.243332924633913,0.000698700014478697,313.350170949414,35512.2315001664,0.000466023906478446
145,"migration_rate","R-square",3.24802854909886e-05,0.00344746242999567,0.00165522768226281,0.000529205558973104,0.000484135728550026,0.00240835701281632,0.000629127249734308,0.0401233349051431,0.00364205500088828,3.72385305630165e-06,0.053541413236898,0.00476085992896396
145,"migration_rate","P-value",0.945759041423064,0.482985063080101,0.627061324388146,0.785819714405926,0.794932420557365,0.561930070559983,0.839109968513659,0.101462441750854,0.624931046083688,0.988529639276519,0.0805233107835776,0.606793695667944
143,"prop_urban_pop","Coefficient",476.786785316239,-0.0055780609621748,-0.000398932969511337,-23489.513516147,-3.08755234921291,-0.000223798968699794,2855.22179432604,0.314586303206568,0.00338544835931654,7540.94881685539,14597.7653002854,8.50038442485727e-05
