"country","current_state","first_day","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"Afghanistan",1.1302897659374,86,1,0,157,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",43.8145794458615,77,1,0,236,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",19.1867279662947,77,2,1,139,208,NA,NA,NA,163,NA,NA,NA,NA
"Angola",30.4159736599211,141,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",43.6149737645027,76,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",9.71167407938766,78,1,0,179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aruba",9.84762233247817,90,1,0,228,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",5.87515358005633,65,2,1,87,215,NA,NA,NA,161,NA,NA,NA,NA
"Austria",6.24385618524873,67,1,1,87,NA,NA,NA,NA,164,NA,NA,NA,NA
"Azerbaijan",10.5802356657002,82,1,1,186,NA,NA,NA,NA,229,NA,NA,NA,NA
"Bahamas",25.0330281282915,107,1,0,233,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",18.6534050238009,65,1,1,180,NA,NA,NA,NA,245,NA,NA,NA,NA
"Bangladesh",26.8582672068712,92,1,1,179,NA,NA,NA,NA,245,NA,NA,NA,NA
"Belarus",5.33968565774509,80,1,1,138,NA,NA,NA,NA,226,NA,NA,NA,NA
"Belgium",5.73499167033087,64,2,1,98,220,NA,NA,NA,180,NA,NA,NA,NA
"Bolivia",33.3060592150464,87,1,0,202,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",39.7432533295834,81,1,1,217,NA,NA,NA,NA,229,NA,NA,NA,NA
"Brazil",41.9756421768325,72,1,0,212,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",17.9854889444482,76,2,1,118,205,NA,NA,NA,150,NA,NA,NA,NA
"Cameroon",3.72150493815573,84,2,1,160,190,NA,NA,NA,182,NA,NA,NA,NA
"Canada",5.36955649349159,67,2,1,118,206,NA,NA,NA,187,NA,NA,NA,NA
"Cape_Verde",38.3997645175446,107,1,1,130,NA,NA,NA,NA,145,NA,NA,NA,NA
"Central_African_Republic",0.599940806921293,119,1,0,175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",5.66266942699525,75,1,0,169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",0.131135190080695,18,1,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",39.8876092715558,77,1,0,228,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo",3.61003953294328,100,1,0,198,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa_Rica",46.1191815117263,78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote_dIvoire",6.06024119059081,85,1,1,173,NA,NA,NA,NA,231,NA,NA,NA,NA
"Croatia",23.6523985344302,77,1,1,92,NA,NA,NA,NA,156,NA,NA,NA,NA
"Cuba",16.0008875309413,86,3,2,108,155,227,NA,NA,144,180,NA,NA,NA
"Czechia",24.0776392052652,71,1,1,92,NA,NA,NA,NA,154,NA,NA,NA,NA
"Democratic_Republic_of_the_Congo",7.23477463203076,87,1,1,175,NA,NA,NA,NA,237,NA,NA,NA,NA
"Denmark",4.29086893272051,70,2,1,97,226,NA,NA,NA,190,NA,NA,NA,NA
"Djibouti",0.074359364188603,96,2,2,108,151,NA,NA,NA,126,245,NA,NA,NA
"Dominican_Republic",17.4066576783146,82,1,0,209,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador",7.32573624098125,77,2,1,120,224,NA,NA,NA,152,NA,NA,NA,NA
"Egypt",3.85869279574107,70,1,1,169,NA,NA,NA,NA,232,NA,NA,NA,NA
"El_Salvador",19.7908266562502,95,1,0,217,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equatorial_Guinea",0.271497894912307,107,3,2,141,184,215,NA,NA,162,200,NA,NA,NA
"Estonia",6.40166951002827,74,1,1,93,NA,NA,NA,NA,180,NA,NA,NA,NA
"Eswatini",19.955141309093,118,1,0,226,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia",23.9622289218484,99,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",4.75051939031373,72,1,1,100,NA,NA,NA,NA,195,NA,NA,NA,NA
"France",22.9961725983279,60,1,1,94,NA,NA,NA,NA,169,NA,NA,NA,NA
"Gabon",3.29037085819783,104,3,2,146,171,208,NA,NA,159,194,NA,NA,NA
"Gambia",13.1863690602542,185,1,0,230,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",4.12636176975936,60,2,1,93,236,NA,NA,NA,162,NA,NA,NA,NA
"Ghana",5.06524281923995,85,2,1,131,209,NA,NA,NA,145,NA,NA,NA,NA
"Greece",22.2945271988823,68,2,1,91,238,NA,NA,NA,149,NA,NA,NA,NA
"Guam",16.3917335398592,88,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala",24.6626901454341,95,1,0,201,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea",15.3697946104212,94,2,1,139,228,NA,NA,NA,183,NA,NA,NA,NA
"Haiti",2.32753759444639,112,1,0,156,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",27.6348442514242,86,1,1,184,NA,NA,NA,NA,228,NA,NA,NA,NA
"Hungary",13.6169125500972,77,1,1,105,NA,NA,NA,NA,176,NA,NA,NA,NA
"Iceland",1.53167341642119,68,1,1,89,NA,NA,NA,NA,139,NA,NA,NA,NA
"India",51.0126458048439,71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia",50.3939643613245,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran",17.4336864394838,56,2,2,93,156,NA,NA,NA,121,238,NA,NA,NA
"Iraq",46.1268472088345,68,1,0,235,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",2.83615840564496,73,1,0,106,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel",24.2757706463399,71,2,2,94,206,NA,NA,NA,141,229,NA,NA,NA
"Italy",4.33748527057418,54,1,1,86,NA,NA,NA,NA,190,NA,NA,NA,NA
"Jamaica",17.6832038471838,95,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japan",13.9376011983367,47,2,1,105,219,NA,NA,NA,148,NA,NA,NA,NA
"Kazakhstan",2.5661031652261,81,2,1,185,216,NA,NA,NA,204,NA,NA,NA,NA
"Kenya",13.5198741816694,91,1,0,215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kosovo",14.707010903254,84,1,0,213,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuwait",13.7613417060562,63,1,1,141,NA,NA,NA,NA,218,NA,NA,NA,NA
"Kyrgyzstan",0.951453728800364,88,1,0,201,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lebanon",28.4418766015108,72,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Libya",26.9807354403634,112,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",3.29666572514477,76,2,1,88,205,NA,NA,NA,157,NA,NA,NA,NA
"Madagascar",4.51343294767616,93,1,0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malawi",7.26137764328239,131,2,1,153,198,NA,NA,NA,163,NA,NA,NA,NA
"Malaysia",1.02521806370027,65,2,1,92,149,NA,NA,NA,137,NA,NA,NA,NA
"Maldives",17.7599567646139,111,2,1,149,237,NA,NA,NA,180,NA,NA,NA,NA
"Mauritania",2.60986057186872,139,1,0,175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico",52.9128446728568,72,1,0,202,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova",42.3299799375707,81,2,1,171,240,NA,NA,NA,192,NA,NA,NA,NA
