"","a1_Gom","b1_Gom","c1_Gom","a2_Gom","b2_Gom","c2_Gom","MSSE"
"Afghanistan",38658.2221507,25.0726131193836,0.0471392096626093,NA,NA,NA,0.0609403682834608
"Albania",NA,NA,NA,NA,NA,NA,NA
"Algeria",18438.6969409413,5.2015861735029,0.0253439569940727,44055.5472291861,5.82835594170868,0.036423317667162,0.0253845250698788
"Angola",8050.27834100118,8.34792972756514,0.0184636464958831,NA,NA,NA,0.0973876287431347
"Argentina",4066522.72716714,12.0417970078051,0.00956723787499534,NA,NA,NA,0.0172718658707552
"Armenia",49098.8424618592,16.6367776927796,0.0299677683659373,NA,NA,NA,0.033991919608294
"Aruba",NA,NA,NA,NA,NA,NA,NA
"Australia",6951.44397314665,25.7078889396074,0.132439560402113,23230.6065266712,15.4189533894623,0.0504788680159185,0.0557377017921896
"Austria",16155.0090353728,11.0044592614316,0.104980040351613,52770.0103959697,5.51940749481395,0.0141763300466384,0.0946825353007791
"Azerbaijan",57315.163507509,11.6912265256882,0.0218572143151371,3083.28042800502,4.24612244782122,0.142981163631129,0.116358532680655
"Bahamas",5701.95441932096,75.2459663388579,0.0307922534296246,NA,NA,NA,0.158752701188315
"Bahrain",66098.9116022104,11.4035400614287,0.0207182326486529,NA,NA,NA,0.0264420354907505
"Bangladesh",382000.147264149,9.69302615513748,0.0240280983840237,NA,NA,NA,0.0181389483732589
"Belarus",71550.0995916969,10.0480121752592,0.0389026075975159,5377.05250693239,4.12829161103436,0.0834020067561253,0.0226338693586151
"Belgium",60644.2640616533,9.99097950849934,0.0647155024206956,36686.9560857839,7.12349036670043,0.042098915669499,0.0271284660174355
"Bolivia",227156.021918994,11.1085876629467,0.0177119866453482,NA,NA,NA,0.023397765623843
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA
"Brazil",7198325.52416076,10.3171287301587,0.0159912555544339,NA,NA,NA,0.009431502581642
"Bulgaria",4232.8424859767,4.55929486746366,0.028998355751311,17992.4457917084,6.49589194588714,0.0329517061826986,0.0420573066538878
"Cameroon",108707.096638451,6.83350268098971,0.0118513946822355,6516.67735613749,3.34446361066082,0.0703248888924752,0.244708774499812
"Canada",109946.639163257,8.51495288759339,0.0419717423386827,27876.8064113289,3.65823234151051,0.0460317499076381,0.0235034537199237
"Cape_Verde",833.752529431086,4.00289291170854,0.0399278488789224,5158.98320102997,4.83442002692014,0.0235443811660418,0.0684683505838474
"Central_African_Republic",4833.5212915938,12.9589656268392,0.0555030067982666,NA,NA,NA,0.0936153753260072
"Chile",415001.204944802,29.4865942197346,0.0375889285947125,NA,NA,NA,0.194311272154844
"China",84708.491930174,21.1559883993816,0.129940547204802,NA,NA,NA,0.582192867942544
"Colombia",7084799.40300204,11.97981653339,0.0094045330547725,NA,NA,NA,0.0533101236182981
"Congo",6520.00950996892,8.79618303972729,0.0208097892578947,NA,NA,NA,0.383943813387985
"Costa_Rica",136895.560187005,22.2936179044558,0.0169933485855672,NA,NA,NA,0.0329294753663441
"Cote_dIvoire",26535.0292857102,10.5070160452451,0.0226497652683381,1163.29062084882,4.05799579161111,0.161220452832484,0.200588247691852
"Croatia",2224.63368194117,5.22933175204211,0.0868618766696433,35557.9695238897,6.2427101411972,0.0144109857011869,0.230299160228162
"Cuba",2044.30692089539,5.47016518276368,0.0707020581031478,464.377080369495,4.38206670262073,0.10894363780545,0.0218130614807705
"Czechia",8766.27357557822,6.1151574949098,0.072688671202974,47008.7554696445,5.00862021492373,0.0154644647435831,0.0728167841749247
"Democratic_Republic_of_the_Congo",10736.4217938698,11.830114346204,0.0324159607535039,274.547216216996,4.64933823992837,0.289866056108732,0.0507785533177882
"Denmark",12688.0788270558,4.81682157161504,0.0480768247695002,8468.02071808035,6.05523970671992,0.0373524402870029,0.0926291481231137
