"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","MSSE"
"Afghanistan",37269.8508723043,5.67695777108308,0.0743229338629292,NA,NA,NA,0.028480656072482
"Albania",29521.2462397836,5.30781586493056,0.0267799285925526,NA,NA,NA,0.0291785009740642
"Algeria",12006.8756143461,3.75044468547547,0.0622355738440023,34805.8852316726,3.83830955882873,0.075843762033829,0.0296335279149527
"Angola",3210.7930901825,5.34835233595544,0.0604716633656081,NA,NA,NA,0.110095757154678
"Argentina",648605.712702436,7.08218910808796,0.0434150461205804,NA,NA,NA,0.0253109366749199
"Armenia",43766.203939976,5.52764835149808,0.0542295209447986,NA,NA,NA,0.0164236957504292
"Aruba",2036.35189750345,23.7170934252286,0.165148843767517,NA,NA,NA,0.41355852911879
"Australia",6874.22194713974,5.523223046735,0.19928090290015,19130.8847826826,5.78729008126912,0.101874100449191,0.0723073791383875
"Austria",15908.5183338962,4.27404479668218,0.159566048173384,16850.1551375761,3.86204370741042,0.0497873877974923,0.151188750513638
"Azerbaijan",39349.296792605,5.70543246839641,0.0523267460954292,2314.98866968673,3.15433643111896,0.306868468163918,0.035450576074609
"Bahamas",2725.78620960248,11.57857993795,0.0901659918437002,NA,NA,NA,0.152882283112332
"Bahrain",52482.2416814238,5.25322105152535,0.0431990096291433,NA,NA,NA,0.0522247653532737
"Bangladesh",309918.206753681,4.84110118126799,0.0487926442413924,NA,NA,NA,0.0631819935882011
"Belarus",67674.9628161803,4.37238980600157,0.0640436645076236,3143.65385912318,3.11356170931294,0.215457128254414,0.0512809261778454
"Belgium",59026.322973458,4.17846948801969,0.100181677300756,25594.5256237761,4.47370690202229,0.098854426566172,0.0589443220614563
"Bolivia",136119.569603142,5.79892734075873,0.046469050464591,NA,NA,NA,0.0150124363194749
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA
"Brazil",4453662.20901825,5.52658370716868,0.0408102773906931,NA,NA,NA,0.0335322289391916
"Bulgaria",2847.42469760378,3.42065697448466,0.069608144130159,14226.613490757,4.09224575275947,0.0690675345322695,0.0347240100979967
"Cameroon",21027.7178464064,4.59912799989773,0.0509107886361404,6228.8127127273,2.36423573249634,0.106202167585286,0.269685137699202
"Canada",102198.24671737,4.16256712971543,0.0710961861566758,23205.5723857611,2.76021274896851,0.0879956531800947,0.067613024234139
"Cape_Verde",451.689240152315,3.04619449574793,0.109548196362115,3709.0145409307,3.48583094542578,0.052865810465471,0.0886453273174438
"Central_African_Republic",4681.47027360305,4.61906778736942,0.0867010094446125,NA,NA,NA,0.0584091810238546
"Chile",386213.766007782,6.23969951900888,0.0635016102079407,NA,NA,NA,0.195059232787253
"China",84438.2777786136,5.27208318997986,0.195848874784585,NA,NA,NA,0.325181978417923
"Colombia",1028559.64392003,7.11847033089021,0.0440870511913279,NA,NA,NA,0.0114209905744108
"Congo",4512.6299660358,5.14377572363499,0.0508489325196765,NA,NA,NA,0.215519748235693
"Costa_Rica",53094.5266271392,8.50120077446548,0.0555421216916928,NA,NA,NA,0.0681949228329032
