X.Samples,Explanatory,Res_Type,a1_Logi,b1_Logi,c1_Logi,a1_Gom,b1_Gom,c1_Gom
113,Infant_vaccination_rate,Coefficient,-162866.779,-0.252514633,0.009236186,-87309.1677,-1.721742043,0.006284991
113,Infant_vaccination_rate,R-square,0.024087894,0.024324287,0.034961848,9.47E-05,0.01029077,0.031849171
113,Infant_vaccination_rate,P-value,0.100704777,0.099028713,0.04736071,0.920375656,0.296179402,0.064612617
81,Pecentage_of_malnourished_population,Coefficient,148742.2967,0.654373178,-0.013484413,1106109.042,4.729251445,-0.011251464
,,,,,,,,
81,Pecentage_of_malnourished_population,P-value,0.279429627,8.18E-05,0.004626816,0.32318153,0.010293602,0.001259812
114,Net_migration_rate,Coefficient,-24299.07252,0.015980721,0.005506919,-198330.7374,0.933171474,0.005449013
,,,,,,,,
114,Net_migration_rate,P-value,0.805650901,0.916754083,0.236278066,0.80314719,0.535490418,0.080585057
110,Proportion_of_urban_population,Coefficient,-76419.96925,-0.149105393,0.004308572,-1091047.747,0.050433637,0.004779252
,,,,,,,,
110,Proportion_of_urban_population,P-value,0.455526228,0.330929625,0.368941775,0.187310123,0.973392159,0.140207491
21,Public_social_welfare_expenditures,Coefficient,30467.20565,0.023832484,-0.013261238,32787.28837,0.007369,-0.009236694
,,,,,,,,
21,Public_social_welfare_expenditures,P-value,0.061978945,0.854733737,0.174497814,0.052949241,0.991875753,0.187578247
46,National_competitiveness,Coefficient,430277.6325,0.334835874,-0.016166094,1872125.729,0.588972016,-0.012561174
,,,,,,,,
46,National_competitiveness,P-value,0.066637346,0.138882146,0.018372709,0.345903656,0.818794515,0.014797163
89,Average_annual_temperature,Coefficient,197487.2601,0.379765895,-0.006937539,699067.5357,1.53703339,-0.007633214
,,,,,,,,
89,Average_annual_temperature,P-value,0.115183801,0.016471182,0.22576494,0.508954082,0.373899271,0.050983666
89,Annual_precipitation,Coefficient,271748.4948,0.339037806,-0.00295499,-20108.62133,2.116407843,-0.003021781
,,,,,,,,
89,Annual_precipitation,P-value,0.02839313,0.032079459,0.605545804,0.98554023,0.241337029,0.464988104
24,Pharmaceutical_sales,Coefficient,27315.71818,0.745575303,-0.003250181,27408.83339,12.28056662,-0.002840141
,,,,,,,,
24,Pharmaceutical_sales,P-value,0.203432339,0.000448077,0.73807884,0.228776129,0.000115201,0.678485642
89,Exports_to_GDP_ratio,Coefficient,-185522.6951,-0.337587031,0.006404358,-1013900.566,-0.928675882,0.006844436
,,,,,,,,
89,Exports_to_GDP_ratio,P-value,0.141283228,0.046720281,0.15786637,0.322032806,0.557620614,0.037698585
89,Imports_to_GDP_ratio,Coefficient,-93249.21451,-0.406561256,-0.001313958,-1272023.87,-2.984667888,0.001646126
,,,,,,,,
89,Imports_to_GDP_ratio,P-value,0.460921682,0.015840189,0.772807149,0.219094291,0.060195708,0.625929168
113,GDP,Coefficient,-21693.09535,0.027677646,-0.001769457,-88251.31083,-0.501038996,0.000717063
,,,,,,,,
113,GDP,P-value,0.828317759,0.85778357,0.707909459,0.91388161,0.745545835,0.823817055
46,Number_of_foreign_visitors,Coefficient,188185.2979,0.192773078,0.005750008,-1212922.424,-0.367015025,0.003005568
,,,,,,,,
46,Number_of_foreign_visitors,P-value,0.431153751,0.384358008,0.360803323,0.546553905,0.888490319,0.497008116
46,Number_of_international_travelers,Coefficient,166194.7032,-0.091587055,-0.012638139,986646.1702,-0.668743685,-0.008791785
,,,,,,,,
46,Number_of_international_travelers,P-value,0.49043058,0.682605524,0.042172691,0.620317179,0.796158076,0.039987103
114,Aging_index,Coefficient,-87431.18061,-0.507170371,0.011947851,-529763.625,0.089055495,0.012162998
,,,,,,,,
114,Aging_index,P-value,0.375547005,0.000670669,0.009358969,0.50889097,0.953300887,6.83E-05
114,Total_fertility_rate,Coefficient,-71328.52833,0.259457955,-0.005858883,-301881.3747,0.322957368,-0.007155072
,,,,,,,,
114,Total_fertility_rate,P-value,0.47099316,0.088564722,0.208810434,0.709212325,0.833227209,0.023478317
118,population,Coefficient,1440852.328,0.565015836,0.005270831,30147994.38,0.840163604,-0.021841167
,,,,,,,,
118,population,P-value,5.13E-08,0.213648483,0.697772499,4.07E-48,0.890563278,0.081807506
117,population_density,Coefficient,16491.31426,0.340371239,-0.002561082,324103.6364,5.741162541,-0.00061804
,,,,,,,,
117,population_density,P-value,0.933624577,0.286164862,0.787837613,0.83812555,0.063576807,0.923482134
117,median_age,Coefficient,-40858.70684,-0.51187299,0.010321712,-293347.939,-1.065779421,0.011240477
,,,,,,,,
117,median_age,P-value,0.669335418,0.000693256,0.023270785,0.706936798,0.486926207,0.000246605
117,aged_65_older,Coefficient,-69195.51724,-0.512676011,0.011827567,-444210.8957,-0.677934704,0.01193042
,,,,,,,,
117,aged_65_older,P-value,0.444536004,0.000318613,0.005765253,0.546354417,0.63976408,3.24E-05
116,aged_70_older,Coefficient,-76963.69355,-0.520268379,0.011418555,-490243.8223,-0.746691952,0.011761416
,,,,,,,,
116,aged_70_older,P-value,0.394984184,0.000255432,0.007589836,0.505792559,0.606412339,4.04E-05
117,gdp_per_capita,Coefficient,-72600.45123,-0.291238483,0.007405156,-578839.6103,-0.15457472,0.008258424
,,,,,,,,
117,gdp_per_capita,P-value,0.415254139,0.041114537,0.082343315,0.421083412,0.913045246,0.00403012
83,extreme_poverty,Coefficient,-20797.55051,0.529009683,0.001333763,621679.1124,5.502864348,-0.002181888
,,,,,,,,
83,extreme_poverty,P-value,0.853565713,0.005945381,0.840111337,0.625934357,0.003819147,0.629171417
117,cardiovasc_death_rate,Coefficient,35364.21123,0.166260551,-0.011114143,151720.7514,0.624530737,-0.008225204
,,,,,,,,
117,cardiovasc_death_rate,P-value,0.701788817,0.264245159,0.011142145,0.841946116,0.67627433,0.006647072
117,diabetes_prevalence,Coefficient,83615.55317,0.214379259,-0.010561958,774400.8371,1.358799512,-0.006499502
,,,,,,,,
117,diabetes_prevalence,P-value,0.493808294,0.277003119,0.070403052,0.433334079,0.484592507,0.102832087
95,female_smokers,Coefficient,-80878.09038,-0.437684089,0.008747163,-843124.8136,-0.546380984,0.009548763
,,,,,,,,
95,female_smokers,P-value,0.472410018,0.004397759,0.093170838,0.353059605,0.71415895,0.005661459
93,male_smokers,Coefficient,-65256.2494,-0.268732203,-0.004225266,-1056404.657,-0.58044342,-0.000385091
,,,,,,,,
93,male_smokers,P-value,0.602793758,0.120226367,0.468044456,0.30884084,0.733751044,0.923551817
52,handwashing_facilities,Coefficient,204992.594,0.067944638,-0.006592225,467873.1797,-0.334650138,-0.00104076
,,,,,,,,
52,handwashing_facilities,P-value,0.325018235,0.763937217,0.288833939,0.798768219,0.886950052,0.787507107
105,hospital_beds_per_thousand,Coefficient,-144568.7897,-0.43664962,0.009052212,-947703.3069,0.130212288,0.00896233
,,,,,,,,
105,hospital_beds_per_thousand,P-value,0.157019403,0.005243062,0.059182159,0.263433422,0.935092755,0.006108424
117,life_expectancy,Coefficient,-26753.17585,-0.350143774,0.009595211,-410006.4764,-0.576463958,0.010182267
,,,,,,,,
117,life_expectancy,P-value,0.785167625,0.025687166,0.040121585,0.605446517,0.711937803,0.001186577
116,human_development_index,Coefficient,-11471.28167,-0.334084203,0.006150523,-452191.2701,-0.650511686,0.00803045
,,,,,,,,
116,human_development_index,P-value,0.909088656,0.037197296,0.199657548,0.575788505,0.681989971,0.012390061
