X.Samples,Explanatory,Res_Type,a2_Logi,b2_Logi,c2_Logi,a2_Gom,b2_Gom,c2_Gom
57,child_vaccination,Coefficient,2007.029059,0.027003373,-0.002129821,2259.351867,0.072497412,-0.001107987
57,child_vaccination,R-square,0.000847386,0.049498728,0.033218143,0.000595832,0.045051741,0.035110789
57,child_vaccination,P-value,0.829805196,0.096228836,0.17480268,0.858273835,0.116300662,0.16670431
45,malnutrition,Coefficient,-13713.38839,-0.097429735,0.005748984,-20286.57178,-0.233866835,0.003491519
45,malnutrition,R-square,0.00419732,0.07319394,0.055596013,0.005067223,0.05216322,0.071507348
45,malnutrition,P-value,0.672428411,0.072259668,0.118929854,0.646109241,0.135919426,0.079287121
58,migration_rate,Coefficient,2330.356117,0.015748145,-0.000609256,5990.466181,0.089153871,-0.000362404
58,migration_rate,R-square,0.000578783,0.008532033,0.001373717,0.002125205,0.03457008,0.001898239
58,migration_rate,P-value,0.857735883,0.490430408,0.782379916,0.733467024,0.166128284,0.747602343
54,prop_urban_pop,Coefficient,3024.461805,0.014088751,-7.38E-05,4006.851214,0.047543268,-0.000104626
54,prop_urban_pop,R-square,0.008910338,0.063461709,0.000480265,0.009008123,0.094564132,0.003154938
54,prop_urban_pop,P-value,0.497173744,0.066115141,0.875014795,0.499030617,0.025095738,0.689539363
18,PubSocialWelfare2018,Coefficient,5753.504771,-0.076654589,0.001810563,12802.43403,-0.165540738,0.001950757
18,PubSocialWelfare2018,R-square,0.043099802,0.108205383,0.069776626,0.028448575,0.063846055,0.19525088
18,PubSocialWelfare2018,P-value,0.408450648,0.182577524,0.289504808,0.532338518,0.345082765,0.086598321
30,NatComp2020,Coefficient,2052.972809,0.00403209,-0.001045153,2011.437357,-0.007998803,-0.000585407
30,NatComp2020,R-square,0.087979418,0.003385291,0.30632548,0.014856144,0.001462533,0.245861201
30,NatComp2020,P-value,0.111465383,0.760061322,0.001510787,0.536664699,0.846796461,0.007289327
