,a1_Gom,b1_Gom,c1_Gom,a2_Gom,b2_Gom,c2_Gom,MSE,MAPE,MSSE
Afghanistan,38658.22134,25.07262643,0.047139217,NA,NA,NA,3540.379401,0.34968149,0.060940348
Albania,34429267.91,12.50838608,0.002495221,NA,NA,NA,122.3973595,0.376683324,0.042115724
Algeria,18438.67736,5.201588558,0.025343982,44055.55471,5.828354309,0.036423308,1357.653438,31.6566578,0.025384505
Angola,8050.245272,8.347940488,0.01846369,NA,NA,NA,51.39385527,0.271529556,0.097387613
Argentina,4066518.995,12.04179841,0.009567241,NA,NA,NA,84171.49017,0.247354871,0.017271862
Armenia,49098.83424,16.63679787,0.029967782,NA,NA,NA,2307.154232,0.311055263,0.033991873
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,6951.443775,25.70792441,0.132439615,23230.61423,15.41892922,0.050478833,1176.850228,89.68314203,0.055737636
Austria,16155.00511,11.00451997,0.10498029,52770.03386,5.519409835,0.014176333,1907.320763,113.3055745,0.0946821
Azerbaijan,57314.80112,11.69135835,0.021857376,3083.274012,4.246126476,0.14298149,6021.738997,26.95134581,0.116359714
Bahamas,5701.905655,75.24705724,0.030792414,NA,NA,NA,30.8979281,0.570829127,0.158752022
Bahrain,66098.88456,11.4035532,0.020718246,NA,NA,NA,2114.456626,0.244943458,0.026442035
Bangladesh,382000.2193,9.693021915,0.024028091,NA,NA,NA,72668.35944,0.235548757,0.01813895
Belarus,71550.11626,10.04799915,0.03890258,5377.037743,4.12829182,0.083402171,2906.647952,66.46943378,0.022633852
Belgium,60644.27025,9.990966043,0.064715463,36686.91489,7.123500274,0.042098972,5246.557757,113.2497833,0.027128487
Bolivia,227156.0075,11.10858783,0.017711987,NA,NA,NA,12147.64764,0.173556941,0.023397761
Bosnia_and_Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,7198325.024,10.31712983,0.015991257,NA,NA,NA,4494975.758,0.180593939,0.009431503
Bulgaria,4232.847662,4.559293514,0.028998325,17992.44453,6.495894376,0.032951713,312.2644842,37.4479465,0.042057334
Cameroon,108707.9481,6.833507835,0.011851367,6516.67394,3.344464688,0.070324972,3149.979573,326.7152329,0.244708889
Canada,109946.6452,8.514949687,0.041971734,27876.80377,3.65823205,0.046031752,9076.569907,97.75338469,0.023503451
Cape_Verde,833.7543917,4.002893669,0.039927792,5158.980835,4.834421792,0.023544394,48.58572111,34.03746757,0.06846841
Central_African_Republic,4833.521312,12.95897195,0.055503014,NA,NA,NA,130.8413946,0.659051445,0.093615352
Chile,415001.0975,29.48668851,0.037588965,NA,NA,NA,1112599.886,0.408644967,0.194311184
China,84708.48822,21.15620704,0.129940924,NA,NA,NA,91808.40609,0.904888482,0.582192168
Colombia,7084746.971,11.9798277,0.009404556,NA,NA,NA,645032.1106,0.226333752,0.053309956
Congo,6519.997183,8.796212248,0.020809841,NA,NA,NA,283.733434,0.751354849,0.383943266
Costa_Rica,136896.9047,22.2934529,0.016993261,NA,NA,NA,1661.652908,0.471014271,0.032929492
Cote_dIvoire,26535.0476,10.50700089,0.022649744,1163.290917,4.057995027,0.161220399,2659.650472,27.36872785,0.200588438
Croatia,2224.63373,5.229328003,0.08686185,35557.44782,6.24271174,0.014411083,1347.357616,185.6576864,0.230299574
Cuba,2044.307236,5.470162756,0.070702032,464.3770832,4.382066812,0.108943638,10.08529058,73.18076805,0.02181306
Czechia,8766.278972,6.115127099,0.072688456,47008.77812,5.008620225,0.015464461,1464.062191,58.20278072,0.072816904
Democratic_Republic_of_the_Congo,10736.41954,11.83013623,0.032415985,274.5470235,4.64934127,0.289866328,195.9112107,19.8742443,0.050778503
Denmark,12688.07926,4.816820561,0.048076817,8468.061019,6.055231407,0.037352312,848.6686421,94.73040257,0.092629217
Djibouti,1128.030534,13.54599826,0.184212032,4055.683075,8.833844292,0.085560167,388.6972066,415.4916405,0.297785535
Dominican_Republic,494048.3059,6.459093515,0.008551703,NA,NA,NA,55883.98908,0.296222161,0.169838025
