"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","MSE","MAPE","MSSE"
"Afghanistan",37269.8567580697,5.67695409195869,0.0743228743883329,NA,NA,NA,1654.61179421589,0.221437758418706,0.0284807382440575
"Albania",29521.242493145,5.30781579293336,0.026779929210098,NA,NA,NA,84.7989971091681,0.360086072785697,0.0291784985640517
"Algeria",12006.8907105594,3.75044063452854,0.0622354561199115,34805.8899086542,3.83830741668104,0.0758437161718529,2581.71248705913,32.2471873957556,0.0296334267215476
"Angola",3210.79269718217,5.34835271472943,0.0604716707886718,NA,NA,NA,58.1002657124019,0.248748203483291,0.110095772805932
"Argentina",648606.136007679,7.08218782612642,0.0434150302520938,NA,NA,NA,123348.322290887,0.197702115999553,0.0253108889275938
"Armenia",43766.1985162588,5.52764863142329,0.0542295292155237,NA,NA,NA,1114.73712433757,0.182857263713735,0.0164236972176709
"Aruba",2036.34821006981,23.7171528223509,0.165149290153801,NA,NA,NA,56.5169652834005,0.780783012198067,0.41355893209865
"Australia",6874.22165436215,5.52322559635062,0.199281013817206,19130.8852991628,5.78728906288522,0.101874082487536,689.449027516838,91.3287196471743,0.0723072261279124
"Austria",15908.5157989858,4.2740503096664,0.159566314095427,16850.1793772984,3.86204212123896,0.0497873271766587,3507.8233392085,113.772250042704,0.151188270808257
"Azerbaijan",39349.2878416781,5.70543435644939,0.0523267685754559,2314.99157300237,3.15433227630322,0.306867766498183,1628.33538926112,0.255802576823421,0.0305514241053138
"Bahamas",2725.79023142436,11.5785702467261,0.0901658909216056,NA,NA,NA,29.7555035215882,0.728738722875309,0.152882301025619
"Bahrain",52482.2683412359,5.25321833068034,0.0431989746359194,NA,NA,NA,4176.18769857491,0.266212293745997,0.0522247186262012
"Bangladesh",309918.174644702,4.84110186320868,0.0487926541457937,NA,NA,NA,253119.922636843,1.76271969663524,0.0631819631256384
"Belarus",67674.9640519211,4.37238985512972,0.0640436633041178,3143.65525090475,3.11356154561135,0.215457047373455,8740.0011103638,67.5111847046816,0.0512810528830374
"Belgium",59026.3211567591,4.17847089314407,0.100181712272937,25594.5253534017,4.47370553291095,0.0988543994673825,14688.8501434146,113.838930905443,0.0589443234932878
"Bolivia",136119.623089312,5.79892495464312,0.0464690237626513,NA,NA,NA,7794.1309683693,0.285268818977442,0.0150123893548029
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",4453662.86673487,5.52658329121354,0.0408102715874203,NA,NA,NA,15981165.2244548,NA,NA
"Bulgaria",2847.42643585271,3.42065549440226,0.0696080830087564,14226.6117117028,4.09224714221953,0.0690675623352811,327.328885750022,38.6916997056749,0.034724030552537
"Cameroon",21027.7182015958,4.59912802649951,0.0509107885967153,6228.82231830402,2.36423209449935,0.106201699504609,3334.46639320217,331.142485002798,0.269685269432434
"Canada",102198.240279805,4.16256952575699,0.0710962260770573,23205.5356094243,2.76021553213267,0.0879958846353051,33705.5079061776,98.4986304024205,0.0676132632910506
"Cape_Verde",451.689958814024,3.04619408414441,0.10954804912505,3709.01488646735,3.48582861200891,0.0528657742556302,78.577537748438,34.8928523485474,0.0886452875439679
"Central_African_Republic",4681.47037978959,4.61906683218854,0.0867009908749947,NA,NA,NA,81.6354937686859,0.317504954459478,0.0584091565428245
"Chile",386213.980500094,6.2396892739512,0.0635014828274001,NA,NA,NA,1116884.31256541,0.349135266075693,0.195059441909419
"China",84438.2724044611,5.27209798935548,0.195849489059948,NA,NA,NA,51279.0501918161,0.830478835073145,0.325180042400756
"Colombia",1028559.79368458,7.11847064626677,0.0440870516432786,NA,NA,NA,138190.235015626,0.142540053011535,0.0114210054998012
"Congo",4512.63272021254,5.14376770756703,0.050848840599828,NA,NA,NA,159.269141852247,0.517320674286618,0.215520298710829
"Costa_Rica",53094.5970804329,8.50119664170522,0.0555420760256635,NA,NA,NA,3441.16512764542,0.480347209023046,0.0681946386999084
"Cote_dIvoire",19182.5062737525,5.39473810229297,0.0524951256254544,889.992013465437,3.02513320553117,0.337158448835265,1122.55187739802,27.1578606608844,0.0897689783231918
"Croatia",2171.01568213926,3.12366824159338,0.131737309301968,13184.8613317623,4.35445334287814,0.0481754064503149,1386.21480967519,192.955533359087,0.264759781166018
"Cuba",1856.75873440085,3.45711870983089,0.123824231108291,424.29547596544,3.01609304798579,0.186788565601788,18.4313112963289,73.2276846718604,0.0354017031806088
"Czechia",8425.21626735296,3.43731968463952,0.11468981762179,20390.7784642329,3.63318361666415,0.0475974715855225,2169.28471990397,58.6030344407112,0.119308243222664
"Democratic_Republic_of_the_Congo",9704.17609066409,4.85521999080863,0.0575188993063122,NA,NA,NA,198.513613270022,0.200969103931122,0.0467383371209177
"Denmark",12229.4186232312,3.02479827681011,0.0746639194922405,4665.24269501908,4.28398195267245,0.104391395077499,1149.26983221233,94.9189790854438,0.110655642384648
"Djibouti",1051.50971076896,4.93987261236274,0.311502518054984,3980.21475971421,4.07206922905197,0.135671887465694,342.213989558376,413.108063482134,0.262222188207164
"Dominican_Republic",143968.489670272,4.51416553744618,0.0321459086468987,NA,NA,NA,29182.9673308403,0.267385822616961,0.0886904747422892
"Ecuador",41796.9418933416,5.47385757956099,0.117533570916098,84434.3110778121,3.07741589257433,0.0511378475961913,76807.4877392412,52.7716623255874,0.216102139786697
"Egypt",99949.3982752371,6.46440576384262,0.0618329655726125,NA,NA,NA,3728.08415107848,0.160443474725649,0.0104425523907796
"El_Salvador",34877.7474619658,5.4833806442381,0.0437690217173302,NA,NA,NA,1293.54589740761,0.196265356357723,0.0450465049393485
"Equatorial_Guinea",1692.85754942184,3.5290536876219,0.0881054175629126,1949.53126703866,5.09403966448318,0.216341900881645,1069.39273976118,483.545767226897,0.638679743115047
"Estonia",1856.00128599656,2.69374822247344,0.101901321896544,534.256531998397,4.6424744465658,0.078787881300406,34.7725456528302,209.925037340428,0.203911087561544
"Eswatini",6353.98819220455,5.15048579878003,0.0474840471333957,NA,NA,NA,71.0114420852419,NA,NA
"Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",7134.78810641091,3.21174655613081,0.0755196677656766,1033.34589064354,4.04217932125621,0.0980077891413797,156.264218153052,229.302613294704,0.0627820102502923
"France",147092.605338066,4.60313429680199,0.106868642409193,NA,NA,NA,266958.268835332,0.925898252092476,0.126514384849387
"Gabon",3546.95753535408,5.15363123654134,0.117203150148294,2908.75887070591,3.08557013161752,0.182078331937946,224.359293151657,22.9292626007273,0.0465443356579505
