"X.Samples","Explanatory","Res_Type","a2_Logi","b2_Logi","c2_Logi","a2_Gom","b2_Gom","c2_Gom"
62,"Infant_vaccination_rate","Coefficient",16692.7744840118,0.0236076130348614,-0.00074209700207362,145128.604485294,0.338470324047515,-0.000263007086983043
62,"Infant_vaccination_rate","R-square",0.00572851281747889,0.0279266218962449,0.0131305705394655,0.00646107568214047,0.00206139838665592,0.00769311634396547
62,"Infant_vaccination_rate","P-value",0.558769076213518,0.194212424194423,0.375167051214772,0.538023725932812,0.728253973896539,0.501478391933867
39,"Pecentage_of_malnourished_population","Coefficient",-89343.4947974974,-0.0761018635287412,0.00449280647107277,-826290.390283582,-3.01699338766729,0.00246024450040403
39,"Pecentage_of_malnourished_population","R-square",0.0344690204796388,0.0741760135226922,0.187067885881865,0.0332891674494864,0.0259006965022042,0.267256963493389
39,"Pecentage_of_malnourished_population","P-value",0.257808849546703,0.0934679521127499,0.0059614299053784,0.272912321105238,0.33441820521949,0.00088964894260478
62,"Net_migration_rate","Coefficient",15385.506575702,0.0146170772892473,-0.00177399084392974,133663.469331999,0.102211881803467,-0.000113309092324608
62,"Net_migration_rate","R-square",0.00155284595168953,0.00363805641735562,0.0235040469973581,0.00254845331585557,8.73999379594202e-05,0.000643444291369529
62,"Net_migration_rate","P-value",0.761060850425294,0.641437332697153,0.234184901844587,0.696790605657374,0.94250964823581,0.844844710451547
62,"Proportion_of_urban_population","Coefficient",18336.0837534514,0.0191600666199644,-0.000531015157055615,120004.029814746,0.698579721535602,-0.000274011735944256
62,"Proportion_of_urban_population","R-square",0.0270340222430687,0.0719483669640573,0.026295942412875,0.017826914017188,0.0354358627335027,0.0333295867817587
62,"Proportion_of_urban_population","P-value",0.201598570269469,0.0350419542787806,0.207951102316839,0.30087293936634,0.142864819135363,0.155543034056386
9,"Public_social_welfare_expenditures","Coefficient",68413.9200843767,-0.0165934889555701,-0.0097193029841159,771548.434446809,-14.8787813165659,-0.00452980819338981
9,"Public_social_welfare_expenditures","R-square",0.189523609488285,0.000956447827513722,0.236316921973696,0.134789549382356,0.129277918556662,0.465114499960459
9,"Public_social_welfare_expenditures","P-value",0.241524734135509,0.93704726471642,0.184559097812129,0.331072345836626,0.341917438626188,0.0430111592859485
20,"National_competitiveness","Coefficient",11117.4471107252,-0.0481948642750097,0.000359013723474192,-24483.4947703796,-0.931155062813184,-1.65046035213921e-05
20,"National_competitiveness","R-square",0.0958102402973001,0.206459922231065,0.0108210866450382,0.00485852223601205,0.0181084651533763,0.000170694562634325
20,"National_competitiveness","P-value",0.184167350425214,0.0441512614807886,0.662514462796779,0.776757693889711,0.582831032274789,0.957664368418657
49,"Average_annual_temperature","Coefficient",-621.241689062357,-0.00342560105362801,3.36252416571119e-05,-3886.75234466508,-0.0614341894931598,2.47659938518306e-05
49,"Average_annual_temperature","R-square",0.0327715260350849,0.111197138032694,0.00506305664999522,0.0179690850844439,0.011919211238509,0.0153876898318492
49,"Average_annual_temperature","P-value",0.213203224557119,0.0192098880241422,0.627077425664513,0.36902043800793,0.46508433672593,0.406120568874828
49,"Annual_precipitation","Coefficient",-123.476002165191,-0.000577566139195107,1.63452230947951e-05,-715.084876680645,-0.00661159128601655,6.65087608128085e-06
49,"Annual_precipitation","R-square",0.0243057712783966,0.0593461153691009,0.0224611748876538,0.011328685924738,0.00257129183885813,0.0206695840914004
49,"Annual_precipitation","P-value",0.284751474032143,0.0916476776895454,0.304029560171491,0.476422500953387,0.734991877871757,0.334989692114222
11,"Pharmaceutical_sales","Coefficient",44.8411455293541,2.98598008231706e-05,-2.22479535943062e-06,602.603232992772,-0.00281969595211883,-7.31532978228843e-07
11,"Pharmaceutical_sales","R-square",0.812435109042466,0.0346342555494001,0.129253352340845,0.871323749355185,0.0495447398619971,0.12233485142857
11,"Pharmaceutical_sales","P-value",0.000150770400305344,0.583772154434736,0.277509051552625,7.91641964773841e-05,0.536507144357648,0.321820554275514
47,"Exports_to_GDP_ratio","Coefficient",-16034.6605580338,-0.00116051942624676,0.000976972719090814,-98086.365767248,-0.00705072709547979,0.000114005143430241
47,"Exports_to_GDP_ratio","R-square",0.0153743516556873,0.000220956566722074,0.111285754609807,0.00751434239591966,2.27119315872611e-06,0.00603855606266975
47,"Exports_to_GDP_ratio","P-value",0.406325672823691,0.921004945811911,0.0219341617516654,0.562336704311002,0.991978534195125,0.603634541003828
45,"Imports_to_GDP_ratio","Coefficient",-28727.3727368117,-0.00859796581428884,0.00143936265484732,-200913.274804193,-0.14253194740507,0.000314665406830765
