"country","current_state","first_day","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"Afghanistan",10.9245017466859,86,1,1,157,NA,NA,NA,NA,273,NA,NA,NA,NA
"Albania",43.2007676793308,77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",16.1266971570171,77,2,1,208,329,NA,NA,NA,281,NA,NA,NA,NA
"Andorra",11.493061070995,79,2,1,90,298,NA,NA,NA,182,NA,NA,NA,NA
"Angola",10.8239991671253,141,1,0,303,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",21.4692067159944,76,1,0,293,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",8.65918043061773,78,2,1,179,303,NA,NA,NA,244,NA,NA,NA,NA
"Aruba",2.08016436578931,90,2,1,256,337,NA,NA,NA,321,NA,NA,NA,NA
"Australia",0.401059032251416,65,2,1,87,215,NA,NA,NA,161,NA,NA,NA,NA
"Austria",11.3541705249901,67,1,0,318,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",29.7104635454479,82,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas",5.84495205542059,107,1,1,292,NA,NA,NA,NA,342,NA,NA,NA,NA
"Bahrain",6.1553417791795,65,2,1,180,261,NA,NA,NA,217,NA,NA,NA,NA
"Bangladesh",21.4172158819525,92,2,1,179,333,NA,NA,NA,280,NA,NA,NA,NA
"Belarus",55.8719225665153,80,1,1,138,NA,NA,NA,NA,226,NA,NA,NA,NA
"Belgium",2.92903009035034,64,1,0,299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize",13.3545612785548,215,2,1,314,343,NA,NA,NA,325,NA,NA,NA,NA
"Bolivia",7.20681457488451,87,1,1,202,NA,NA,NA,NA,329,NA,NA,NA,NA
"Bosnia_and_Herzegovina",14.2475539661448,81,1,0,310,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",11.302934858939,165,3,2,285,321,344,NA,NA,300,333,NA,NA,NA
"Brazil",46.7690552670233,72,1,1,212,NA,NA,NA,NA,309,NA,NA,NA,NA
"Bulgaria",18.5672573961679,76,1,0,321,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkina_Faso",19.7500888465357,82,1,1,260,NA,NA,NA,NA,313,NA,NA,NA,NA
"Cameroon",4.73348427043733,84,3,2,160,190,328,NA,NA,182,298,NA,NA,NA
"Canada",53.0784743211739,67,2,1,118,346,NA,NA,NA,187,NA,NA,NA,NA
"Cape_Verde",24.0670237937793,107,1,0,287,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central_African_Republic",0.471800227519861,119,1,0,175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",5.21339582345242,75,1,0,169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",0.0533089625245594,18,1,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",34.5136942483567,77,2,2,228,305,NA,NA,NA,274,324,NA,NA,NA
"Congo",5.27065604799637,100,2,2,198,247,NA,NA,NA,233,288,NA,NA,NA
"Costa_Rica",40.9968920674904,78,1,1,261,NA,NA,NA,NA,350,NA,NA,NA,NA
"Cote_dIvoire",2.50680736692016,85,2,1,173,248,NA,NA,NA,231,NA,NA,NA,NA
"Croatia",36.221330878498,77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",28.6310045378369,86,2,2,108,261,NA,NA,NA,180,286,NA,NA,NA
"Curacao",22.7356347381327,241,1,0,338,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",38.9752368044418,79,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",9.42827024799923,71,1,1,302,NA,NA,NA,NA,336,NA,NA,NA,NA
"Democratic_Republic_of_the_Congo",24.5560171346547,87,2,1,175,346,NA,NA,NA,267,NA,NA,NA,NA
"Denmark",26.89730157204,70,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djibouti",0.416389680185943,96,2,2,108,151,NA,NA,NA,126,247,NA,NA,NA
"Dominican_Republic",32.1824455554871,82,1,1,209,NA,NA,NA,NA,307,NA,NA,NA,NA
"Ecuador",5.6417772597545,77,4,4,120,224,262,300,NA,152,247,287,350,NA
"Egypt",9.0881034542913,70,1,1,169,NA,NA,NA,NA,278,NA,NA,NA,NA
"El_Salvador",28.6410418833547,95,1,1,217,NA,NA,NA,NA,257,NA,NA,NA,NA
"Equatorial_Guinea",0.163716271549513,107,3,2,141,184,215,NA,NA,162,200,NA,NA,NA
"Estonia",44.9702955565719,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eswatini",14.3131588886907,118,1,1,226,NA,NA,NA,NA,306,NA,NA,NA,NA
"Ethiopia",8.08386506060565,99,1,1,237,NA,NA,NA,NA,315,NA,NA,NA,NA
"Finland",29.0834960449895,72,1,1,100,NA,NA,NA,NA,195,NA,NA,NA,NA
"France",8.38520243353867,60,1,0,309,NA,NA,NA,NA,NA,NA,NA,NA,NA
"French_Polynesia",7.66175985635225,100,1,0,310,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon",1.85609802318861,104,3,2,146,171,208,NA,NA,159,194,NA,NA,NA
"Gambia",0.381809613748543,185,1,0,229,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia",36.3507631244368,83,1,0,339,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",31.7455651892001,60,1,1,93,NA,NA,NA,NA,162,NA,NA,NA,NA
"Ghana",5.48013927054506,85,3,2,131,209,317,NA,NA,145,286,NA,NA,NA
"Greece",12.4475935512339,68,1,0,320,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam",4.16290299634704,88,2,1,240,317,NA,NA,NA,262,NA,NA,NA,NA
"Guatemala",16.203931838783,95,1,1,201,NA,NA,NA,NA,308,NA,NA,NA,NA
"Guinea",6.97644439296298,94,3,3,139,228,305,NA,NA,183,276,350,NA,NA
"Guyana",18.2206951237562,107,2,1,266,321,NA,NA,NA,303,NA,NA,NA,NA
"Haiti",3.09733401166688,112,1,1,156,NA,NA,NA,NA,326,NA,NA,NA,NA
"Honduras",16.6703014887207,86,4,3,184,242,294,345,NA,227,256,323,NA,NA
"Hungary",26.0272642721561,77,1,0,336,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iceland",2.72672819883212,68,2,1,89,286,NA,NA,NA,139,NA,NA,NA,NA
"India",21.4108113427596,71,1,0,258,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia",57.3573193654195,74,1,1,271,NA,NA,NA,NA,308,NA,NA,NA,NA
"Iran",34.7800278708485,56,1,0,333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iraq",18.0551629284773,68,1,1,270,NA,NA,NA,NA,350,NA,NA,NA,NA
"Ireland",6.46771486602142,73,2,1,106,294,NA,NA,NA,178,NA,NA,NA,NA
"Israel",11.0127488911988,71,1,1,272,NA,NA,NA,NA,314,NA,NA,NA,NA
"Italy",13.94359624999,54,1,0,318,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamaica",11.438810047239,95,1,1,266,NA,NA,NA,NA,316,NA,NA,NA,NA
"Japan",35.190312675878,47,1,1,219,NA,NA,NA,NA,268,NA,NA,NA,NA
"Jersey",19.2714851502509,88,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",15.4714820177538,79,1,0,322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",4.08228420857235,81,2,2,185,216,NA,NA,NA,204,277,NA,NA,NA
"Kenya",18.4280513263341,91,2,1,215,319,NA,NA,NA,260,NA,NA,NA,NA
"Kosovo",17.3171237166337,84,2,1,213,324,NA,NA,NA,277,NA,NA,NA,NA
"Kuwait",6.09110494977479,63,3,2,141,253,298,NA,NA,218,276,NA,NA,NA
"Kyrgyzstan",2.55927097916849,88,1,1,201,NA,NA,NA,NA,256,NA,NA,NA,NA
"Latvia",35.5436320906031,78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lebanon",38.9428980743673,72,1,0,312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Libya",24.8568221907649,112,1,0,299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",43.802513982029,81,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
