"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","MSE","MAPE","MSSE"
"Afghanistan",37902.6304806723,5.50845771217393,0.0714532488995407,12612.5087471195,3.90471524871461,0.062115369663371,1703.39268861513,177.37960327109,0.0555372831168901
"Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",61103.874082166,4.44761162338384,0.0311760774609918,48623.2053517529,4.4311517642994,0.0845059417836647,6444.93286625394,43.8351739612613,0.0788668665078481
"Andorra",790.829267933993,2.58369913901279,0.135494973246406,6735.07091814562,6.94616154934985,0.0562627375008285,53.3045883508417,105.763317890374,0.138934853253009
"Angola",21170.0744074381,5.77013855817458,0.0337363986878159,NA,NA,NA,919.610899227934,0.334439047491369,0.157712351816462
"Argentina",1671986.84709883,6.66842114352009,0.0319379300519516,NA,NA,NA,316248.146039124,0.370166378324052,0.0107282267528847
"Armenia",43713.2156730767,5.53408798905897,0.0543252577231666,105068.002360236,5.43513112071591,0.0787481955360782,22509.8678529897,52.6637981503102,0.032907209179773
"Aruba",4496.50714151225,12.0136091400263,0.0742360193216999,419.178494424203,3.33594033567142,0.183003166649503,104.619635709637,41.6934030537431,0.263853301810205
"Australia",6874.22079826188,5.5232333831825,0.199281348414195,20203.672984825,5.33776100132761,0.0912866271405586,427.925979584137,671.269005310079,0.0570828305500453
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas",8073.22766628682,7.18319929389517,0.0423742520401104,NA,NA,NA,157.48944363513,1.12766900768935,0.153329887676416
"Bahrain",47503.2218958773,5.51505582527579,0.0474539292472164,46235.5998939915,2.89552172061162,0.0549794539409506,4825.69653881457,120.714046237853,0.0415420341470536
"Bangladesh",363971.614415271,4.37930117622694,0.0402179621118954,149023.016084035,2.79218094626862,0.0582425101807604,244747.814365376,68.9017784830851,0.0680019384906489
"Belarus",67674.9610060132,4.37239118619202,0.0640436837980457,177399.042182366,4.88814159572344,0.0387191042440172,19028.4097390596,116.230022760157,0.0520710803258145
"Belgium",1005046.17634229,7.92233842268003,0.0301613104194926,NA,NA,NA,6876591.57154624,1.44971339432128,1.53350199748104
"Belize",7401.14212853498,3.18000449051345,0.0330279090401077,5249.64256018525,4.58053720808374,0.223896875415473,907.179141207973,10.9933877444244,0.146164825215029
"Bolivia",143449.11472479,5.60070547395732,0.0438455212207267,NA,NA,NA,6699.01247307014,0.297404606215605,0.0188603334656533
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",258904.44808179,7.27524176115412,0.0257473416814237,4749.98847585312,2.93181444227496,0.136912972173709,1594.92013954621,16.886482899767,0.608481721645872
"Brazil",5604302.35655427,5.02207947769294,0.0334063533398884,1537487.04864716,3.13329675464803,0.10827085891013,29378717.1852995,33.5133285362686,0.0456815427516724
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkina_Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",21027.733869082,4.59912797957062,0.0509107718250976,8646.72151081115,1.84933138358095,0.052136783697228,3096.34188525745,392.219353220043,0.423714608391539
"Canada",102198.240942289,4.16256935297823,0.0710962230066388,1119385.44558891,5.66972161305682,0.0296579257736882,184499.98181456,99.8536530218609,0.0626208844494203
"Cape_Verde",13992.2782913568,4.24062156877842,0.0233081362158954,NA,NA,NA,104.06334418572,0.214326794331767,0.048597546257291
"Central_African_Republic",4795.36189535255,4.43863100827223,0.0819744944635731,NA,NA,NA,46.7483421753203,0.469100541849391,0.102626873696961
"Chile",514090.435867917,3.97953693328401,0.0335931581949794,NA,NA,NA,2049408.94650526,0.970398316623386,0.479225392958425
"China",86840.2022240264,4.947894167117,0.180583939556967,NA,NA,NA,44923.8522528791,0.921915254566889,0.582629667394254
"Colombia",911682.769917265,7.24627028787671,0.0463479824141586,437421.080058445,2.75852636969863,0.090776917691252,964987.399009139,25.7431273025952,0.0227945015189482
"Congo",5233.88770620764,4.92950481757205,0.0456582559050717,1242.88948917593,4.8565892788323,0.269630104031262,199.235229772758,183.991109882266,0.278659778255643
"Costa_Rica",159693.910825913,6.56058984531592,0.0319629993522854,NA,NA,NA,20244.0386947404,0.85073069842298,0.0667149775709569
"Cote_dIvoire",19182.5060742542,5.39473824693762,0.0524951272467329,4318.35436532302,2.00290927639643,0.0530804524076085,833.450331835446,287.993911929722,0.162316371653198
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",2146.3414154646,2.91940731678155,0.0910705528229067,3971.66849481745,4.55217128849293,0.0614194963037881,87.8167497321424,101.725753089673,0.104941139197394
"Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",597638.890918595,16.3987005943378,0.0692699755710049,63771.606184031,2.9019256507814,0.317128501566187,669486.304678614,7.16859742474033,0.157121997993699
"Democratic_Republic_of_the_Congo",10121.7735619846,4.62415635322276,0.0533836152438774,NA,NA,NA,220.595377889523,0.265504724763257,0.0650140954045128
"Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djibouti",1051.50970077944,4.93987284841117,0.311502534334414,3990.92035173759,4.04317995979415,0.134386873768275,344.979810164572,451.293013394544,0.272973691943798
"Dominican_Republic",127859.865685851,4.4777996092771,0.0335236970150804,30904.2388407646,3.06149547364687,0.103602866778264,25797.2439702477,38.6302014549974,0.0800283980043083
"Ecuador",41796.9249629718,5.47386525077469,0.117533755525509,85875.1208853487,3.07512571053461,0.0504556470168932,75073.4928707514,53.9359422568222,0.212257965936043
