"country","current_state","first_day","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"ABW",7.86625774154758,89,2,2,255,375,NA,NA,NA,320,410,NA,NA,NA
"AFG",0.769983634124592,85,2,1,156,327,NA,NA,NA,273,NA,NA,NA,NA
"AGO",7.13502287385043,139,3,3,219,301,381,NA,NA,230,368,415,NA,NA
"ALB",22.7229155147338,76,2,1,342,408,NA,NA,NA,364,NA,NA,NA,NA
"AND",8.87904129402939,79,3,3,88,297,383,NA,NA,181,355,426,NA,NA
"ARE",17.5548337769261,70,2,1,142,391,NA,NA,NA,221,NA,NA,NA,NA
"ARG",23.2799697444392,76,2,2,292,377,NA,NA,NA,345,415,NA,NA,NA
"AUS",0.53385083241795,64,2,1,87,213,NA,NA,NA,159,NA,NA,NA,NA
"AUT",10.4461623620993,66,1,1,317,NA,NA,NA,NA,402,NA,NA,NA,NA
"AZE",5.08110949515759,81,1,1,343,NA,NA,NA,NA,407,NA,NA,NA,NA
"BEL",5.51091379360774,65,1,1,301,NA,NA,NA,NA,367,NA,NA,NA,NA
"BEN",14.7065428480867,111,5,4,129,174,198,411,430,142,188,274,422,NA
"BFA",2.71345617882244,81,1,1,355,NA,NA,NA,NA,445,NA,NA,NA,NA
"BGD",18.550429158566,91,2,2,178,331,NA,NA,NA,279,410,NA,NA,NA
"BGR",27.4420553867049,75,1,1,320,NA,NA,NA,NA,386,NA,NA,NA,NA
"BHR",25.1350920083929,64,3,3,178,258,411,NA,NA,216,329,432,NA,NA
"BHS",7.34090312913269,107,1,1,290,NA,NA,NA,NA,381,NA,NA,NA,NA
"BIH",20.33065104402,79,1,1,309,NA,NA,NA,NA,401,NA,NA,NA,NA
"BLR",32.7519052940538,78,2,2,137,354,NA,NA,NA,225,439,NA,NA,NA
"BLZ",0.291980103189821,214,2,1,312,341,NA,NA,NA,324,NA,NA,NA,NA
"BOL",14.1468227858846,87,2,2,201,390,NA,NA,NA,329,435,NA,NA,NA
"BRA",51.1507030593616,72,2,2,211,381,NA,NA,NA,308,405,NA,NA,NA
"BRB",3.90523645176541,94,2,1,373,413,NA,NA,NA,398,NA,NA,NA,NA
"BWA",12.405939452724,165,4,3,291,339,388,427,NA,304,353,410,NA,NA
"CAF",1.95102021350275,119,1,1,173,NA,NA,NA,NA,384,NA,NA,NA,NA
"CAN",20.1521089167906,67,1,1,372,NA,NA,NA,NA,425,NA,NA,NA,NA
"CHE",4.17803810567382,63,1,0,308,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",24.8565518797341,73,2,2,159,388,NA,NA,NA,325,413,NA,NA,NA
"CHN",0.0340553216353136,23,1,0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
