"","country","current_state","first_day","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5","sum"
"1","ABW",7.55863899658419,94,2,2,258,378,NA,NA,NA,323,413,NA,NA,NA,8731
"2","AFG",0.747001675218343,87,2,1,159,330,NA,NA,NA,275,NA,NA,NA,NA,56093
"3","AGO",6.20414317173254,142,1,1,304,NA,NA,NA,NA,418,NA,NA,NA,NA,21696
"4","ALB",25.8007533241823,80,2,1,345,411,NA,NA,NA,367,NA,NA,NA,NA,120541
"5","AND",8.88114643145716,82,3,3,92,300,386,NA,NA,184,357,429,NA,NA,11481
"6","ARE",19.0348412570322,72,2,1,145,394,NA,NA,NA,224,NA,NA,NA,NA,438638
"7","ARG",22.3207903027105,79,2,2,295,381,NA,NA,NA,349,419,NA,NA,NA,2241739
"8","AUS",0.5439632045266,68,2,1,90,216,NA,NA,NA,161,NA,NA,NA,NA,29196
"9","AUT",9.86810190370124,69,1,1,320,NA,NA,NA,NA,405,NA,NA,NA,NA,511440
"10","AZE",4.17958732400781,84,1,1,345,NA,NA,NA,NA,410,NA,NA,NA,NA,245490
"11","BEL",4.74151329154442,67,1,0,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,827941
"12","BEN",12.525037508257,116,5,4,132,177,201,414,433,146,192,276,425,NA,7027
"13","BFA",3.26647626904067,84,1,1,358,NA,NA,NA,NA,445,NA,NA,NA,NA,12516
"14","BGD",14.5786215404127,93,2,2,181,334,NA,NA,NA,282,413,NA,NA,NA,568706
"15","BGR",23.3448318774842,79,1,1,323,NA,NA,NA,NA,389,NA,NA,NA,NA,302480
"16","BHR",25.8010109504714,66,3,3,181,261,414,NA,NA,219,333,435,NA,NA,135326
"17","BHS",7.44690496432334,109,1,1,293,NA,NA,NA,NA,384,NA,NA,NA,NA,8800
"18","BIH",16.768695724703,81,1,1,312,NA,NA,NA,NA,404,NA,NA,NA,NA,151337
"19","BLR",31.6209199351755,82,2,1,141,357,NA,NA,NA,228,NA,NA,NA,NA,309293
"20","BLZ",0.34635451641756,215,1,0,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,12400
"21","BOL",13.3022762842398,90,2,1,205,393,NA,NA,NA,331,NA,NA,NA,NA,264411
"22","BRA",51.7966363161027,74,2,2,215,385,NA,NA,NA,311,409,NA,NA,NA,11950459
"23","BRB",4.63277012037428,98,2,1,377,416,NA,NA,NA,401,NA,NA,NA,NA,3533
"24","BWA",16.9650605568572,167,3,2,294,342,431,NA,NA,307,356,NA,NA,NA,35493
"25","CAF",0.968658856037042,124,1,0,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,5075
"26","CAN",21.0991134587874,70,1,0,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,935932
"27","CHE",3.61469301050831,65,1,0,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,580609
"28","CHL",24.2162709237296,75,2,2,162,390,NA,NA,NA,328,416,NA,NA,NA,925089
"29","CHN",0.0403500682599811,24,1,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,89554
"30","CIV",19.1075771497587,87,3,3,174,250,393,NA,NA,233,318,421,NA,NA,40017
"31","CMR",15.3563733516843,86,4,3,172,194,329,441,NA,185,279,374,NA,NA,40622
"32","COD",15.2268472747088,89,2,1,176,380,NA,NA,NA,269,NA,NA,NA,NA,27468
"33","COG",5.12113185496279,102,5,4,200,250,362,385,430,235,289,376,399,NA,9564
"34","COL",11.4388274277657,79,2,1,230,384,NA,NA,NA,275,NA,NA,NA,NA,2331187
"35","CPV",12.6358078278985,111,2,2,290,386,NA,NA,NA,364,417,NA,NA,NA,16440
"36","CRI",18.0273375104193,81,1,1,263,NA,NA,NA,NA,435,NA,NA,NA,NA,211903
"37","CUB",27.5903718870132,88,1,0,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,65962
"38","CYP",25.5131987896499,81,1,1,371,NA,NA,NA,NA,412,NA,NA,NA,NA,41909
"39","CZE",23.5891993280977,73,3,2,304,375,431,NA,NA,340,398,NA,NA,NA,1459406
"40","DEU",15.4024701967534,61,2,2,94,354,NA,NA,NA,164,417,NA,NA,NA,2669233
"41","DJI",2.80877227912224,97,2,2,110,153,NA,NA,NA,128,250,NA,NA,NA,6518
"42","DNK",5.79436626670931,70,1,1,355,NA,NA,NA,NA,413,NA,NA,NA,NA,224848
"43","DOM",10.2845096370485,82,2,1,211,387,NA,NA,NA,309,NA,NA,NA,NA,248989
"44","DZA",4.03161221780699,79,2,1,210,331,NA,NA,NA,283,NA,NA,NA,NA,116066
"45","ECU",13.5004440785508,79,5,4,119,227,265,302,425,153,249,289,359,NA,322422
"46","EGY",12.0066988826509,73,2,1,172,370,NA,NA,NA,279,NA,NA,NA,NA,194771
"47","ESP",3.50199789554983,63,2,1,310,392,NA,NA,NA,346,NA,NA,NA,NA,3318180
"48","EST",35.6671993444207,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94028
"49","ETH",23.016013535784,101,1,1,239,NA,NA,NA,NA,384,NA,NA,NA,NA,185641
"50","FIN",45.5419944451478,73,1,1,342,NA,NA,NA,NA,373,NA,NA,NA,NA,71143
"51","FRA",11.6538649943178,61,1,1,311,NA,NA,NA,NA,342,NA,NA,NA,NA,4375752
"52","GAB",25.82242114813,106,3,2,173,210,436,NA,NA,196,296,NA,NA,NA,17711
"53","GBR",3.36262246135678,61,2,1,318,375,NA,NA,NA,340,NA,NA,NA,NA,4291271
"54","GEO",3.39546632713677,84,1,0,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,277218
"55","GHA",7.21149204481341,86,3,2,133,211,402,NA,NA,147,288,NA,NA,NA,89276
"56","GIN",31.329707874962,96,3,3,140,230,307,NA,NA,185,278,364,NA,NA,18562
"57","GMB",6.52510195974021,186,1,1,235,NA,NA,NA,NA,360,NA,NA,NA,NA,5501
"58","GRC",21.6824490415864,70,1,1,322,NA,NA,NA,NA,388,NA,NA,NA,NA,235611
"59","GTM",20.9838222280732,97,2,2,203,386,NA,NA,NA,364,426,NA,NA,NA,187659
"60","GUM",0.66909171122632,91,2,1,242,318,NA,NA,NA,265,NA,NA,NA,NA,7782
"61","GUY",22.628880390219,102,3,3,268,322,394,NA,NA,305,369,424,NA,NA,9601
"62","HKG",4.04678629267443,47,4,4,91,213,344,390,NA,127,307,377,420,NA,11371
"63","HND",20.4597310633956,89,4,4,186,244,296,398,NA,229,259,325,435,NA,182079
"64","HRV",7.00851007062314,79,1,1,344,NA,NA,NA,NA,416,NA,NA,NA,NA,256805
"65","HTI",1.51903026788234,115,2,1,161,388,NA,NA,NA,328,NA,NA,NA,NA,12700
"66","HUN",31.3438252558966,80,1,1,338,NA,NA,NA,NA,395,NA,NA,NA,NA,560971
"67","IDN",21.4987445308901,75,1,0,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,1455788
"68","IND",17.943377000939,73,1,1,260,NA,NA,NA,NA,409,NA,NA,NA,NA,11599130
"69","IRL",1.53044015661942,74,2,1,296,377,NA,NA,NA,340,NA,NA,NA,NA,229831
"70","IRN",26.8634247508345,57,2,1,334,432,NA,NA,NA,370,NA,NA,NA,NA,1793805
"71","IRQ",31.7454161717249,70,1,1,271,NA,NA,NA,NA,384,NA,NA,NA,NA,789390
"72","ISL",0.666034848079768,71,2,1,91,288,NA,NA,NA,158,NA,NA,NA,NA,6098
"73","ISR",8.80172127506857,71,2,1,273,382,NA,NA,NA,315,NA,NA,NA,NA,827276
"74","ITA",17.8872159347681,55,1,1,320,NA,NA,NA,NA,405,NA,NA,NA,NA,3356810
"75","JAM",25.1003448655629,98,1,1,268,NA,NA,NA,NA,318,NA,NA,NA,NA,34665
"76","JOR",34.9467919716419,81,1,1,324,NA,NA,NA,NA,392,NA,NA,NA,NA,526781
"77","JPN",5.6194390950147,49,2,1,221,382,NA,NA,NA,270,NA,NA,NA,NA,455210
"78","KAZ",4.96960662625067,84,2,1,188,395,NA,NA,NA,280,NA,NA,NA,NA,281798
"79","KEN",24.8893315189203,93,2,2,217,320,NA,NA,NA,263,395,NA,NA,NA,120163
"80","KGZ",0.472658979716663,90,1,1,204,NA,NA,NA,NA,434,NA,NA,NA,NA,87389
"81","KOR",12.3565633026827,52,3,3,65,241,360,NA,NA,124,282,406,NA,NA,98664
"82","KWT",31.9528069116514,65,3,3,144,255,300,NA,NA,220,278,362,NA,NA,217933
"83","LBN",18.7787734350457,74,1,1,383,NA,NA,NA,NA,418,NA,NA,NA,NA,436575
"84","LBY",31.1195213026892,113,2,2,301,399,NA,NA,NA,371,418,NA,NA,NA,150341
"85","LKA",13.2307675584441,81,1,0,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,89655
"86","LSO",0.0566347498290812,189,1,0,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,10535
"87","LTU",8.08957713157301,83,1,0,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,208650
"88","LUX",5.87240456524631,77,2,1,90,311,NA,NA,NA,159,NA,NA,NA,NA,60303
"89","LVA",29.6803657044929,80,1,0,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,97149
"90","MAR",3.48477723067572,81,1,0,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,491463
"91","MDA",45.6012283178485,82,2,2,173,344,NA,NA,NA,194,387,NA,NA,NA,214203
"92","MDG",13.080817475902,94,1,1,207,NA,NA,NA,NA,334,NA,NA,NA,NA,22282
"93","MEX",10.9727889608237,78,2,1,212,389,NA,NA,NA,266,NA,NA,NA,NA,2193639
"94","MLI",19.0154138060699,100,2,2,160,346,NA,NA,NA,218,415,NA,NA,NA,9270
"95","MLT",36.9739142814529,82,2,1,318,440,NA,NA,NA,356,NA,NA,NA,NA,28018
"96","MMR",0.341905406678347,107,1,0,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,142212
"97","MNG",21.6707889321913,135,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4806
"98","MOZ",7.42929203747091,117,2,1,269,399,NA,NA,NA,339,NA,NA,NA,NA,66064
"99","MRT",1.88227466237643,140,2,1,176,353,NA,NA,NA,286,NA,NA,NA,NA,17587
"100","MWI",1.19248362191922,133,1,0,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,33216
"101","MYS",15.79906713483,67,1,0,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,331713
"102","NAM",9.4088248786979,175,3,2,240,367,421,NA,NA,315,408,NA,NA,NA,42203
