"X.Samples","Explanatory","Res_Type","a1_Logi","b1_Logi","c1_Logi","a1_Gom","b1_Gom","c1_Gom"
94,"Infant_vaccination_rate","Coefficient",226059.945303593,0.826201769145918,-0.00427035969512402,-35009.8667472874,187.625298168593,0.00031742586804459
94,"Infant_vaccination_rate","R-square",0.00210012789046972,0.063932697322498,0.00829319501389944,0.000554335661148024,0.0191890724361718,0.000142043540680931
94,"Infant_vaccination_rate","P-value",0.660953988725052,0.0139419027074151,0.382701582446162,0.834733658417979,0.21746385293897,0.915899435621204
65,"Pecentage_of_malnourished_population","Coefficient",-388419.614501283,-0.834241593005353,-0.004531914473284,35338.2777141499,-97.0274217442155,-0.00695536056011959
65,"Pecentage_of_malnourished_population","R-square",0.00431783451506361,0.0561913599043206,0.00715784615954692,0.000414869159171976,0.00371603692741955,0.0590042245003488
65,"Pecentage_of_malnourished_population","P-value",0.603024447150058,0.0572694905049339,0.502814660239488,0.882657425448436,0.6584067349653,0.0739464045631597
92,"Net_migration_rate","Coefficient",135511.13201581,-0.513354102704137,0.00660809099375779,-86731.003591504,-182.158268186206,0.00456725360590708
92,"Net_migration_rate","R-square",0.00073885163795586,0.0245837105914432,0.0200930020409598,0.00353944356311073,0.0188060635361891,0.0323549544475365
92,"Net_migration_rate","P-value",0.797023066868633,0.135546788458548,0.177708762543621,0.600130105246056,0.225125805660546,0.110359266345414
92,"Proportion_of_urban_population","Coefficient",364703.242780193,0.205060752557788,0.00507150209314025,-10189.9867130332,86.5859599136761,0.00581127026350865
92,"Proportion_of_urban_population","R-square",0.00535080779139902,0.00411773456769301,0.0114501693126226,4.54277074856939e-05,0.0040505556884868,0.0459893694524893
92,"Proportion_of_urban_population","P-value",0.488335442013907,0.543383578901536,0.309988694189153,0.952990106519672,0.577371016842333,0.0577161855451844
15,"Public_social_welfare_expenditures","Coefficient",8080.03873270209,-0.930846241178204,0.00339825688018502,-59107.5804008002,-239.589239248097,0.00441893315058527
15,"Public_social_welfare_expenditures","R-square",0.000475237306615486,0.0473788631478797,0.00324432973789178,0.00983215868580037,0.0378426534490527,0.0105429733848373
15,"Public_social_welfare_expenditures","P-value",0.9385325702515,0.43580374631074,0.840209456241053,0.735925321119912,0.505141503898912,0.726867582110638
37,"National_competitiveness","Coefficient",497505.679339326,1.28855978944383,-0.0174957409927243,635319.827528189,408.656248665892,-0.014124252301278
37,"National_competitiveness","R-square",0.0674618695100729,0.119032302990862,0.12928276453031,0.0874373227407452,0.0732362224417383,0.164615973035896
37,"National_competitiveness","P-value",0.120553370941698,0.0365027633352496,0.0288354551223565,0.0947697497364079,0.127697220008286,0.0191482284691276
73,"Average_annual_temperature","Coefficient",63827.1328640658,-0.60360032110031,0.000605347748983514,75628.6503997059,-187.570359168756,-0.00253797395386834
73,"Average_annual_temperature","R-square",0.00206616490762654,0.0372252381107001,0.000139098217875106,0.00184942028108524,0.0257678513772496,0.00693586797868009
73,"Average_annual_temperature","P-value",0.702563169165335,0.101960930562231,0.921112795103486,0.739977501411957,0.212638643235371,0.519876356638908
73,"Annual_precipitation","Coefficient",9470.65721054867,-0.351862948323301,0.00199279025443196,6596.17675155022,-170.602732531391,7.79236609025606e-06
73,"Annual_precipitation","R-square",4.54898541041571e-05,0.0126498575493885,0.00150742211897593,1.53811979334579e-05,0.0233058222422623,7.14838391305225e-08
