"X.Samples","Explanatory","Res_Type","a3_Logi","b3_Logi","c3_Logi","a3_Gom","b3_Gom","c3_Gom"
19,"Infant_vaccination_rate","Coefficient",25514.4761314607,0.254912723665668,-0.00127747577578566,-73099.7177859452,-0.0375484135069756,-0.00837162117931183
19,"Infant_vaccination_rate","R-square",0.00197518168902104,0.111051486194109,0.000878667636539426,0.00572897123062843,0.000831057522907561,0.0332696671617174
19,"Infant_vaccination_rate","P-value",0.856634889796461,0.163258754218206,0.904117266297453,0.765321904652256,0.90959500434913,0.468812695248711
12,"Pecentage_of_malnourished_population","Coefficient",-280161.89414107,0.222446810446429,0.00769681422069878,-371970.089659392,-0.229133351844481,0.0154428710588454
12,"Pecentage_of_malnourished_population","R-square",0.19739500423042,0.104768943778144,0.0357405603974089,0.141718818096386,0.0400318139680834,0.426276497173978
12,"Pecentage_of_malnourished_population","P-value",0.14789226685331,0.304736235441653,0.556225179214238,0.253812392087707,0.555284963293653,0.0294094803408821
19,"Net_migration_rate","Coefficient",-42284.8052803947,0.0302271280320229,-0.0156928319385292,-66555.4603742333,-0.0325918338424387,-0.00888134702735115
19,"Net_migration_rate","R-square",0.00924892451509223,0.00266209742373465,0.226053250615388,0.0137296350376392,0.00181803063180481,0.10707556871705
19,"Net_migration_rate","P-value",0.695315441064087,0.833846867075665,0.0396493596108318,0.65424841757317,0.870924317458048,0.199821306633229
19,"Proportion_of_urban_population","Coefficient",229934.840768808,-0.232309411103383,-0.00707488059759633,202199.110539959,-0.347924385404865,0.00163470153471417
19,"Proportion_of_urban_population","R-square",0.121132977077461,0.0696456575116631,0.0203505710103145,0.0420955649826043,0.0685251916923703,0.00121825690347336
19,"Proportion_of_urban_population","P-value",0.144235778273457,0.274947965865456,0.56016349283763,0.414087085661079,0.294032340770554,0.890641015896355
1,"Public_social_welfare_expenditures","Coefficient",NA,NA,NA,4785307.0077736,12.8764535345828,0.029466915534155
1,"Public_social_welfare_expenditures","R-square",0,0,0,1,1,1
1,"Public_social_welfare_expenditures","P-value",NA,NA,NA,NA,NA,NA
3,"National_competitiveness","Coefficient",284094.337822082,-0.801694562027852,0.00714009528475276,716194.003187383,0.136097574932924,0.0243229392586197
3,"National_competitiveness","R-square",0.0279676495280354,0.550393076053359,0.027489967969469,0.200769858759122,0.00485778537553633,0.122267429414029
3,"National_competitiveness","P-value",0.893032078081403,0.467864208907588,0.893958125535109,0.372869580782427,0.895622566445495,0.496875081513978
17,"Average_annual_temperature","Coefficient",-57371.8049865184,-0.0159302155874791,-0.00546876315960327,159034.034653607,-0.289576072957261,0.00745817266197276
