"","a1_Gom","b1_Gom","c1_Gom","a2_Gom","b2_Gom","c2_Gom","a3_Gom","b3_Gom","c3_Gom","MSE","MAPE","MSSE"
"ABW",4721.04369800022,1223.26178524539,0.0461535665030587,5316.89000080811,5.63234828895443,0.0237597302831657,1657.99318275663,3.69383372508648,0.063084085740546,174.572340457012,606.704782138004,340.406336550183
"AFG",38792.732245903,24.1934501243912,0.046557471225282,17816.6398472873,6.63623439821939,0.030228687296202,NA,NA,NA,2144.2839117316,520.07232288144,0.0970318292593275
"AGO",29283.1584709543,8.65811996693155,0.0124573355200816,17977.708419,6.53289846115773,0.0280451110894457,2998.3017484983,4.09645756504527,0.0850228038736486,3694.03154995388,65.1887310595299,0.163637052499505
"ALB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND",795.16051723358,3.53160188321879,0.0915999221397998,8335.54608695592,26.8302828187547,0.0275006539746293,3684.45565958197,4.24885016903648,0.050268472848878,304.516188061617,117.979228959206,0.151267732491176
"ARE",67796.67325089,7.99010456997512,0.0281857806548868,3038852.3057502,5.88843870879192,0.00465418254510835,NA,NA,NA,168615.551347004,77.5906746741417,0.0759797635463819
"ARG",2457171.17257204,16.5398008919528,0.0131244434400573,723824.008294828,4.13275873632787,0.0395768446308871,233801.268946104,3.7896790406028,0.0821392308376706,3077042.91658354,228.096051745982,1.69789903631597
"AUS",6970.14317124399,26.4776778785868,0.130626308106898,21031.4051459255,17.6144589137942,0.0552847072534501,NA,NA,NA,747.595711561479,1232.12259633844,0.127273522770838
"AUT",462305.046250157,950.271737937729,0.0272656191607866,166646.120610025,3.96043473355777,0.0392797466990279,NA,NA,NA,560126.869108026,28.5529740752074,0.354995350579273
"AZE",2922293.61312449,9.33305577957502,0.00421091417102777,650330.911252519,7.37673431835524,0.0152263162069839,NA,NA,NA,928591.269468616,118.284510928429,1.85528819737354
"BEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEN",370.377012336674,43.48111689174,0.187480321227588,3663.85726829325,7.20069216232917,0.0399247894964106,1097.99360956344,3.16631216757731,0.057774825675859,182.607708133969,113.831691853462,0.435806152312386
"BFA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGD",417392.18754344,8.58911601464657,0.0216953902260042,188050.043541813,3.74963025287013,0.0296669409751116,340854.103529981,5.98080015881177,0.0217465409868989,425194.817575533,199.69240357937,0.0873567523515298
"BGR",258896.422483303,1198.57166375525,0.0288009606213267,1573754.72837189,6.57111004069726,0.0129751563141368,NA,NA,NA,151428.507839554,41.2773013417741,0.275150339902538
"BHR",75263.1466011168,10.2946628379568,0.0187377048563455,48951.0650223526,4.08919592364604,0.0335400552205238,463876.094876483,6.12013482866379,0.00883368212411527,20362.685771775,123.497404427807,0.0990047038275251
"BHS",8545.85461659556,48.9137554179446,0.0251036302802844,1129.69716463642,3.50387133898587,0.0318768854958251,NA,NA,NA,154.694363283948,135.549541866778,0.208683777922538
"BIH",231327.889806722,14.5333920641177,0.0101218637448847,388950.452222061,6.0796098456868,0.0177140883131018,NA,NA,NA,72689.6681528285,36.8262666988068,0.48656777477448
"BLR",71558.2465456797,10.4397158570474,0.0388937002542028,327547.812139138,8.42398993523104,0.0149110440953347,NA,NA,NA,10144.6999900727,123.174346626192,0.013341765336786
"BLZ",14946.045997476,4.32134880901393,0.0116924479490117,7268.50046741411,4.54468877028447,0.0712962701478474,NA,NA,NA,857.511427965292,311.649527944004,0.250874241561889
"BOL",151602.185440898,20.5772332309583,0.0266049071353965,126445.161957113,11.8126804541153,0.0419883269340775,NA,NA,NA,23704.6990646737,119.42265426011,0.0454240938115934
