"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","a3_Logi","b3_Logi","c3_Logi","MSE","MAPE","MSSE"
"ABW",4497.42567893965,12.0099716729752,0.0742016679796206,3146.2532124068,4.07182686439878,0.0637511035485573,1296.07452274964,2.79897802795236,0.128027298749238,183.600565565807,607.268140645137,324.915323923088
"AFG",37901.0640367232,5.49604699006046,0.0712723326813171,16835.9345950433,3.68688529543277,0.0497884463784409,NA,NA,NA,1462.28289056298,520.340842392458,0.073329695633714
"AGO",3426.90390158455,5.51461333127274,0.0614052169864482,15639.526025219,3.95299679468178,0.0532202381925056,2767.94711348506,2.86173579244088,0.14229940552948,3524.96977845482,65.9175843515136,0.13925880488979
"ALB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND",784.59191992942,2.46679778830287,0.135107024267198,6853.16564675564,6.84882259888241,0.0551162416922468,NA,NA,NA,55.6403366395941,106.970717188227,0.144453993309895
"ARE",60280.5356330898,4.2023026684777,0.0510846721645032,685204.57706982,3.99166770698707,0.018721755221285,NA,NA,NA,144564.234815829,78.7608235812407,0.0852676024144027
"ARG",1680092.89319033,6.5354664839867,0.0314380035544554,589959.840761605,3.07157465018239,0.0790452048317414,189477.47744496,2.8446701054722,0.161420477697176,2372935.39536618,228.276115690118,1.60022549700629
"AUS",6889.10117209946,5.57543625390981,0.196875808065799,20868.0384111915,4.99439040047827,0.0837030329214921,NA,NA,NA,485.232937523542,1229.72420254783,0.0825989555894058
"AUT",419666.309887423,12.1079285264145,0.0463794781970823,103657.171354809,3.01228895929868,0.097281237183436,NA,NA,NA,458451.82131817,28.419346014749,0.284770329321896
"AZE",342664.841440933,6.74548795089181,0.0242122611214564,32750.8009636579,4.16878249228509,0.089597602162812,NA,NA,NA,618693.441778469,117.988570158048,1.24224793840181
"BEL",714657.597996767,10.3176149718169,0.0427707044151982,189860.732718063,2.6448121650108,0.0562023774497348,NA,NA,NA,4009258.77525216,68.5407183552982,0.882003134919953
"BEN",330.228534955899,7.16055906562082,0.334913701036703,1474.89811749203,4.97616271015974,0.133746446445269,1059.72626719569,2.26854688206118,0.0858640067867596,174.188236332022,113.896093339012,0.390050158497772
"BFA",21849.1590177752,6.06494923631728,0.0181320231445956,NA,NA,NA,NA,NA,NA,1206.31623120206,1.07766458311553,1.03887935494602
"BGD",363973.048562616,4.37927131181391,0.0402176854807243,172911.770813468,2.74470284438455,0.0504262675580221,53322.6373171849,3.84022049204346,0.0972160653381534,189227.556309924,197.121136653068,0.0595161708559254
"BGR",228489.081404458,12.8931395888022,0.0508063831868598,177368.42189901,4.08693351619635,0.0635480059894448,NA,NA,NA,98305.0436337867,41.2408638562003,0.157842642005564
"BHR",47646.7809562842,5.51583687691053,0.047372231724756,44387.3444386783,2.93079516927432,0.0585846352071164,75760.7619768559,3.99018224778387,0.0393321896010489,20164.9707013316,123.530265319908,0.0951392462495659
"BHS",7971.16890062668,7.19853032741923,0.042868035981854,837.322742865182,2.71465627327158,0.0684737025851007,NA,NA,NA,128.030277102106,136.004552780811,0.183767376570057
"BIH",144175.742246464,6.66180736357044,0.0268896573057332,54082.6929063307,3.84258075304722,0.0819099156446638,NA,NA,NA,45893.1070034513,36.7312075814552,0.299449448588542
"BLR",67679.119574176,4.43622852795581,0.0640438261098173,247433.923864281,4.72244331508501,0.0326252477556683,NA,NA,NA,17423.6355475351,127.072557513235,0.0292960348621592
"BLZ",7325.7768706152,3.1955679975311,0.033405951367603,7151.6491454642,2.82428940194854,0.104914556575908,NA,NA,NA,1135.9780705633,310.332417328296,0.327164812554757
"BOL",143457.916622402,5.56078336239819,0.0438832908924262,110366.650711301,5.01868150819323,0.0786042202857441,NA,NA,NA,12879.3779464638,120.320959863462,0.0191498328893447
"BRA",5602802.2582511,4.98731893396235,0.0334001388875198,4458048.0759429,3.02629029082512,0.0478125227445588,2583130.87317428,2.96166322073178,0.109861073021378,93231356.176816,82.8454801472855,0.0833961395892026
"BRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAF",4825.14157264835,4.35414174499784,0.0812363335427316,138.2316925721,3.41361637788162,0.0520885353432201,NA,NA,NA,48.1265643206536,0.49134985937802,0.136806463477929
"CAN",3535939.16237171,5.42548033335289,0.0123353619757984,65047.9510889026,2.7319933773235,0.228923068432152,NA,NA,NA,2496656.74535924,16.5319586519434,0.426573409415158
"CHE",573292.973476412,9.76517312191825,0.0361217671679197,NA,NA,NA,NA,NA,NA,861927.053573658,0.849583167529759,0.378095016811072
"CHL",487030.282770827,4.12123168644345,0.0365396155190616,313519.73164067,3.45735092704204,0.0515567272047333,NA,NA,NA,1039967.9016363,69.669441070226,0.226415523637415
"CHN",84616.0976166076,4.13379683512789,0.191062952681029,NA,NA,NA,NA,NA,NA,39271.2263022611,0.872779064141899,0.868790269688249
"CIV",19097.7141558992,5.3856755533192,0.0526435362002029,3646.10010559563,2.29847398637675,0.0761604132862343,14315.8632064038,5.39766465557229,0.0630276133347456,988.897833016669,185.37653989289,0.12449201980038
"CMR",22798.3388089446,4.57379247255357,0.0485881626713541,7715.03529007413,2.01126044837372,0.0667864204221136,6394.90391106849,3.5280843556804,0.0577296890474275,7258.28519020989,925.780416543079,0.788040995908337
"COD",10103.5370777464,4.68556387348071,0.054046734348189,17032.1580147693,4.9487635839447,0.0439257452267784,NA,NA,NA,399.919293716359,139.586681511224,0.069416161106777
"COG",5333.08349328659,4.90366066804209,0.0451782091358047,1235.03271871403,5.18734448821505,0.279283597503112,11388.6186930125,5.01095519301634,0.0403671465911459,633.735503502581,273.967518496939,0.564212948018888
"COL",911807.892875734,7.24470825379812,0.0463359471366001,1712625.40660409,2.93665864813171,0.0307467653216491,NA,NA,NA,3532272.94179869,87.1767358253529,0.0467063713887062
"CPV",13835.5607123144,4.25399230799326,0.0235311103818072,3096.14115606373,3.55970604274045,0.121072368201954,1473.56476198687,3.01104809190565,0.173794150380889,99.0934642141372,47.309368677911,0.0430292754682426
"CRI",211453.754119601,5.55279100494805,0.0241687512107784,5091.39409928946,2.98991307693423,0.322739539885342,NA,NA,NA,23700.3046778984,25.8182128630883,0.0731072730880957
"CUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP",38632.3392074155,10.9084873830109,0.0385033850246693,11421.1539162577,3.75658083699272,0.133796691133131,NA,NA,NA,2815.33952874743,18.2373707531259,0.265465051514077
"CZE",588013.14657974,16.5395533176158,0.0703232743559813,470698.593767818,3.41762991689,0.094769378924384,547458.291139428,3.11207122154741,0.0930047506011765,11901949.0573773,2796.89970175078,3608.48470595133
"DEU",176501.913616898,4.6529902552011,0.118678316127653,2317703.13956623,7.54347827292929,0.0396541895773896,NA,NA,NA,2801965.10780065,140.401717214304,0.0692304678133362
"DJI",1050.60381916742,4.98589751498961,0.314548811030946,3992.11366196507,4.02242390276579,0.133738729544578,913.143280360678,3.08845064925357,0.0238476348317505,169.244902769771,1154.05138793351,1.27252935372915
"DNK",309927.444574257,7.58932109689775,0.0249280335753087,24636.8305965087,2.95705666939776,0.116315159160342,NA,NA,NA,202695.186000578,37.9996979755002,0.572811566161031
"DOM",128049.711443724,4.50577419208625,0.0334539621870666,130159.326746447,3.35609870267537,0.0430379289150019,NA,NA,NA,26062.6019434337,93.3771218540187,0.064127343568285
"DZA",61110.5711268365,4.44693164822802,0.0311693940016323,59299.6273816013,3.43371406999055,0.0560970916904333,NA,NA,NA,13229.2126891428,154.663086920565,0.119391949854927
"ECU",40368.2603950042,5.2642610112245,0.119381974810267,86324.7742760493,3.10942076538369,0.0502522434657952,39386.574304387,3.19827185345348,0.145549651015548,83442.0032156819,76.9625758168608,0.199080642023017
"EGY",100717.36444549,6.37061463421363,0.060717499225449,90538.6861895654,4.49324596969407,0.0426870948383679,NA,NA,NA,17725.6289665734,168.199097501069,0.0648172034668243
"ESP",248068.694777796,4.52371801181817,0.114252339227718,1858706.40670551,5.11822944363467,0.0356659166826971,1588604.39914236,4.1730047615724,0.0847164939471172,35530963.0494338,163.403900101355,0.28226093035021
"EST",187430.803032834,8.38398730544536,0.021944234935407,NA,NA,NA,NA,NA,NA,13961.7851671022,1.20826127198658,0.248718561322372
"ETH",122332.427264305,5.61619718306771,0.0338004220179851,66448.0891976444,3.26353352183647,0.0655987291257185,NA,NA,NA,53506.5204419232,41.5794965770686,0.219263765030283
"FIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAB",3504.90379284439,5.09655505327746,0.119112718435928,2896.26913216689,3.14223603317741,0.185567112148128,2837.34768961317,2.70913779662511,0.113365563895297,1729.61430435701,81.783606358735,0.327927151585598
"GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEO",268135.464718313,14.9270090436214,0.0581328731856619,NA,NA,NA,NA,NA,NA,41934.4175406822,0.640577977899253,0.0723221473392787
"GHA",10412.6129808737,5.48362827902262,0.0997527518603624,40672.2766796501,3.63423977704439,0.0627061018440428,64110.8722089801,4.9838916871569,0.035999991265779,35793.2652609782,418.097166703393,3.05316256802706
"GIN",5347.13964314983,3.3329156972202,0.0671808346950736,5340.54783317592,2.70405615255647,0.0615786161756225,2905.2204045989,2.56781804207917,0.0706784859352647,504.831487093785,126.247058293721,0.147851227115506
"GMB",3977.28532240666,5.75715706572957,0.113933269883014,1288.32645985402,4.48181446465862,0.0750741529523579,NA,NA,NA,76.9264744210989,215.789386106188,0.214284689770448
"GRC",159230.600197079,12.1873032600327,0.0470418695784227,114821.669472667,3.55099802909536,0.0701084737486132,NA,NA,NA,64808.1438608176,26.8002399592742,0.222805845751913
"GTM",126607.203307245,4.27400247469492,0.0294016883061739,37919.8606101413,2.92820563205653,0.0914136992888156,12707.5931596403,3.1765247892893,0.232856634818585,41325.0762271054,75.9449400346345,0.163727633970792
"GUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUY",5457.41542269285,7.33046165950157,0.0412370686801356,2390.19127605678,2.63283412180171,0.0823937757606444,2143.62405081664,3.52157545821945,0.114559606280352,263.227893024134,276.799387454806,7.95988859238725
"HKG",1024.97042163876,8.05501084207886,0.167503702303191,4050.33064354771,9.75812358639563,0.105598754459061,NA,NA,NA,56.5784753384992,229.707209723899,0.11818436080631
