"국가별","항목","단위","2015 년","2016 년","2017 년","2018 년",
"한국","국내총생산에 대한 저축률(당해년가격)[%]","%","36.4","36.8","37.1","35.8",
"아프가니스탄","국내총생산에 대한 저축률(당해년가격)[%]","%","2.9481803643","4.9540331365","7.155705365","",
"아르메니아","국내총생산에 대한 저축률(당해년가격)[%]","%","8.8082852655","9.2495313327","7.6514477967","7.3257426102",
"아제르바이잔","국내총생산에 대한 저축률(당해년가격)[%]","%","30.9017453076","28.4594837915","31.0721973107","36.6482783857",
"바레인","국내총생산에 대한 저축률(당해년가격)[%]","%","37.3018938216","38.0593020811","41.3780550324","40.8986533094",
"방글라데시","국내총생산에 대한 저축률(당해년가격)[%]","%","22.1584701382","24.9777492624","25.3292514401","22.8347979028",
"부탄","국내총생산에 대한 저축률(당해년가격)[%]","%","23.9682731409","32.5888661201","30.7973405726","",
"캄보디아","국내총생산에 대한 저축률(당해년가격)[%]","%","17.7968726348","18.6702663324","21.4850250496","24.4466958323",
"중국","국내총생산에 대한 저축률(당해년가격)[%]","%","47.190923667","45.962534866","46.7377752392","",
"키프로스","국내총생산에 대한 저축률(당해년가격)[%]","%","14.3995667761","16.0196212047","17.0443466183","17.3316578915",
"동티모르","국내총생산에 대한 저축률(당해년가격)[%]","%","39.5782020372","23.4034766216","23.6659813474","",
"조지아","국내총생산에 대한 저축률(당해년가격)[%]","%","13.972030445","17.0062203741","20.4238536619","21.6969462452",
"홍콩","국내총생산에 대한 저축률(당해년가격)[%]","%","23.9307336925","23.7974365388","23.1315529729","21.7729342636",
"인도","국내총생산에 대한 저축률(당해년가격)[%]","%","30.564428213","30.3553441245","29.9869518679","29.3354362747",
"인도네시아","국내총생산에 대한 저축률(당해년가격)[%]","%","32.8005683327","32.6453890958","33.5940123386","34.0646064653",
"이란","국내총생산에 대한 저축률(당해년가격)[%]","%","37.0065158604","37.2924751919","38.9462495748","",
"이스라엘","국내총생산에 대한 저축률(당해년가격)[%]","%","23.0499657657","22.7497830244","22.513269892","",
"일본","국내총생산에 대한 저축률(당해년가격)[%]","%","23.6035811201","24.3975406839","24.8378573673","",
"요르단","국내총생산에 대한 저축률(당해년가격)[%]","%","-1.8647845468","-1.3625583902","-1.2998467287","-.1003108304",
"카자흐스탄","국내총생산에 대한 저축률(당해년가격)[%]","%","34.6494597112","33.8248297093","37.235296644","",
"쿠웨이트","국내총생산에 대한 저축률(당해년가격)[%]","%","34.2589772375","27.8250715457","31.3982349697","",
"키르기즈스탄","국내총생산에 대한 저축률(당해년가격)[%]","%","-8.3019465752","-.2335769733",".7903283788",".758104321",
"라오스","국내총생산에 대한 저축률(당해년가격)[%]","%","13.662892979","20.3345992937","21.896080393","",
"레바논","국내총생산에 대한 저축률(당해년가격)[%]","%","1.6582928248","-.5568000149","-4.9709338178",".8904041195",
"마카오","국내총생산에 대한 저축률(당해년가격)[%]","%","64.3008395613","63.1459117553","65.9106927228","66.2792176528",
"말레이시아","국내총생산에 대한 저축률(당해년가격)[%]","%","32.7836631958","32.5868791734","32.5002586118","30.7360533541",
"몽골","국내총생산에 대한 저축률(당해년가격)[%]","%","27.4168228139","30.5252543492","37.3500473771","40.944812881",
"미얀마","국내총생산에 대한 저축률(당해년가격)[%]","%","31.7702194415","30.0205804782","28.742570154","",
