,Country,Max.Cases,a_Log,b_Log,c_Log,a_Ber,b_Ber,c_Ber,a_Gom,b_Gom,c_Gom,PUB_SOCIAL_WELFARE_2016,NATIONAL_COMP_2019,TEMPERATURE_AVG,PRECIPITATION_AVG,PHARMA_SALES
1,네덜란드,32838,36095,10.287,0.139,50407,0.06,89.928,50001,95.953,0.061,17.5,6,9.4,802.2,5157.1
2,노르웨이,7078,7113,9.807,0.152,8027,0.082,155.661,8019,159.686,0.082,25.7,11,5.7,762.4,3221.8
3,덴마크,7580,8909,9.045,0.123,NA,NA,NA,14233,38.424,0.047,28.7,8,8.7,631,NA
4,도미니카공화국,4680,6325,11.242,0.138,NA,NA,NA,13346,63.724,0.046,NA,NA,NA,NA,NA
5,독일,145184,146633,11.784,0.17,168889,0.09,422.957,168809,427.985,0.09,25.1,17,9.4,584.1,41907.5
6,러시아,42853,229533,15.615,0.161,NA,NA,NA,NA,NA,NA,NA,45,4.9,691.6,NA
7,룩셈부르크,3550,3441,13.918,0.21,NA,NA,NA,3668,3092.914,0.126,22.2,12,8.6,847.7,218.7
8,말레이시아,5389,5677,9.576,0.138,NA,NA,NA,6905,106.306,0.069,NA,22,26.6,2343.8,NA
9,멕시코,8261,14741,6.864,0.138,1166936,0.009,4.911,87283,11.566,0.031,7.5,50,16,871.2,5306.1
10,미국,754224,832213,13.09,0.171,1159958,0.075,310.916,1157393,318.286,0.075,18.9,3,14.3,981.5,NA
11,벨기에,38496,42507,11.446,0.152,58890,0.067,156.005,58638,162.443,0.067,29.2,27,10,857.5,7373.4
12,브라질,38654,63389,11.989,0.141,269932,0.034,37.175,239150,46.484,0.037,NA,59,20.7,1523.1,NA
13,사우디아라비아,9362,NA,NA,NA,NA,NA,NA,29835,36.477,0.038,NA,26,25.6,118.6,NA
14,세르비아,6318,9618,12.639,0.151,NA,NA,NA,28526,66.308,0.043,NA,NA,NA,NA,NA
15,스웨덴,14385,19487,3.807,0.114,NA,NA,NA,44254,5.22,0.037,26.4,9,6.5,535.1,5089.2
16,스위스,27740,27421,11.478,0.173,30151,0.099,532.412,30142,537.383,0.099,15.9,4,8.7,1121.5,6621.4
17,스페인,198674,195673,4.882,0.171,233189,0.082,8.361,226162,10.967,0.091,24.3,36,14.3,461,13595.9
18,싱가포르,6588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,26.7,2171.5,NA
19,아일랜드,15251,27571,6.082,0.127,NA,NA,NA,150945,9.639,0.029,14.9,7,9.7,739.6,2394
20,아프가니스탄,996,1489,6.692,0.139,6780,0.027,7.048,4057,12.473,0.041,NA,NA,12.5,294.2,NA
21,에콰도르,9468,11536,5.965,0.151,NA,NA,NA,20436,11.151,0.055,NA,NA,13.3,1003.2,NA
22,영국,121172,145127,12.55,0.159,243529,0.06,141.058,241748,148.34,0.061,21.2,23,9.7,752.6,25128.7
23,오스트레일리아,6610,6482,14.65,0.239,6775,0.15,6751.571,6775,6754.255,0.15,17.8,18,13,624.8,11310.9
24,이란,82211,91494,8.017,0.115,131585,0.047,27.264,128851,31.514,0.049,NA,NA,17,210.8,NA
25,이탈리아,181228,182114,8.771,0.132,214147,0.068,77.945,213322,82.38,0.069,28.3,44,15.5,746.9,25489
26,인도네시아,6575,11768,4.439,0.117,NA,NA,NA,54865,6.579,0.028,NA,32,27.2,1927.5,NA
27,일본,10797,190863,10.396,0.087,NA,NA,NA,NA,NA,NA,NA,30,15.6,1405.3,59922.9
28,중국,83805,81846,3.878,0.217,82545,0.139,7.227,82486,8.563,0.145,NA,14,11.8,577.9,NA
29,체코,6746,6812,5.327,0.175,7962,0.087,11.245,7811,13.887,0.093,19.1,33,7.9,523.7,3930.5
30,칠레,10088,11775,11.645,0.15,18561,0.059,115.928,18389,123.201,0.06,11,42,14.1,389.5,2249.7
31,캐나다,35620,41695,12.121,0.155,66015,0.062,141.675,65488,149.383,0.062,17.4,13,-5.9,318.3,22944.7
32,콜롬비아,3792,4372,4.674,0.157,NA,NA,NA,7065,7.274,0.061,NA,52,13.2,772,NA
33,태국,2765,2731,13.085,0.195,2945,0.116,1724.51,2944,1728.981,0.116,NA,25,28.4,1492.4,NA
34,터키,86306,104631,12.973,0.183,175312,0.069,165.147,174094,173.038,0.07,12.5,51,11.7,413.5,6975.5
35,파나마,4273,5194,4.583,0.152,12892,0.034,3.634,8483,7.059,0.059,NA,NA,NA,NA,NA
36,파키스탄,8348,11573,10.178,0.124,NA,NA,NA,NA,NA,NA,NA,NA,24.3,632.2,NA
37,포르투갈,20206,21101,12.572,0.172,25952,0.085,438.609,25928,445.13,0.085,23.7,39,16.6,768.6,2879.5
38,핀란드,3783,4453,9.384,0.124,7334,0.047,40.494,7142,46.286,0.049,29.8,15,NA,NA,2640.1
39,필리핀,6259,6492,5.473,0.175,8392,0.078,10.43,8057,13.55,0.087,NA,46,25.9,2777.5,NA
40,한국,10661,9923,8.323,0.197,10192,0.125,133.212,10187,137.836,0.126,10.5,28,11.7,1368.9,24989.1
