"","Country","Max Cases","a_Log","b_Log","c_Log","a_Ber","b_Ber","c_Ber","a_Gom","b_Gom","c_Gom","child_vaccination","GNI","HDI","life_expectancy","malnutrition","pop_density","urbanization","saving_rate","moving_rate"
"1","미국",754224,832213,13.09,0.171,1159958,0.075,310.916,1157393,318.286,0.075,93.5,61129.3874388869,0.924,78.812,2.5,32.85981,82.256,17.5376822737,2.929
"2","스페인",198674,195673,4.882,0.171,233188.691,0.0816656,8.3608099,226161.9,10.96705,0.090592,97,28144.7378491936,0.891,83.357,2.5,91.99783,80.321,23.5908515182,0.856
"3","이탈리아",181228,182114,8.771,0.132,214146.927,0.0681892,77.94503,213322,82.38,0.069,93,32218.0773941817,0.88,83.279,2.5,200.40424,70.438,20.7828152518,2.461
"4","독일",145184,146633,11.784,0.17,168889,0.09,422.957,168809,427.985,0.09,96,45620.2155857809,0.936,81.101,2.5,230.77945,77.312,27.4922699581,6.569
"5","영국",121172,145127,12.55,0.159,243529.226,0.0603178,141.05837,241748,148.34,0.061,93,38799.893344103,0.922,81.151,2.5,271.38115,83.398,15.6870391018,3.898
"6","터키",86306,104631,12.973,0.183,175312.017,0.0691468,165.14671,174094.3,173.0377,0.069834,96,10361.7100244699,0.791,77.307,2.5,102.96447,75.143,25.3411582542,3.487
"7","중국",83805,81846,3.878,0.217,82545,0.139,7.227,82486,8.563,0.145,99,8521.727777497,0.752,76.623,8.7,144.20547,59.152,45.962534866,-0.245
"8","이란",82211,91494,8.017,0.115,131585,0.047,27.264,128851,31.514,0.049,99,5638.2268719678,0.798,76.346,4.9,49.77429,74.898,37.2924751919,-0.677
"9","러시아",42853,229532.5,15.61548,0.160569,NA,NA,NA,NA,NA,NA,97.5,10558.4406981107,0.816,72.289,2.5,NA,74.433,28.628299824,1.254
"10","브라질",38654,63389,11.989,0.141,269932.326,0.0337968,37.174705,239150,46.484,0.037,93,9697.7831888601,0.759,75.561,2.5,24.38546,86.569,15.3744292711,0.102
"11","벨기에",38496,42507,11.446,0.152,58890,0.067,156.005,58638,162.443,0.067,97,43847.9436797765,0.916,81.387,2.5,372.85092,98.001,25.409492641,4.196
"12","캐나다",35620,41695,12.121,0.155,66014.9871,0.0615132,141.67498,65488.14,149.383,0.062229,90,44433.0966981739,0.926,82.221,2.5,3.67644,81.411,20.2466716473,6.562
"13","네덜란드",32838,36095,10.287,0.139,50407,0.06,89.928,50001,95.953,0.061,93.5,48996.0097095867,0.931,82.06,2.5,411.61678,91.49,30.6992293216,0.939
"14","스위스",27740,27421,11.478,0.173,30151,0.099,532.412,30142,537.383,0.099,96,79173.0667252082,0.944,83.556,2.5,203.90763,73.797,34.4747939214,6.135
"15","포르투갈",20206,21101,12.572,0.172,25952,0.085,438.609,25928,445.13,0.085,98,20850.3043795308,0.847,81.754,2.5,111.68542,65.211,16.8353818492,-0.584
"16","아일랜드",15251,27571,6.082,0.127,NA,NA,NA,150945,9.639,0.029,93.5,55528.2837703782,0.938,82.046,2.5,68.51963,63.17,54.3664239011,4.923
"17","스웨덴",14385,19487,3.807,0.114,NA,NA,NA,44254,5.22,0.037,97,54902.2886971409,0.933,82.567,2.5,22.93273,87.431,28.9444731122,4.027
"18","일본",10797,190863,10.396,0.087,NA,NA,NA,NA,NA,NA,97.5,39510.6491496964,0.909,84.426,2.5,335.47482,91.616,24.3975406839,0.562
"19","한국",10661,9923,8.323,0.197,10192,0.125,133.212,10187,137.836,0.126,98,31734.1,0.903,82.765,2.5,511.75777,81.459,36.8,0.23
"20","칠레",10088,11775,11.645,0.15,18560.9586,0.0594641,115.92814,18389,123.201,0.06,93,14421.9924155524,0.843,79.956,3.3,24.30084,87.564,22.8302875585,6.024
"21","에콰도르",9468,11536,5.965,0.151,NA,NA,NA,20436,11.151,0.055,83,6073.2484916688,0.752,76.702,7.8,NA,63.821,25.4672771323,2.15
"22","사우디아라비아",9362,NA,NA,NA,NA,NA,NA,29835.41,36.47735,0.037758,97,21125.6531577521,0.853,74.901,5.5,14.77892,83.844,31.3589804611,4.058
"23","파키스탄",8348,11573,10.178,0.124,NA,NA,NA,NA,NA,NA,75.5,1546.8355542228,0.562,67.017,20.5,240.81297,36.666,8.6713469316,-1.11
"24","멕시코",8261,14741,6.864,0.138,1166936,0.009,4.911,87283,11.566,0.031,96.5,9062.3989127313,0.774,74.977,3.8,62.87917,80.156,22.4120151382,-0.478
"25","덴마크",7580,8909,9.045,0.123,NA,NA,NA,14233,38.424,0.047,97.5,58821.2113549036,0.929,80.68,2.5,134.21621,87.874,28.1802919319,2.648
"26","노르웨이",7078,7113,9.807,0.152,8027,0.082,155.661,8019,159.686,0.082,96,78557.4466658201,0.953,82.179,2.5,16.29841,82.248,30.3670123002,5.273
"27","체코",6746,6812.002,5.326685,0.174685,7962,0.087,11.245,7811,13.887,0.093,96.5,19041.8342536244,0.888,79.149,2.5,134.32716,73.792,33.6963584236,2.066
"28","오스트레일리아",6610,6482,14.65,0.239,6775,0.15,6751.571,6775,6754.255,0.15,95,52659.3026399284,0.939,83.199,2.5,3.19798,86.012,23.14657016,6.403
"29","싱가포르",6588,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,55162.7254532528,0.932,83.389,NA,7794.79583,100,53.2397642666,4.724
"30","인도네시아",6575,11768,4.439,0.117,NA,NA,NA,54865,6.579,0.028,77,3712.2200597658,0.694,71.409,7.7,137.04885,55.325,32.6453890958,-0.372
"31","세르비아",6318,9618.1,12.63937,0.15091,NA,NA,NA,28526,66.308,0.043,90.5,4669.1273648719,0.787,NA,5.6,79.4062,NA,NA,NA
"32","필리핀",6259,6492,5.473,0.175,8392,0.078,10.43,8057,13.55,0.087,88.5,3585.3636937108,0.699,71.035,13.7,349.738,46.907,15.1095336265,-0.634
"33","말레이시아",5389,5677,9.576,0.138,NA,NA,NA,6905,106.306,0.069,96,9845.9229762511,0.802,75.927,2.9,97.019,76.036,32.5868791734,1.596
"34","도미니카공화국",4680,6325,11.242,0.138,NA,NA,NA,13346,63.724,0.046,85,6861.7086651722,0.736,73.811,NA,208.93699,81.074,17.9470293007,-2.84
