"","country2","country","max.case","L_a","L_b","L_c","B_a","B_b","B_c","G_a","G_b","G_c","Tuberculosis","GDP_growth","Export","Import","Travel_out","Travel_in","Eco_Participation"
"1","네덜란드","Netherlands",32838,36095,10.287,0.139,50407,0.06,89.928,50001,95.953,0.061,5,2.7,72.83,63.92,17900,NA,64.1
"2","노르웨이","Norway",7078,7113,9.807,0.152,8027,0.082,155.661,8019,159.686,0.082,5,1.4,24.1,19.57,6300,NA,64.5
"3","덴마크","Denmark",7580,8909,9.045,0.123,NA,NA,NA,14233,38.424,0.047,5,1.4,30.52,27.33,11700,8102,63.6
"4","도미니카공화국","Dominican Republic",4680,6325,11.242,0.138,NA,NA,NA,13346,63.724,0.046,NA,7,6.04,24.05,NA,NA,60.3
"5","독일","Germany",145184,146633,11.784,0.17,168889,0.09,422.957,168809,427.985,0.09,8,1.4,38.18,30.19,37500,92402,61
"6","러시아","Russia",42853,229533,15.615,0.161,NA,NA,NA,NA,NA,NA,60,2.3,21.96,NA,24400,39629,69.5
"7","룩셈부르크","Luxembourg",3550,3441,13.918,0.21,NA,NA,NA,3668,3092.914,0.126,6,2.6,26.82,36.93,NA,NA,58.9
"8","말레이시아","Malaysia",5389,5677,9.576,0.138,NA,NA,NA,6905,106.306,0.069,93,4.7,63.91,56.76,25900,NA,67.7
"9","멕시코","Mexico",8261,14741,6.864,0.138,1166936,0.009,4.911,87283,11.566,0.031,22,2,34.69,35.91,39300,19067,59.7
"10","미국","US",754224,832213,13.09,0.171,1159958,0.075,310.916,1157393,318.286,0.075,3,2.9,7.76,12.03,76900,87703,62.8
"11","벨기에","Belgium",38496,42507,11.446,0.152,58890,0.067,156.005,58638,162.443,0.067,9,1.4,84.79,80.77,8400,NA,53.1
"12","브라질","Brazil",38654,63389,11.989,0.141,269932,0.034,37.175,239150,46.484,0.037,44,1.1,10.31,7.98,6600,9458,NA
"13","사우디아라비아","Saudi Arabia",9362,NA,NA,NA,NA,NA,NA,29835,36.477,0.038,10,2.2,28.47,21.73,16100,21071,55
"14","세르비아","Serbia",6318,9618,12.639,0.151,NA,NA,NA,28526,66.308,0.043,19,4.3,NA,NA,NA,NA,53.3
"15","스웨덴","Sweden",14385,19487,3.807,0.114,NA,NA,NA,44254,5.22,0.037,6,2.4,27.19,27.53,6900,NA,72.1
"16","스위스","Switzerland",27740,27421,11.478,0.173,30151,0.099,532.412,30142,537.383,0.099,7,2.5,31.9,26.29,11100,NA,68.6
"17","스페인","Spain",198674,195673,4.882,0.171,233189,0.082,8.361,226162,10.967,0.091,11,2.6,23.21,25.1,81900,17031,58.5
"18","싱가포르","Singapore",6588,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,3.1,106.28,91.77,13900,9889,68
"19","아일랜드","Ireland",15251,27571,6.082,0.127,NA,NA,NA,150945,9.639,0.029,7,6.7,43.3,26.82,10300,NA,62.2
"20","아프가니스탄","Afghanistan",996,1489,6.692,0.139,6780,0.027,7.048,4057,12.473,0.041,NA,1,NA,NA,NA,NA,NA
"21","에콰도르","Ecuador",9468,11536,5.965,0.151,NA,NA,NA,20436,11.151,0.055,43,1.4,16.81,16.33,NA,NA,67.7
"22","영국","United Kingdom",121172,145127,12.55,0.159,243529,0.06,141.058,241748,148.34,0.061,9,1.4,15.2,21.94,37700,74189,62.9
"23","오스트레일리아","Australia",6610,6482,14.65,0.239,6775,0.15,6751.571,6775,6754.255,0.15,7,2.8,15.91,16.21,8800,10932,64.9
"24","이란","Iran",82211,91494,8.017,0.115,131585,0.047,27.264,128851,31.514,0.049,14,NA,NA,NA,NA,NA,43.2
"25","이탈리아","Italy",181228,182114,8.771,0.132,214147,0.068,77.945,213322,82.38,0.069,7,0.9,24.76,21.87,58300,31805,49.5
"26","인도네시아","Indonesia",6575,11768,4.439,0.117,NA,NA,NA,54865,6.579,0.028,319,5.2,15.48,14.54,12900,8856,66.3
"27","일본","Japan",10797,190863,10.396,0.087,NA,NA,NA,NA,NA,NA,15,0.8,13.09,12.33,28700,17889,60
"28","중국","China",83805,81846,3.878,0.217,82545,0.139,7.227,82486,8.563,0.145,63,6.6,19.18,14.27,60700,143035,NA
"29","체코","Czechia",6746,6812,5.327,0.175,7962,0.087,11.245,7811,13.887,0.093,5,2.9,83.41,73.32,NA,NA,59.9
"30","칠레","Chile",10088,11775,11.645,0.15,18561,0.059,115.928,18389,123.201,0.06,17,4,24.26,23.5,6400,NA,59.6
"31","캐나다","Canada",35620,41695,12.121,0.155,66015,0.062,141.675,65488,149.383,0.062,6,1.9,25.77,27.04,20800,33060,65.7
"32","콜롬비아","Colombia",3792,4372,4.674,0.157,NA,NA,NA,7065,7.274,0.061,33,2.7,10.96,15.87,NA,NA,69.1
"33","태국","Thailand",2765,2731,13.085,0.195,2945,0.116,1724.51,2944,1728.981,0.116,156,4.1,51.89,47.34,35400,NA,68.3
"34","터키","Turkey",86306,104631,12.973,0.183,175312,0.069,165.147,174094,173.038,0.07,17,2.6,16.52,22.99,37600,8887,52
"35","파나마","Panama",4273,5194,4.583,0.152,12892,0.034,3.634,8483,7.059,0.059,54,3.7,1.1,20.18,NA,NA,62.9
"36","파키스탄","Pakistan",8348,11573,10.178,0.124,NA,NA,NA,NA,NA,NA,267,5.4,7.3,16.79,NA,NA,NA
"37","포르투갈","Portugal",20206,21101,12.572,0.172,25952,0.085,438.609,25928,445.13,0.085,20,2.1,26.84,32.85,21200,NA,58.5
"38","핀란드","Finland",3783,4453,9.384,0.124,7334,0.047,40.494,7142,46.286,0.049,5,2.3,24.02,25.46,NA,9330,58.6
"39","필리핀","Philippines",6259,6492,5.473,0.175,8392,0.078,10.43,8057,13.55,0.087,554,6.2,18.83,29.33,6600,NA,61.5
"40","한국","Korea, South",10661,9923,8.323,0.197,10192,0.125,133.212,10187,137.836,0.126,70,2.7,33.03,27.08,13300,26496,62.9
