"","X","Country","Max.Cases","a_Log","b_Log","c_Log","a_Ber","b_Ber","c_Ber","a_Gom","b_Gom","c_Gom","child_vaccination","GNI","HDI","life_expectancy","malnutrition","pop_density","urbanization","saving_rate","moving_rate","GDP","POP","AI","INT","Birth","PUB_SOCIAL_WELFARE_2016","NATIONAL_COMP_2019","TEMPERATURE_AVG","PRECIPITATION_AVG","PHARMA_SALES","Tuberculosis","GDP_growth","Export","Import","Travel_out","Travel_in","Eco_Participation"
"1",1,"미국",754224,832213,13.09,0.171,1159958,0.075,310.916,1157393,318.286,0.075,0.086302991368403,1.3445716103778,0.822686192876236,0.0576936792110527,-0.504934582893887,-0.254433645155291,0.432053260471417,-0.885580841913717,0.0966495782858971,1.16131681510053,-0.284572146367862,0.0656914565563155,0.649175449556234,-0.155180911634995,-0.219943812529364,-1.37518174574166,0.0202390068405029,0.10476556915836,NA,-0.473112929594253,-0.0348219443031548,-0.953620198627732,-0.934280848532227,2.42622328667432,1.40705797907486,0.200380672942781
"2",2,"스페인",198674,195673,4.882,0.171,233188.691,0.0816656,8.3608099,226161.9,10.96705,0.090592,0.569599743031459,-0.0381674560888529,0.511348528140963,1.012102742072,-0.504934582893887,-0.208274294822251,0.310784596638357,-0.349129738544495,-0.514092054954679,-0.0888670857533472,-0.110397327916125,0.965620191250013,0.517065126300019,-0.931085469809971,0.601733072014299,0.624248055476854,0.0202390068405029,-0.752182761070968,0.0192520418457875,-0.398745643866925,-0.211959660975724,-0.304261072307847,-0.269070169924117,2.66287226862493,-0.486980300074147,-0.498243835425291
"3",3,"이탈리아",181228,182114,8.771,0.132,214146.927,0.0681892,77.94503,213322,82.38,0.069,0.0172605982736806,0.132589723080893,0.407569306562539,0.995723444623557,-0.504934582893887,-0.123659195136173,-0.308594320499691,-0.597986840099979,-0.0412313114181982,0.0793454338647711,-0.427701916160377,1.72551852116772,-0.534924484814285,-0.931085469809971,1.21038261612072,1.10895831031771,0.179207206024088,-0.28147857737728,0.798781829530823,-0.435929286730589,-1.21574005545362,-0.239115011091289,-0.433464239694905,1.54588907381805,-0.0910311046905798,-1.96048117852126
"4",4,"독일",145184,146633,11.784,0.17,168889,0.09,422.957,168809,427.985,0.09,0.431514956842015,0.694416520764975,0.935899889143608,0.538363062024848,-0.504934582893887,-0.0999502518907,0.122207124042143,-0.00337363256892803,1.16905649820664,0.543418557600953,-0.521105850438121,1.27742122588455,0.507279176429188,-0.465542734904985,0.723462980835583,-0.526938799770168,-0.628881139825804,-0.549511599781381,1.87492764677837,-0.426633376014673,-0.920510527666002,0.324923789893361,-0.0100095460438353,0.561429308903516,1.53299308595908,-0.092066795676412
"5",5,"영국",121172,145127,12.55,0.159,243529.226,0.0603178,141.05837,241748,148.34,0.061,0.0172605982736806,0.408503948499655,0.803817243498341,0.548862611671282,-0.504934582893887,-0.0682591656078482,0.503623707033356,-1.04959072358199,0.382133728121941,0.467365237374467,0.2505853590911,0.345752266108296,1.00636261984156,-0.155180911634995,0.130029675331826,-0.163406108639529,-0.589139090029908,-0.272094128804163,0.775166070603132,-0.417337465298757,-0.920510527666002,-0.640919104788253,-0.42990151991659,0.57089526818154,1.04487729500734,0.216627754532736
"6",6,"터키",86306,104631,12.973,0.183,175312.017,0.0691468,165.14671,174094.3,173.0377,0.069834,0.431514956842015,-0.783644142947226,-0.432098940753802,-0.25834276514664,-0.504934582893887,-0.199714438105094,-0.0137265875102627,-0.194011990826648,0.261046023702319,-0.720353429893496,-0.311988552976005,-0.923856737194016,-0.456636885847639,0.310361823269991,-1.19378308309963,1.53307978330345,-0.324192091390599,-0.830386499180273,-0.414680154670681,-0.342970179571429,-0.211959660975724,-0.585439878461894,-0.376460723241876,0.566162288542528,-0.705242804961366,-1.55430413877238
"7",7,"중국",83805,81846,3.878,0.217,82545,0.139,7.227,82486,8.563,0.145,0.845769315410349,-0.860777456962771,-0.800043453622761,-0.401976604309871,1.102788653938,-0.167524355192529,-1.01590085280972,1.63351996632849,-0.838465686502134,-0.829937352153625,1.75028967938657,-0.361868046026375,-0.965506279130837,-0.31036182326999,NA,-0.708705145335487,-0.310944741458633,-0.559719245597753,NA,0.0846417133607093,2.1498765613252,-0.473640831470898,-0.82027381562617,1.65948058515435,2.88997803315389,NA
"8",8,"이란",82211,91494,8.017,0.115,131585,0.047,27.264,128851,31.514,0.049,0.845769315410349,-0.981655786727204,-0.366057617931168,-0.460144109351121,0.117409895879749,-0.241231285522331,-0.0290810178147072,0.865151713173507,-0.965740353921299,-0.94235878662399,0.227872747734353,-1.1292346641988,-0.490887710395547,0.465542734904986,NA,NA,0.37791745500357,-1.16411066159619,NA,-0.370857911719177,NA,NA,NA,NA,NA,-2.98404731868843
"9",9,"러시아",42853,229532.5,15.61548,0.160569,NA,NA,NA,NA,NA,NA,0.638642136126182,-0.775397058579217,-0.196237073530112,-1.31207756766286,-0.504934582893887,NA,-0.0582230998211006,0.0973049459420191,-0.396834375249059,-0.80332068832239,0.685216040320201,-0.0463328672644768,0.0962692818542974,-0.155180911634995,NA,1.16954709217281,-1.22501188676425,-0.372524192481375,NA,0.0567539812129611,-0.389097377648294,-0.356798218450233,NA,-0.058591023807082,0.118655270338595,1.28893513946978
"10",10,"브라질",38654,63389,11.989,0.141,269932.326,0.0337968,37.174705,239150,46.484,0.037,0.0172605982736806,-0.811476409904524,-0.734002130800127,-0.62498703880015,-0.504934582893887,-0.261048179941792,0.702353904973734,-1.07729520066322,-0.736233488366833,-0.804599567065032,-0.375422591794848,-0.759554395590187,-0.319633587656009,-0.31036182326999,NA,2.0177900381443,0.868069402486291,0.996452823053084,NA,-0.0919805902416956,-1.09764824433857,-0.846444420497265,-1.14040963570613,-0.901061399551253,-0.689939773245919,NA
"11",11,"벨기에",38496,42507,11.446,0.152,58890,0.067,156.005,58638,162.443,0.067,0.569599743031459,0.620121670544728,0.747210395364655,0.598420486002457,-0.504934582893887,0.0109416372198935,1.41881042432233,-0.187955980212005,0.469929679258309,0.503693386657639,-0.720143586647243,0.485782670884286,0.668747349297895,-0.31036182326999,1.34732876354466,0.0789490187808963,-0.549397040234011,-0.0993873471690882,-0.388599914655893,-0.417337465298757,-0.920510527666002,2.28392889525063,2.5643099737724,-0.815867766049034,NA,-1.37558624128287
"12",12,"캐나다",35620,41695,12.121,0.155,66014.9871,0.0615132,141.67498,65488.14,149.383,0.062229,-0.396993760294654,0.644651685217122,0.841555142254131,0.773552974104993,-0.504934582893887,-0.277212314439937,0.379096143707109,-0.645501590899274,1.16699417720679,0.536904269005621,-0.812606761874708,0.519389968030524,0.830215522166602,-0.620723646539981,-0.448187391569271,-0.769293927190593,-2.65572567941652,-0.987123254296184,0.632016424480244,-0.445225197446505,-0.625280999878387,-0.196664997008242,-0.170331936067978,-0.228978290811521,-0.0573965954035636,0.671546039051481
"13",13,"네덜란드",32838,36095,10.287,0.139,50407,0.06,89.928,50001,95.953,0.061,0.086302991368403,0.835932118881058,0.88872751569887,0.739744424243472,-0.504934582893887,0.0411997843932619,1.01075860508871,0.280837302153076,-0.489638820242201,0.685893642523403,-0.845398934484448,0.758375192181547,0.937860970745741,-0.31036182326999,-0.43297115296661,-1.19341540017634,-0.628881139825804,-0.190432962273184,-0.533866654904133,-0.454521108162421,-0.152913755418201,1.78125348096029,1.70671242713532,-0.366234700342875,NA,0.411592733612197
"14",14,"스위스",27740,27421,11.478,0.173,30151,0.099,532.412,30142,537.383,0.099,0.431514956842015,2.10097498474585,1.01137568665519,1.05389094966481,-0.504934582893887,-0.12092467331141,-0.0980819474685563,0.61543984069019,1.04119259621609,2.04590125540166,-0.812337973574628,0.760242264245227,0.766606848006203,-0.620723646539981,-0.676430970609177,-1.31459296388655,-0.721612589349562,0.335260797269994,-0.437889536397839,-0.435929286730589,-0.271005566533247,0.0609771676740163,-0.208503933692774,-0.688077315795704,NA,1.14271140516018
"15",15,"포르투갈",20206,21101,12.572,0.172,25952,0.085,438.609,25928,445.13,0.085,0.707684529220904,-0.34395509523953,0.0962316418272659,0.675487180407291,-0.504934582893887,-0.192907423154527,-0.6361763907092,-0.947820938366004,-0.938340946351895,-0.354434249655081,-0.602414311212273,1.63216491798373,-0.0113761667248408,-0.931085469809971,0.510435640398336,0.806014401042173,0.324928055275708,-0.245751817019976,-0.683151285860859,-0.315082447423681,-0.50718918876334,-0.15169319991036,0.125373805532108,-0.210046372255472,NA,-0.498243835425291
"16",16,"아일랜드",15251,27571,6.082,0.127,NA,NA,NA,150945,9.639,0.029,0.086302991368403,1.10976951442961,0.954768838521502,0.736804550342471,-0.504934582893887,-0.226599873848894,-0.764088195816835,2.37829933121544,0.684116445956765,1.38731866790178,-0.834781796631294,-0.317058316498058,0.492600251622942,-0.155180911634995,-0.828593356635781,-1.13282661832123,-0.589139090029908,-0.293497257128815,-0.714973242450905,-0.435929286730589,2.20892246688273,0.540115940492572,-0.181529055371252,-0.725941152907802,NA,0.10289818340305
"17",17,"스웨덴",14385,19487,3.807,0.114,NA,NA,NA,44254,5.22,0.037,0.569599743031459,1.08352737288958,0.907596465076765,0.846209857658321,-0.504934582893887,-0.262182087925342,0.756376431187738,0.125325227956251,0.420139357976275,0.910097072092812,-0.780352165865127,0.530592400412603,1.05039939426029,0,0.921274082670168,-1.01164905461102,-1.0130542878528,-0.630184929620453,-0.538317140697056,-0.445225197446505,-0.330051472090771,-0.136982798990492,-0.145392897619778,-0.886862460634217,NA,1.71135926080861
"18",18,"일본",10797,190863,10.396,0.087,NA,NA,NA,NA,NA,NA,0.638642136126182,0.438299317901398,0.681169072542021,1.23658311351278,-0.504934582893887,-0.0182317523183892,1.01865516924528,-0.277638379962548,-0.600709536948277,0.397586415979068,4.02558263956241,2.63478261617982,0.517065126300019,-0.775904558174976,NA,0.260715364346216,0.192454555956053,0.802507552542008,3.05574181104681,-0.361562001003261,-1.27478596101114,-0.7296018074766,-0.919012049482309,0.144927100670443,-0.463985551892267,-0.254537611575964
"19",19,"한국",10661,9923,8.323,0.197,10192,0.125,133.212,10187,137.836,0.126,0.707684529220904,0.112301059761854,0.624562224408335,0.887788074258206,-0.504934582893887,0.119363426667851,0.382104358623899,0.821506995934389,-0.698522475798191,0.0176395345322991,0.295069822754313,0.784514201073066,1.03082749451863,-1.24144729307996,-1.49810785515284,0.139537800636003,-0.324192091390599,0.742578793232983,0.766016029120186,0.149713088372122,-0.152913755418201,0.108470747786733,-0.168296096194656,-0.583951763737436,-0.233314459116691,0.216627754532736
"20",20,"칠레",10088,11775,11.645,0.15,18560.9586,0.0594641,115.92814,18389,123.201,0.06,0.0172605982736806,-0.613434328597987,0.0584937430714753,0.297923375121487,-0.297486423302675,-0.261114228893468,0.764711693353007,-0.41653333472424,1.00849007750422,-0.603375989902469,-0.0903725995601773,-0.43655092857357,0.404526702785465,-0.31036182326999,-1.42202666213954,0.987780746607492,-0.00625569302342816,-0.869899966856553,-0.724431344069739,-0.342970179571429,0.6146830168296,-0.260129869548244,-0.350503764857015,-0.910527358829277,NA,-0.319525937935784
"21",21,"에콰도르",9468,11536,5.965,0.151,NA,NA,NA,20436,11.151,0.055,-1.36358726362077,-0.963419382951487,-0.800043453622761,-0.385387315868505,0.869409474397892,NA,-0.723289281007884,-0.182834934877996,-0.132857287268569,-0.910626607822187,-0.747963175705506,-1.10682979943464,-0.818717031068376,0.775904558174976,NA,NA,-0.112234492479152,0.140492329515663,NA,-0.101276500957612,-0.920510527666002,-0.573251260556861,-0.715428062150064,NA,NA,0.996487670850585
"22",22,"사우디아라비아",9362,NA,NA,NA,NA,NA,NA,29835.41,36.47735,0.037758,0.569599743031459,-0.332412286166626,0.152838489960952,-0.763581094133095,0.272996015573157,-0.268546429719995,0.531575037301855,0.339306545691154,0.429272493832743,-0.358350815804421,-0.0280137139416544,-1.35888452803143,0.394740752914634,0.620723646539981,NA,0.0183602369257899,1.5171895491526,-1.31590823325257,NA,-0.408041554582841,-0.448143283205817,-0.0831847613406894,-0.440589679251533,-0.451428333845094,-0.378706660616342,-1.06689169107372
"23",23,"파키스탄",8348,11573,10.178,0.124,NA,NA,NA,NA,NA,NA,-2.3992231600416,-1.15316970855514,-2.59259364452281,-2.41915008238297,4.16264900790838,-0.0921187288746509,-2.4251241990372,-1.67134366878871,-1.09330963862616,-1.09814220346206,1.16312163786216,NA,-2.863980554072,2.63807549779492,NA,NA,1.34497400003705,-0.470320024980169,NA,1.98100749940758,1.44132569463492,-0.972953868408129,-0.692015903606856,NA,NA,NA
"24",24,"멕시코",8261,14741,6.864,0.138,1166936,0.009,4.911,87283,11.566,0.031,0.500557349936737,-0.838112153250315,-0.592485010465912,-0.747621778670512,-0.167831323558168,-0.231002455625888,0.300443857861896,-0.453601966430304,-0.907111514068489,-0.803560478086635,1.92755556328922,-1.07322250228841,-0.495780685330962,0.310361823269991,-1.95459501323265,1.47249100144834,0.245443955683915,-0.0768317427038782,-0.524100493149412,-0.296490625991849,-0.566235094320863,0.178240077863821,0.281115555841275,0.646622942405735,-0.432414673852343,-0.303278856345829
"25",25,"덴마크",7580,8909,9.045,0.123,NA,NA,NA,14233,38.424,0.047,0.638642136126182,1.247811290553,0.869858566320974,0.449956854001867,-0.504934582893887,-0.175321331687647,0.784139748023937,0.0576010621866566,0.0138621210063015,1.02395724514865,-0.818923286926584,0.687426453761712,1.12868699322694,-0.155180911634995,1.27124757053136,-1.07223783646613,-0.721612589349562,-0.472295698363983,NA,-0.454521108162421,-0.920510527666002,0.00297615833282275,-0.155572096986391,-0.659679437961631,-0.72628112351938,0.330357325662423
"26",26,"노르웨이",7078,7113,9.807,0.152,8027,0.082,155.661,8019,159.686,0.082,0.431514956842015,2.07516777088105,1.09628595885572,0.764733352401988,-0.504934582893887,-0.26736041315675,0.431551891318619,0.251395173494605,0.787232495949144,1.68237997280569,NA,0.272936455624781,1.09443616867903,-0.31036182326999,0.814760412451545,-0.890471490900806,-1.11903308730853,-0.255959462836349,-0.660715331708906,-0.454521108162421,-0.920510527666002,-0.266854624254469,-0.550525032410946,-0.91526033846829,NA,0.476581059972019
