"국가별","성별","항목","단위","2010 년","2015 년","2020 년",
"세계","합계","기대수명[세]","세","68.91904993","70.87630155","72.28091217",
"세계","남자","기대수명[세]","세","66.65646263","68.52914217","69.9231584",
"세계","여자","기대수명[세]","세","71.25849802","73.30864295","74.72013946",
"한국","합계","기대수명[세]","세","79.469","81.267","82.765",
"한국","남자","기대수명[세]","세","76.01","77.87","79.63",
"한국","여자","기대수명[세]","세","82.69","84.43","85.7",
"아프가니스탄","합계","기대수명[세]","세","59.632","62.321","64.279",
"아프가니스탄","남자","기대수명[세]","세","58.34","60.93","62.85",
"아프가니스탄","여자","기대수명[세]","세","61.02","63.79","65.81",
"아르메니아","합계","기대수명[세]","세","72.739","73.988","74.866",
"아르메니아","남자","기대수명[세]","세","69.36","70.64","71.12",
"아르메니아","여자","기대수명[세]","세","75.84","77.03","78.3",
"아제르바이잔","합계","기대수명[세]","세","70.095","71.568","72.81",
"아제르바이잔","남자","기대수명[세]","세","66.87","68.58","70.31",
"아제르바이잔","여자","기대수명[세]","세","73.35","74.55","75.26",
"바레인","합계","기대수명[세]","세","75.689","76.41","77.1",
"바레인","남자","기대수명[세]","세","74.91","75.61","76.25",
"바레인","여자","기대수명[세]","세","76.7","77.46","78.22",
"방글라데시","합계","기대수명[세]","세","68.834","70.792","72.15",
"방글라데시","남자","기대수명[세]","세","67.83","69.43","70.48",
"방글라데시","여자","기대수명[세]","세","69.99","72.38","74.11",
"브루나이","합계","기대수명[세]","세","74.433","74.997","75.656",
"브루나이","남자","기대수명[세]","세","73.43","73.84","74.54",
"브루나이","여자","기대수명[세]","세","75.51","76.22","76.88",
"중국","합계","기대수명[세]","세","73.682","75.14","76.623",
"중국","남자","기대수명[세]","세","71.89","73.07","74.47",
"중국","여자","기대수명[세]","세","75.67","77.45","78.97",
"키프로스","합계","기대수명[세]","세","78.964","79.925","80.747",
"키프로스","남자","기대수명[세]","세","76.85","77.69","78.65",
"키프로스","여자","기대수명[세]","세","81.1","82.17","82.84",
"홍콩","합계","기대수명[세]","세","82.428","83.404","84.633",
"홍콩","남자","기대수명[세]","세","79.46","80.48","81.75",
"홍콩","여자","기대수명[세]","세","85.49","86.4","87.53",
"인도","합계","기대수명[세]","세","65.528","67.774","69.272",
"인도","남자","기대수명[세]","세","64.68","66.68","68.11",
"인도","여자","기대수명[세]","세","66.43","68.95","70.53",
"인도네시아","합계","기대수명[세]","세","68.325","70.007","71.409",
"인도네시아","남자","기대수명[세]","세","66.42","67.91","69.29",
"인도네시아","여자","기대수명[세]","세","70.28","72.21","73.63",
"이란","합계","기대수명[세]","세","72.72","75.044","76.346",
"이란","남자","기대수명[세]","세","71.03","73.96","75.26",
"이란","여자","기대수명[세]","세","74.55","76.18","77.56",
"이라크","합계","기대수명[세]","세","67.999","69.398","70.368",
"이라크","남자","기대수명[세]","세","64.93","67.2","68.33",
"이라크","여자","기대수명[세]","세","71.33","71.64","72.42",
"이스라엘","합계","기대수명[세]","세","80.937","81.906","82.738",
"이스라엘","남자","기대수명[세]","세","78.96","80.02","81.04",
"이스라엘","여자","기대수명[세]","세","82.77","83.66","84.32",
"일본","합계","기대수명[세]","세","82.653","83.321","84.426",
"일본","남자","기대수명[세]","세","79.17","80.05","81.28",
"일본","여자","기대수명[세]","세","85.98","86.47","87.47",
"요르단","합계","기대수명[세]","세","73","73.809","74.327",
"요르단","남자","기대수명[세]","세","71.52","72.21","72.66",
"요르단","여자","기대수명[세]","세","74.63","75.52","76.09",
"카자흐스탄","합계","기대수명[세]","세","66.076","69.067","73.225",
"카자흐스탄","남자","기대수명[세]","세","60.55","64.29","68.82",
"카자흐스탄","여자","기대수명[세]","세","71.9","73.87","77.35",
"북한","합계","기대수명[세]","세","68.441","70.793","71.964",
"북한","남자","기대수명[세]","세","64.8","67.17","68.3",
"북한","여자","기대수명[세]","세","71.75","74.1","75.42",
"쿠웨이트","합계","기대수명[세]","세","73.848","74.86","75.329",
"쿠웨이트","남자","기대수명[세]","세","73.14","74.11","74.61",
"쿠웨이트","여자","기대수명[세]","세","74.92","75.92","76.38",
"키르기즈스탄","합계","기대수명[세]","세","67.474","70.272","71.182",
"키르기즈스탄","남자","기대수명[세]","세","63.5","66.35","67.21",
"키르기즈스탄","여자","기대수명[세]","세","71.72","74.29","75.36",
"레바논","합계","기대수명[세]","세","77.784","78.644","78.823",
"레바논","남자","기대수명[세]","세","76.04","76.86","77.02",
"레바논","여자","기대수명[세]","세","79.73","80.61","80.77",
"마카오","합계","기대수명[세]","세","82.069","83.285","84.041",
"마카오","남자","기대수명[세]","세","79.12","80.29","81.07",
"마카오","여자","기대수명[세]","세","84.88","86.19","86.97",
"말레이시아","합계","기대수명[세]","세","74.026","74.962","75.927",
"말레이시아","남자","기대수명[세]","세","72.01","72.99","74.01",
"말레이시아","여자","기대수명[세]","세","76.27","77.19","78.1",
"몰디브","합계","기대수명[세]","세","74.813","76.821","78.466",
"몰디브","남자","기대수명[세]","세","73.73","75.52","77.07",
"몰디브","여자","기대수명[세]","세","76.15","78.45","80.36",
"몽골","합계","기대수명[세]","세","66.139","68.468","69.549",
"몽골","남자","기대수명[세]","세","62.36","64.52","65.5",
"몽골","여자","기대수명[세]","세","70.27","72.7","73.82",
"미얀마","합계","기대수명[세]","세","62.441","64.679","66.759",
"미얀마","남자","기대수명[세]","세","59.08","61.29","63.67",
"미얀마","여자","기대수명[세]","세","65.81","68.02","69.75",
