"국가별","항목","단위","2015 년","2016 년","2017 년",
"한국","인구1000명당 병상수[수]","수","11.5","","",
"한국","유아접종률-홍역[%]","%","98","98","98",
"한국","유아접종률-DPT[%]","%","98","98","98",
"아프가니스탄","인구1000명당 병상수[수]","수",".5","","",
"아프가니스탄","유아접종률-홍역[%]","%","62","62","62",
"아프가니스탄","유아접종률-DPT[%]","%","65","65","65",
"아르메니아","인구1000명당 병상수[수]","수","4.2","","",
"아르메니아","유아접종률-홍역[%]","%","97","97","96",
"아르메니아","유아접종률-DPT[%]","%","94","94","94",
"아제르바이잔","유아접종률-홍역[%]","%","98","98","98",
"아제르바이잔","유아접종률-DPT[%]","%","96","97","95",
"바레인","유아접종률-홍역[%]","%","99","99","99",
"바레인","유아접종률-DPT[%]","%","98","99","97",
"방글라데시","인구1000명당 병상수[수]","수",".8","","",
"방글라데시","유아접종률-홍역[%]","%","94","94","94",
"방글라데시","유아접종률-DPT[%]","%","97","97","97",
"부탄","유아접종률-홍역[%]","%","97","97","97",
"부탄","유아접종률-DPT[%]","%","99","98","98",
"브루나이","인구1000명당 병상수[수]","수","2.7","","",
"브루나이","유아접종률-홍역[%]","%","96","98","97",
"브루나이","유아접종률-DPT[%]","%","99","99","99",
"캄보디아","인구1000명당 병상수[수]","수",".8","","",
"캄보디아","유아접종률-홍역[%]","%","84","84","84",
"캄보디아","유아접종률-DPT[%]","%","92","93","93",
"중국","유아접종률-홍역[%]","%","99","99","99",
"중국","유아접종률-DPT[%]","%","99","99","99",
"키프로스","유아접종률-홍역[%]","%","90","90","90",
"키프로스","유아접종률-DPT[%]","%","97","97","97",
"동티모르","유아접종률-홍역[%]","%","70","70","70",
"동티모르","유아접종률-DPT[%]","%","76","76","76",
"조지아","유아접종률-홍역[%]","%","96","93","95",
"조지아","유아접종률-DPT[%]","%","94","92","91",
"인도","유아접종률-홍역[%]","%","87","88","88",
"인도","유아접종률-DPT[%]","%","87","88","88",
"인도네시아","인구1000명당 병상수[수]","수","1.2","","",
"인도네시아","유아접종률-홍역[%]","%","75","76","75",
"인도네시아","유아접종률-DPT[%]","%","78","79","79",
"이란","유아접종률-홍역[%]","%","99","99","99",
"이란","유아접종률-DPT[%]","%","98","99","99",
"이라크","유아접종률-홍역[%]","%","57","66","71",
"이라크","유아접종률-DPT[%]","%","58","63","63",
"이스라엘","유아접종률-홍역[%]","%","98","97","98",
"이스라엘","유아접종률-DPT[%]","%","95","94","98",
"일본","유아접종률-홍역[%]","%","96","96","96",
"일본","유아접종률-DPT[%]","%","96","99","99",
"요르단","인구1000명당 병상수[수]","수","1.4","","",
"요르단","유아접종률-홍역[%]","%","94","96","93",
"요르단","유아접종률-DPT[%]","%","99","98","99",
"카자흐스탄","유아접종률-홍역[%]","%","99","99","99",
"카자흐스탄","유아접종률-DPT[%]","%","98","82","99",
"북한","유아접종률-홍역[%]","%","98","99","99",
"북한","유아접종률-DPT[%]","%","96","96","97",
"쿠웨이트","유아접종률-홍역[%]","%","93","99","99",
"쿠웨이트","유아접종률-DPT[%]","%","99","99","99",
"키르기즈스탄","유아접종률-홍역[%]","%","99","97","95",
"키르기즈스탄","유아접종률-DPT[%]","%","97","96","92",
"라오스","유아접종률-홍역[%]","%","88","76","82",
"라오스","유아접종률-DPT[%]","%","89","82","85",
"레바논","유아접종률-홍역[%]","%","79","79","79",
"레바논","유아접종률-DPT[%]","%","79","79","79",
"말레이시아","인구1000명당 병상수[수]","수","1.9","","",
"말레이시아","유아접종률-홍역[%]","%","93","93","93",
"말레이시아","유아접종률-DPT[%]","%","99","95","99",
"몰디브","유아접종률-홍역[%]","%","99","99","99",
"몰디브","유아접종률-DPT[%]","%","99","99","99",
"몽골","유아접종률-홍역[%]","%","98","98","99",
"몽골","유아접종률-DPT[%]","%","99","99","99",
"미얀마","유아접종률-홍역[%]","%","84","91","83",
"미얀마","유아접종률-DPT[%]","%","89","90","89",
"네팔","유아접종률-홍역[%]","%","85","83","90",
"네팔","유아접종률-DPT[%]","%","91","87","90",
"오만","유아접종률-홍역[%]","%","99","99","99",
"오만","유아접종률-DPT[%]","%","99","99","99",
"파키스탄","유아접종률-홍역[%]","%","75","75","76",
"파키스탄","유아접종률-DPT[%]","%","72","75","75",
"필리핀","유아접종률-홍역[%]","%","82","80","89",
"필리핀","유아접종률-DPT[%]","%","60","86","88",
"카타르","유아접종률-홍역[%]","%","99","99","99",
"카타르","유아접종률-DPT[%]","%","99","98","97",
"사우디아라비아","유아접종률-홍역[%]","%","98","98","96",
"사우디아라비아","유아접종률-DPT[%]","%","98","98","98",
"싱가포르","인구1000명당 병상수[수]","수","2.4","","",
"싱가포르","유아접종률-홍역[%]","%","95","95","95",
"싱가포르","유아접종률-DPT[%]","%","96","97","96",
"스리랑카","유아접종률-홍역[%]","%","99","99","99",
"스리랑카","유아접종률-DPT[%]","%","99","99","99",
"시리아","유아접종률-홍역[%]","%","53","62","67",
"시리아","유아접종률-DPT[%]","%","41","42","48",
"타지키스탄","유아접종률-홍역[%]","%","97","97","98",
"타지키스탄","유아접종률-DPT[%]","%","96","96","96",
"태국","유아접종률-홍역[%]","%","99","99","99",
"태국","유아접종률-DPT[%]","%","99","99","99",
"터키","유아접종률-홍역[%]","%","97","98","96",
"터키","유아접종률-DPT[%]","%","97","98","96",
"투르크메니스탄","유아접종률-홍역[%]","%","99","99","99",
"투르크메니스탄","유아접종률-DPT[%]","%","99","98","99",
"아랍에미리트","유아접종률-홍역[%]","%","99","99","99",
"아랍에미리트","유아접종률-DPT[%]","%","99","99","97",
"우즈베키스탄","유아접종률-홍역[%]","%","99","99","99",
"우즈베키스탄","유아접종률-DPT[%]","%","99","99","99",
"베트남","유아접종률-홍역[%]","%","97","99","97",
"베트남","유아접종률-DPT[%]","%","97","96","94",
"예멘","유아접종률-홍역[%]","%","67","70","65",
"예멘","유아접종률-DPT[%]","%","69","71","68",
"캐나다","유아접종률-홍역[%]","%","90","90","89",
"캐나다","유아접종률-DPT[%]","%","91","91","91",
"멕시코","인구1000명당 병상수[수]","수","1.5","","",
"멕시코","유아접종률-홍역[%]","%","97","96","96",
"멕시코","유아접종률-DPT[%]","%","87","97","97",
