"국가별","항목","단위","2015 년","2016 년","2017 년",
"한국","HDI 순위[순위]","순위","18","22","22",
"한국","인간개발지수","",".898",".9",".903",
"한국","기대수명(세)","","81.9","82.2","82.4",
"한국","평균교육기간(년)","","12.1","12.1","12.1",
"한국","기대교육기간(년)","","16.5","16.5","16.5",
"한국","1인당 GNI(구매력환산기준 2011)[달러]","달러","34276","35122","35945",
"아프가니스탄","HDI 순위[순위]","순위","169","168","168",
"아프가니스탄","인간개발지수","",".493",".494",".498",
"아프가니스탄","기대수명(세)","","63.3","63.7","64",
"아프가니스탄","평균교육기간(년)","","3.6","3.6","3.8",
"아프가니스탄","기대교육기간(년)","","10.4","10.4","10.4",
"아프가니스탄","1인당 GNI(구매력환산기준 2011)[달러]","달러","1825","1822","1824",
"아르메니아","HDI 순위[순위]","순위","84","84","83",
"아르메니아","인간개발지수","",".748",".749",".755",
"아르메니아","기대수명(세)","","74.4","74.6","74.8",
"아르메니아","평균교육기간(년)","","11.6","11.7","11.7",
"아르메니아","기대교육기간(년)","","13","13","13",
"아르메니아","1인당 GNI(구매력환산기준 2011)[달러]","달러","8517","8350","9144",
"아제르바이잔","HDI 순위[순위]","순위","78","80","80",
"아제르바이잔","인간개발지수","",".758",".757",".757",
"아제르바이잔","기대수명(세)","","71.9","72","72.1",
"아제르바이잔","평균교육기간(년)","","10.7","10.7","10.7",
"아제르바이잔","기대교육기간(년)","","12.7","12.7","12.7",
"아제르바이잔","1인당 GNI(구매력환산기준 2011)[달러]","달러","16334","15751","15600",
"바레인","HDI 순위[순위]","순위","47","41","43",
"바레인","인간개발지수","",".832",".846",".846",
"바레인","기대수명(세)","","76.8","76.9","77",
"바레인","평균교육기간(년)","","9.3","9.4","9.4",
"바레인","기대교육기간(년)","","14.8","16","16",
"바레인","1인당 GNI(구매력환산기준 2011)[달러]","달러","42178","41918","41580",
"방글라데시","HDI 순위[순위]","순위","139","138","136",
"방글라데시","인간개발지수","",".592",".597",".608",
"방글라데시","기대수명(세)","","72.2","72.5","72.8",
"방글라데시","평균교육기간(년)","","5.2","5.2","5.8",
"방글라데시","기대교육기간(년)","","11.3","11.4","11.4",
"방글라데시","1인당 GNI(구매력환산기준 2011)[달러]","달러","3334","3509","3677",
"부탄","HDI 순위[순위]","순위","132","135","134",
"부탄","인간개발지수","",".603",".609",".612",
"부탄","기대수명(세)","","69.8","70.2","70.6",
"부탄","평균교육기간(년)","","3.1","3.1","3.1",
"부탄","기대교육기간(년)","","12.2","12.3","12.3",
"부탄","1인당 GNI(구매력환산기준 2011)[달러]","달러","7066","7574","8065",
"브루나이","HDI 순위[순위]","순위","30","40","39",
"브루나이","인간개발지수","",".852",".852",".853",
"브루나이","기대수명(세)","","77","77.2","77.4",
"브루나이","평균교육기간(년)","","9","9.1","9.1",
"브루나이","기대교육기간(년)","","14.5","14.5","14.5",
"브루나이","1인당 GNI(구매력환산기준 2011)[달러]","달러","78611","76870","76427",
"캄보디아","HDI 순위[순위]","순위","143","146","146",
"캄보디아","인간개발지수","",".571",".576",".582",
"캄보디아","기대수명(세)","","68.6","69","69.3",
"캄보디아","평균교육기간(년)","","4.7","4.7","4.8",
"캄보디아","기대교육기간(년)","","11.7","11.7","11.7",
"캄보디아","1인당 GNI(구매력환산기준 2011)[달러]","달러","3086","3246","3413",
"중국","HDI 순위[순위]","순위","90","86","86",
"중국","인간개발지수","",".743",".748",".752",
"중국","기대수명(세)","","76.1","76.3","76.4",
"중국","평균교육기간(년)","","7.7","7.8","7.8",
"중국","기대교육기간(년)","","13.8","13.8","13.8",
"중국","1인당 GNI(구매력환산기준 2011)[달러]","달러","13519","14354","15270",
"키프로스","HDI 순위[순위]","순위","33","32","32",
"키프로스","인간개발지수","",".86",".867",".869",
"키프로스","기대수명(세)","","80.3","80.5","80.7",
"키프로스","평균교육기간(년)","","11.9","12.1","12.1",
