"국가별","항목","단위","2015 년","2016 년","2017 년",
"한국","조출생률[‰]","‰","8.6","7.9","7",
"한국","조사망률[‰]","‰","5.4","5.5","5.6",
"한국","자연증가율[‰]","‰","3.2","2.5","1.4",
"한국","조혼인율[‰]","‰","5.9","5.5","5.2",
"한국","조이혼율[‰]","‰","2.1","2.1","2.1",
"한국","연평균인구증가율[%]","%",".53",".4",".28",
"한국","인구밀도[㎢당]","㎢당","508.64718","510.44514","511.75777",
"아르메니아","조출생률[‰]","‰","13.89974","13.56519","12.65338",
"아르메니아","조사망률[‰]","‰","9.27848","9.43268","9.11479",
"아르메니아","자연증가율[‰]","‰","4.62127","4.13252","3.53858",
"아르메니아","조혼인율[‰]","‰","5.85871","5.44519","",
"아르메니아","조이혼율[‰]","‰","1.22147","1.2191","",
"아르메니아","연평균인구증가율[%]","%","-1.56762","-1.40684","-.31031",
"아르메니아","인구밀도[㎢당]","㎢당","101.22039","100.61191","100.17288",
"아제르바이잔","조출생률[‰]","‰","17.22508","16.34221","",
"아제르바이잔","조사망률[‰]","‰","5.66849","5.80541","",
"아제르바이잔","자연증가율[‰]","‰","11.55659","10.5368","",
"아제르바이잔","조혼인율[‰]","‰","7.12725","6.84283","",
"아제르바이잔","조이혼율[‰]","‰","1.32279","1.34395","",
"아제르바이잔","연평균인구증가율[%]","%","1.15596","1.24319","1.20345",
"아제르바이잔","인구밀도[㎢당]","㎢당","110.77411","112.65012","113.74249",
"바레인","조출생률[‰]","‰","15.31246","14.54915","",
"바레인","조사망률[‰]","‰","2.03383","2.00741","",
"바레인","자연증가율[‰]","‰","13.27863","12.54174","",
"바레인","연평균인구증가율[%]","%","","2.45747","2.86257",
"바레인","인구밀도[㎢당]","㎢당","","1829.04162","1928.46351",
"방글라데시","연평균인구증가율[%]","%","","1.31281","1.20942",
"방글라데시","인구밀도[㎢당]","㎢당","","1089.65237","1096.08999",
"브루나이","조출생률[‰]","‰","16.24394","15.42698","",
"브루나이","조사망률[‰]","‰","3.75121","3.91127","",
"브루나이","자연증가율[‰]","‰","12.49273","11.51571","",
"브루나이","조혼인율[‰]","‰","6.66828","6.06822","",
"브루나이","조이혼율[‰]","‰","1.32153","1.35648","",
"브루나이","인구밀도[㎢당]","㎢당","72.36774","","73.07892",
"중국","조출생률[‰]","‰","12.06954","","",
"중국","조사망률[‰]","‰","7.11046","","",
"중국","자연증가율[‰]","‰","4.95909","","",
"중국","연평균인구증가율[%]","%",".49498","",".48993",
"중국","인구밀도[㎢당]","㎢당","142.83542","","144.20547",
"키프로스","조출생률[‰]","‰","10.81751","11.10263","10.7374",
"키프로스","조사망률[‰]","‰","6.91164","6.42438","6.97716",
"키프로스","자연증가율[‰]","‰","3.90586","4.67825","3.76024",
"키프로스","조혼인율[‰]","‰","7.1865","7.48591","",
"키프로스","조이혼율[‰]","‰","2.13165","2.28746","",
"키프로스","연평균인구증가율[%]","%",".41904",".37498",".43017",
"키프로스","인구밀도[㎢당]","㎢당","91.55853","91.70025","92.40104",
"조지아","조출생률[‰]","‰","15.93958","15.20958","14.29532",
"조지아","조사망률[‰]","‰","13.21487","13.65069","12.82778",
"조지아","자연증가율[‰]","‰","2.7247","1.5589","1.46754",
"조지아","조혼인율[‰]","‰","7.84402","6.74885","6.353",
"조지아","조이혼율[‰]","‰","2.45137","2.56473","2.74195",
"조지아","인구밀도[㎢당]","㎢당","53.50789","53.36155","53.48643",
"홍콩","조출생률[‰]","‰","8.21225","8.29485","7.6502",
"홍콩","조사망률[‰]","‰","6.3237","6.39329","6.33535",
"홍콩","자연증가율[‰]","‰","1.88855","1.90156","1.31485",
"홍콩","조혼인율[‰]","‰","7.07816","6.81624","7.01016",
"홍콩","연평균인구증가율[%]","%",".78587",".72524",".72852",
"홍콩","인구밀도[㎢당]","㎢당","6607.30759","6633.45389","6683.27306",
"인도","조출생률[‰]","‰","20.8","20.4","",
"인도","조사망률[‰]","‰","6.5","6.4","",
"인도","연평균인구증가율[%]","%","","","1.2417",
"인도","인구밀도[㎢당]","㎢당","","","390.47682",
"인도네시아","연평균인구증가율[%]","%","1.37249","1.354","1.33543",
"인도네시아","인구밀도[㎢당]","㎢당","133.68441","135.38165","137.04885",
"이란","조출생률[‰]","‰","19.93344","19.17595","",
"이란","조사망률[‰]","‰","4.75831","4.6401","",
