"국가별","항목","단위","2016 년","2017 년","2018 년",
"한국","1인당 국민총소득(당해년가격)[달러]","달러","29394.3","31734.1","33433.6",
"아프가니스탄","1인당 국민총소득(당해년가격)[달러]","달러","549.9467802454","559.0426339684","524.1889327149",
"아르메니아","1인당 국민총소득(당해년가격)[달러]","달러","3668.1975213186","4071.8624064164","4267.0440465946",
"아제르바이잔","1인당 국민총소득(당해년가격)[달러]","달러","3635.4718862441","3972.0508963722","4470.5562089738",
"바레인","1인당 국민총소득(당해년가격)[달러]","달러","21134.987252475","22383.9513305114","22727.8498137071",
"방글라데시","1인당 국민총소득(당해년가격)[달러]","달러","1482.2931535563","1631.0478199287","1775.4810175291",
"부탄","1인당 국민총소득(당해년가격)[달러]","달러","2761.1878073234","3105.2837518893","3093.2178494488",
"브루나이","1인당 국민총소득(당해년가격)[달러]","달러","29146.7183647141","30356.1466036205","33588.6719619506",
"캄보디아","1인당 국민총소득(당해년가격)[달러]","달러","1191.6748243503","1299.249054268","1410.183825133",
"중국","1인당 국민총소득(당해년가격)[달러]","달러","7844.8423302123","8521.727777497","9495.9304591578",
"키프로스","1인당 국민총소득(당해년가격)[달러]","달러","17125.6948562287","18259.6163176118","20019.6952333978",
"동티모르","1인당 국민총소득(당해년가격)[달러]","달러","1856.8275770438","1822.0869009219","1862.0255620383",
"조지아","1인당 국민총소득(당해년가격)[달러]","달러","3403.0923622746","3558.0804652802","3865.3566474069",
"홍콩","1인당 국민총소득(당해년가격)[달러]","달러","45409.3338220658","48789.9915717502","51692.1274877971",
"인도","1인당 국민총소득(당해년가격)[달러]","달러","1709.4016550451","1960.0509244099","1995.0713231075",
"인도네시아","1인당 국민총소득(당해년가격)[달러]","달러","3448.7609611966","3712.2200597658","3772.7846881398",
"이란","1인당 국민총소득(당해년가격)[달러]","달러","5282.2958012411","5638.2268719678","",
"이라크","1인당 국민총소득(당해년가격)[달러]","달러","4613.9593044734","5085.1759820398","5802.6316031459",
"이스라엘","1인당 국민총소득(당해년가격)[달러]","달러","39029.0404681726","42412.9631753123","44119.9819589679",
"일본","1인당 국민총소득(당해년가격)[달러]","달러","39854.3681164315","39510.6491496964","40563.4889544237",
"요르단","1인당 국민총소득(당해년가격)[달러]","달러","4076.3279835929","4144.7428227478","4223.7602699097",
"카자흐스탄","1인당 국민총소득(당해년가격)[달러]","달러","6973.4402814166","8005.4301528256","8103.4098786495",
"쿠웨이트","1인당 국민총소득(당해년가격)[달러]","달러","31383.0355416052","34295.8799425109","38741.8415852407",
"키르기즈스탄","1인당 국민총소득(당해년가격)[달러]","달러","1063.0806482354","1184.4390273842","1250.7474219528",
"라오스","1인당 국민총소득(당해년가격)[달러]","달러","2209.5451853784","2295.9217403206","2447.7387611931",
"레바논","1인당 국민총소득(당해년가격)[달러]","달러","7509.5545043811","7823.8606024133","7971.3881674094",
"마카오","1인당 국민총소득(당해년가격)[달러]","달러","67878.6887254523","74638.6854654879","79336.7071332729",
"말레이시아","1인당 국민총소득(당해년가격)[달러]","달러","9399.3122148818","9845.9229762511","10851.0303440587",
"몰디브","1인당 국민총소득(당해년가격)[달러]","달러","8540.5730376825","8993.3962480367","9426.1379520512",
"몽골","1인당 국민총소득(당해년가격)[달러]","달러","3358.7262648835","3155.2948550525","3650.0339231711",
"미얀마","1인당 국민총소득(당해년가격)[달러]","달러","1162.3529166532","1212.6228975443","1290.5603891298",
"네팔","1인당 국민총소득(당해년가격)[달러]","달러","788.8095478019","910.9535274115","1033.7590883269",
"오만","1인당 국민총소득(당해년가격)[달러]","달러","14482.1364166788","15031.4408079516","16338.7210620428",
"파키스탄","1인당 국민총소득(당해년가격)[달러]","달러","1452.3362030199","1546.8355542228","1550.6130035092",
"필리핀","1인당 국민총소득(당해년가격)[달러]","달러","3540.4923619296","3585.3636937108","3722.9982223288",
"카타르","1인당 국민총소득(당해년가격)[달러]","달러","56745.1316950069","61110.3442009866","67679.9184770261",
"사우디아라비아","1인당 국민총소득(당해년가격)[달러]","달러","20363.5056032527","21125.6531577521","23440.3952009147",
"싱가포르","1인당 국민총소득(당해년가격)[달러]","달러","52342.4290753606","55162.7254532528","58974.9714701698",
"스리랑카","1인당 국민총소득(당해년가격)[달러]","달러","3815.4557903463","4056.4630253012","4074.1639565028",
