"국가별","항목","단위","2015 년","2016 년","2017 년","2018 년",
"세계","도시화율[%]","%","53.9278464928","54.3815736989","54.8350314018","55.285172337",
"한국","도시화율[%]","%","81.634","81.562","81.503","81.459",
"아프가니스탄","도시화율[%]","%","24.803","25.02","25.25","25.495",
"아르메니아","도시화율[%]","%","63.085","63.082","63.103","63.149",
"아제르바이잔","도시화율[%]","%","54.714","55.021","55.343","55.68",
"바레인","도시화율[%]","%","88.999","89.09","89.186","89.287",
"방글라데시","도시화율[%]","%","34.308","35.083","35.858","36.632",
"부탄","도시화율[%]","%","38.678","39.428","40.167","40.895",
"브루나이","도시화율[%]","%","76.663","76.99","77.312","77.629",
"캄보디아","도시화율[%]","%","22.188","22.582","22.98","23.388",
"중국","도시화율[%]","%","55.5","56.736","57.96","59.152",
"키프로스","도시화율[%]","%","66.946","66.881","66.836","66.81",
"동티모르","도시화율[%]","%","29.49","29.85","30.212","30.578",
"조지아","도시화율[%]","%","57.448","57.837","58.231","58.632",
"홍콩","도시화율[%]","%","100","100","100","100",
"인도","도시화율[%]","%","32.777","33.182","33.6","34.03",
"인도네시아","도시화율[%]","%","53.313","53.989","54.659","55.325",
"이란","도시화율[%]","%","73.358","73.88","74.394","74.898",
"이라크","도시화율[%]","%","69.921","70.094","70.278","70.473",
"이스라엘","도시화율[%]","%","92.179","92.256","92.336","92.418",
"일본","도시화율[%]","%","91.381","91.457","91.535","91.616",
"요르단","도시화율[%]","%","90.256","90.506","90.747","90.979",
"카자흐스탄","도시화율[%]","%","57.191","57.264","57.336","57.428",
"북한","도시화율[%]","%","61.277","61.471","61.678","61.899",
"쿠웨이트","도시화율[%]","%","100","100","100","100",
"키르기즈스탄","도시화율[%]","%","35.777","35.944","36.135","36.351",
"라오스","도시화율[%]","%","33.108","33.736","34.368","35.004",
"레바논","도시화율[%]","%","88.106","88.266","88.429","88.593",
"마카오","도시화율[%]","%","100","100","100","100",
"말레이시아","도시화율[%]","%","74.213","74.84","75.447","76.036",
"몰디브","도시화율[%]","%","38.529","38.954","39.38","39.808",
"몽골","도시화율[%]","%","68.23","68.297","68.363","68.445",
"미얀마","도시화율[%]","%","29.858","30.082","30.322","30.579",
"네팔","도시화율[%]","%","18.557","18.942","19.336","19.74",
"오만","도시화율[%]","%","81.35","82.5","83.56","84.539",
"파키스탄","도시화율[%]","%","36.026","36.234","36.442","36.666",
"필리핀","도시화율[%]","%","46.284","46.475","46.682","46.907",
"카타르","도시화율[%]","%","98.945","99.015","99.078","99.135",
"사우디아라비아","도시화율[%]","%","83.18","83.401","83.622","83.844",
"싱가포르","도시화율[%]","%","100","100","100","100",
"스리랑카","도시화율[%]","%","18.256","18.311","18.384","18.476",
"시리아","도시화율[%]","%","52.168","52.835","53.5","54.162",
"타지키스탄","도시화율[%]","%","26.742","26.851","26.982","27.134",
"태국","도시화율[%]","%","47.694","48.448","49.2","49.949",
"터키","도시화율[%]","%","73.611","74.134","74.644","75.143",
"투르크메니스탄","도시화율[%]","%","50.317","50.728","51.153","51.593",
"아랍에미리트","도시화율[%]","%","85.674","85.965","86.248","86.522",
"우즈베키스탄","도시화율[%]","%","50.75","50.65","50.55","50.478",
"베트남","도시화율[%]","%","33.809","34.51","35.213","35.919",
"예멘","도시화율[%]","%","34.777","35.394","36.016","36.642",
"버뮤다","도시화율[%]","%","100","100","100","100",
"캐나다","도시화율[%]","%","81.259","81.3","81.35","81.411",
"멕시코","도시화율[%]","%","79.285","79.577","79.867","80.156",
"미국","도시화율[%]","%","81.671","81.862","82.058","82.256",
"안길라","도시화율[%]","%","100","100","100","100",
"앤티가바부다","도시화율[%]","%","25","24.846","24.713","24.599",
"아르헨티나","도시화율[%]","%","91.503","91.627","91.749","91.87",
"바하마","도시화율[%]","%","82.746","82.832","82.925","83.025",
"바베이도스","도시화율[%]","%","31.249","31.193","31.159","31.147",
"벨리즈","도시화율[%]","%","45.406","45.495","45.601","45.724",
"볼리비아","도시화율[%]","%","68.393","68.738","69.08","69.425",
"브라질","도시화율[%]","%","85.77","86.042","86.309","86.569",
"영국령버진아일랜드","도시화율[%]","%","46.583","46.957","47.337","47.723",
"케이맨제도","도시화율[%]","%","100","100","100","100",
"칠레","도시화율[%]","%","87.36","87.422","87.49","87.564",
"콜롬비아","도시화율[%]","%","79.764","80.108","80.446","80.778",
"코스타리카","도시화율[%]","%","76.862","77.735","78.56","79.34",
"쿠바","도시화율[%]","%","76.896","76.93","76.977","77.037",
"도미니카연방","도시화율[%]","%","69.579","69.88","70.181","70.483",
"도미니카공화국","도시화율[%]","%","78.566","79.436","80.277","81.074",
"에콰도르","도시화율[%]","%","63.398","63.534","63.67","63.821",
"엘살바도르","도시화율[%]","%","69.7","70.501","71.275","72.023",
"포클랜드","도시화율[%]","%","76.268","76.744","77.206","77.654",
"프랑스령기아나","도시화율[%]","%","84.482","84.766","85.042","85.31",
"그레나다","도시화율[%]","%","35.997","36.072","36.164","36.272",
"과들루프","도시화율[%]","%","98.443","98.452","98.463","98.474",
"과테말라","도시화율[%]","%","49.971","50.319","50.68","51.054",
"가이아나","도시화율[%]","%","26.441","26.482","26.538","26.606",
"아이티","도시화율[%]","%","52.427","53.396","54.346","55.278",
"온두라스","도시화율[%]","%","55.165","55.813","56.457","57.096",
"자메이카","도시화율[%]","%","54.833","55.098","55.378","55.674",
"마르티니크","도시화율[%]","%","88.981","88.995","89.018","89.049",
"몬서랫","도시화율[%]","%","9.041","9.041","9.048","9.063",
"니카라과","도시화율[%]","%","57.895","58.09","58.299","58.522",
"파나마","도시화율[%]","%","66.696","67.027","67.365","67.709",
"파라과이","도시화율[%]","%","60.75","61.026","61.3","61.585",
"페루","도시화율[%]","%","77.357","77.539","77.72","77.907",
"푸에르토리코","도시화율[%]","%","93.624","93.602","93.587","93.578",
"세인트키츠네비스","도시화율[%]","%","30.827","30.79","30.773","30.776",
"세인트루시아","도시화율[%]","%","18.515","18.558","18.612","18.678",
"세인트빈센트그레나딘","도시화율[%]","%","50.964","51.373","51.784","52.198",
"수리남","도시화율[%]","%","66.056","66.04","66.041","66.06",
"트리니다드토바고","도시화율[%]","%","53.319","53.25","53.205","53.184",
"터크스케이커스제도","도시화율[%]","%","92.195","92.517","92.817","93.098",
"미국령버진아일랜드","도시화율[%]","%","95.35","95.48","95.603","95.721",
"우루과이","도시화율[%]","%","95.045","95.144","95.24","95.334",
"베네수엘라","도시화율[%]","%","88.154","88.165","88.183","88.208",
"알바니아","도시화율[%]","%","57.434","58.421","59.383","60.319",
"안도라","도시화율[%]","%","88.345","88.248","88.15","88.062",
"오스트리아","도시화율[%]","%","57.715","57.905","58.094","58.297",
"벨라루스","도시화율[%]","%","77.181","77.661","78.134","78.595",
"벨기에","도시화율[%]","%","97.876","97.919","97.961","98.001",
"보스니아-헤르체고비나","도시화율[%]","%","47.173","47.518","47.876","48.245",
"불가리아","도시화율[%]","%","73.99","74.329","74.669","75.008",
"샤넬군도","도시화율[%]","%","30.962","30.93","30.914","30.914",
"크로아티아","도시화율[%]","%","56.155","56.403","56.667","56.947",
"체코","도시화율[%]","%","73.477","73.57","73.675","73.792",
"덴마크","도시화율[%]","%","87.526","87.642","87.757","87.874",
"에스토니아","도시화율[%]","%","68.416","68.563","68.717","68.88",
"페로제도","도시화율[%]","%","41.638","41.777","41.914","42.064",
"핀란드","도시화율[%]","%","85.225","85.275","85.325","85.382",
"프랑스","도시화율[%]","%","79.655","79.917","80.18","80.444",
"독일","도시화율[%]","%","77.2","77.224","77.261","77.312",
"지브롤터","도시화율[%]","%","100","100","100","100",
"그리스","도시화율[%]","%","78.046","78.387","78.724","79.058",
"교황청","도시화율[%]","%","100","100","100","100",
"헝가리","도시화율[%]","%","70.5","70.779","71.062","71.351",
"아이슬란드","도시화율[%]","%","93.7","93.735","93.773","93.813",
"아일랜드","도시화율[%]","%","62.538","62.737","62.947","63.17",
"맨섬","도시화율[%]","%","52.245","52.343","52.458","52.588",
"이탈리아","도시화율[%]","%","69.565","69.855","70.144","70.438",
"라트비아","도시화율[%]","%","67.98","68.021","68.075","68.142",
"리히텐슈타인","도시화율[%]","%","14.303","14.303","14.315","14.338",
"리투아니아","도시화율[%]","%","67.23","67.366","67.516","67.679",
"룩셈부르크","도시화율[%]","%","90.179","90.46","90.727","90.981",
"몰타","도시화율[%]","%","94.414","94.48","94.546","94.612",
"몰도바","도시화율[%]","%","42.49","42.511","42.557","42.629",
"모나코","도시화율[%]","%","100","100","100","100",
"네덜란드","도시화율[%]","%","90.173","90.635","91.077","91.49",
"노르웨이","도시화율[%]","%","81.091","81.485","81.871","82.248",
"폴란드","도시화율[%]","%","60.278","60.178","60.105","60.058",
"포르투갈","도시화율[%]","%","63.514","64.086","64.652","65.211",
"루마니아","도시화율[%]","%","53.887","53.9","53.936","53.998",
"러시아","도시화율[%]","%","74.05","74.164","74.292","74.433",
"산마리노","도시화율[%]","%","96.739","96.91","97.072","97.226",
"슬로바키아","도시화율[%]","%","53.889","53.806","53.751","53.726",
"슬로베니아","도시화율[%]","%","53.781","54.02","54.273","54.541",
"스페인","도시화율[%]","%","79.602","79.84","80.08","80.321",
"스웨덴","도시화율[%]","%","86.553","86.852","87.146","87.431",
"스위스","도시화율[%]","%","73.718","73.739","73.761","73.797",
"우크라이나","도시화율[%]","%","69.061","69.154","69.246","69.352",
"영국","도시화율[%]","%","82.626","82.886","83.143","83.398",
"알제리","도시화율[%]","%","70.848","71.459","72.052","72.629",
"앙골라","도시화율[%]","%","63.446","64.149","64.839","65.514",
"베냉","도시화율[%]","%","45.695","46.229","46.768","47.312",
"보츠와나","도시화율[%]","%","67.155","67.933","68.7","69.446",
"부르키나파소","도시화율[%]","%","27.53","28.134","28.743","29.358",
"부룬디","도시화율[%]","%","12.078","12.388","12.706","13.032",
"카메룬","도시화율[%]","%","54.578","55.179","55.777","56.374",
"카보베르데","도시화율[%]","%","64.3","64.784","65.261","65.732",
"중앙아프리카공화국","도시화율[%]","%","40.277","40.618","40.98","41.364",
"차드","도시화율[%]","%","22.515","22.677","22.858","23.059",
"코모로","도시화율[%]","%","28.47","28.619","28.784","28.965",
"콩고","도시화율[%]","%","65.543","66.001","66.459","66.916",
"코트디부아르","도시화율[%]","%","49.444","49.881","50.326","50.779",
"지부티","도시화율[%]","%","77.417","77.528","77.648","77.777",
"이집트","도시화율[%]","%","42.785","42.732","42.705","42.704",
"적도기니","도시화율[%]","%","70.616","71.138","71.646","72.143",
"에리트레아","도시화율[%]","%","38.206","38.827","39.451","40.08",
"에티오피아","도시화율[%]","%","19.428","19.866","20.31","20.763",
"가봉","도시화율[%]","%","88.118","88.559","88.976","89.37",
"감비아","도시화율[%]","%","59.228","59.918","60.599","61.27",
"가나","도시화율[%]","%","54.086","54.749","55.407","56.06",
"기니","도시화율[%]","%","35.141","35.46","35.793","36.14",
"기니비사우","도시화율[%]","%","42.123","42.533","42.945","43.36",
"케냐","도시화율[%]","%","25.658","26.105","26.562","27.03",
"레소토","도시화율[%]","%","26.908","27.317","27.73","28.153",
"라이베리아","도시화율[%]","%","49.82","50.254","50.697","51.151",
"리비아","도시화율[%]","%","79.27","79.54","79.817","80.102",
"마다가스카르","도시화율[%]","%","35.193","35.856","36.522","37.191",
"말라위","도시화율[%]","%","16.313","16.506","16.714","16.937",
"말리","도시화율[%]","%","39.991","40.783","41.572","42.356",
"모리타니","도시화율[%]","%","51.089","51.962","52.824","53.672",
"모리셔스","도시화율[%]","%","41","40.91","40.841","40.793",
"모로코","도시화율[%]","%","60.809","61.36","61.908","62.453",
"모잠비크","도시화율[%]","%","34.4","34.926","35.455","35.988",
"나미비아","도시화율[%]","%","46.9","47.961","49.005","50.032",
"니제르","도시화율[%]","%","16.247","16.29","16.35","16.425",
"나이지리아","도시화율[%]","%","47.838","48.683","49.519","50.344",
"레위니옹","도시화율[%]","%","99.339","99.429","99.503","99.564",
"르완다","도시화율[%]","%","17.004","17.056","17.125","17.211",
"상투메프린시페","도시화율[%]","%","70.174","71.092","71.968","72.803",
"세네갈","도시화율[%]","%","45.862","46.296","46.74","47.192",
"세이셸","도시화율[%]","%","55.4","55.831","56.261","56.691",
"시에라리온","도시화율[%]","%","40.829","41.228","41.636","42.055",
"소말리아","도시화율[%]","%","43.245","43.816","44.391","44.971",
"남아프리카공화국","도시화율[%]","%","64.828","65.341","65.85","66.355",
"수단","도시화율[%]","%","33.894","34.121","34.37","34.642",
"에스와티니","도시화율[%]","%","23.3","23.459","23.625","23.799",
"탄자니아","도시화율[%]","%","31.617","32.333","33.053","33.776",
"토고","도시화율[%]","%","40.1","40.628","41.162","41.702",
"튀니지","도시화율[%]","%","68.056","68.346","68.642","68.945",
"우간다","도시화율[%]","%","22.06","22.624","23.196","23.774",
"잠비아","도시화율[%]","%","41.907","42.438","42.976","43.521",
"짐바브웨","도시화율[%]","%","32.385","32.296","32.237","32.209",
"오스트레일리아","도시화율[%]","%","85.701","85.8","85.904","86.012",
"피지","도시화율[%]","%","54.726","55.235","55.742","56.248",
"괌","도시화율[%]","%","94.534","94.617","94.699","94.78",
"뉴질랜드","도시화율[%]","%","86.341","86.4","86.466","86.538",
"파푸아뉴기니","도시화율[%]","%","13.012","13.05","13.102","13.169",
