"국가별","항목","단위","2010 년","2015 년","2020 년",
"한국","순이동률[천명당]","천명당","-.637","1.599",".23",
"아프가니스탄","순이동률[천명당]","천명당","-7.632","3.282","-1.716",
"아르메니아","순이동률[천명당]","천명당","-12.519","-2.105","-1.697",
"아제르바이잔","순이동률[천명당]","천명당","1.22",".182",".121",
"바레인","순이동률[천명당]","천명당","51.079","6.43","31.105",
"방글라데시","순이동률[천명당]","천명당","-4.542","-3.037","-2.303",
"부탄","순이동률[천명당]","천명당","-3.289",".085",".427",
"브루나이","순이동률[천명당]","천명당","-1.198","-.449","",
"캄보디아","순이동률[천명당]","천명당","-4.292","-2.011","-1.861",
"중국","순이동률[천명당]","천명당","-.323","-.224","-.245",
"키프로스","순이동률[천명당]","천명당","10.963","3.96","4.222",
"동티모르","순이동률[천명당]","천명당","-7.292","-4.896","-4.283",
"조지아","순이동률[천명당]","천명당","-5.768","-4.695","-2.496",
"홍콩","순이동률[천명당]","천명당","2.614","2.117","3.992",
"인도","순이동률[천명당]","천명당","-.446","-.369","-.396",
"인도네시아","순이동률[천명당]","천명당","-1.14","-.363","-.372",
"이란","순이동률[천명당]","천명당","-1.608","-1.32","-.677",
"이라크","순이동률[천명당]","천명당","-7.78","7.984",".207",
"이스라엘","순이동률[천명당]","천명당","7.888",".509","1.202",
"일본","순이동률[천명당]","천명당",".432",".558",".562",
"요르단","순이동률[천명당]","천명당","19.958","25.575","1.05",
"카자흐스탄","순이동률[천명당]","천명당","-.445","1.89","-.99",
"북한","순이동률[천명당]","천명당","-.204","-.217","-.212",
"쿠웨이트","순이동률[천명당]","천명당","36.449","33.98","9.751",
"키르기즈스탄","순이동률[천명당]","천명당","-2.919","-3.281","-.641",
"라오스","순이동률[천명당]","천명당","-3.675","-3.458","-2.098",
"레바논","순이동률[천명당]","천명당","-1.114","41.525","-4.493",
"마카오","순이동률[천명당]","천명당","16.602","14.856","7.991",
"말레이시아","순이동률[천명당]","천명당","5.654","1.71","1.596",
"몰디브","순이동률[천명당]","천명당","10.502","28.445","22.844",
"몽골","순이동률[천명당]","천명당","-.839","-.298","-.272",
"미얀마","순이동률[천명당]","천명당","-5.372","-2.046","-3.05",
"네팔","순이동률[천명당]","천명당","-7.366","-15.105","1.486",
"오만","순이동률[천명당]","천명당","19.234","48.478","18.647",
"파키스탄","순이동률[천명당]","천명당","-.4","-1.139","-1.11",
"팔레스타인","순이동률[천명당]","천명당","-5.432","-7.318","-2.194",
"필리핀","순이동률[천명당]","천명당","-3.435","-1.703","-.634",
"카타르","순이동률[천명당]","천명당","134.414","54.713","14.688",
"사우디아라비아","순이동률[천명당]","천명당","8.377","11.653","4.058",
"싱가포르","순이동률[천명당]","천명당","30.706","11.826","4.724",
"스리랑카","순이동률[천명당]","천명당","-5.226","-4.71","-4.631",
"시리아","순이동률[천명당]","천명당","3.726","-54.746","-24.08",
"대만","순이동률[천명당]","천명당","2.179","1.455","1.267",
"타지키스탄","순이동률[천명당]","천명당","-4.073","-3.428","-2.223",
"태국","순이동률[천명당]","천명당",".178",".492",".281",
"터키","순이동률[천명당]","천명당","-.143","4.675","3.487",
"투르크메니스탄","순이동률[천명당]","천명당","-2.549","-1.878","-.862",
"아랍에미리트","순이동률[천명당]","천명당","109.374","6.063","4.177",
"우즈베키스탄","순이동률[천명당]","천명당","-1.02","-.447","-.275",
"베트남","순이동률[천명당]","천명당","-1.863","-.886","-.842",
"예멘","순이동률[천명당]","천명당","-.608","-.604","-1.065",
"캐나다","순이동률[천명당]","천명당","8.001","7.076","6.562",
"멕시코","순이동률[천명당]","천명당","-1.022","-.716","-.478",
"미국","순이동률[천명당]","천명당","3.595","3.151","2.929",
"아르헨티나","순이동률[천명당]","천명당","-.602",".143",".109",
"바하마","순이동률[천명당]","천명당","8.553","2.742","2.606",
"바베이도스","순이동률[천명당]","천명당","-.178","-.28","-.277",
"벨리즈","순이동률[천명당]","천명당","5.755","4.445","3.164",
"볼리비아","순이동률[천명당]","천명당","-1.404","-1.102","-.843",
"브라질","순이동률[천명당]","천명당","",".016",".102",
"칠레","순이동률[천명당]","천명당","1.289","1.869","6.024",
"콜롬비아","순이동률[천명당]","천명당","-.888","-.834","4.162",
"코스타리카","순이동률[천명당]","천명당","1.369",".834",".845",
"쿠바","순이동률[천명당]","천명당","-4.269","-1.419","-1.271",
"도미니카공화국","순이동률[천명당]","천명당","-3.273","-3.064","-2.84",
"에콰도르","순이동률[천명당]","천명당","-.624","-.487","2.15",
"엘살바도르","순이동률[천명당]","천명당","-9.339","-7.688","-6.329",
"프랑스령기아나","순이동률[천명당]","천명당","2.756","-.856","4.288",
"과들루프","순이동률[천명당]","천명당","-6.066","-7.857","-3.598",
"과테말라","순이동률[천명당]","천명당","-1.648","-.649","-.539",
"가이아나","순이동률[천명당]","천명당","-13.394","-9.229","-7.722",
