"국가(1)",국가(2),2012,2013,2014,2015,2016
"아시아",한국,2.5,2.5,2.5,2.5,2.5
"아시아",아제르바이잔,2.5,2.5,2.5,2.5,2.5
"아시아",중국,10.4,9.8,9.2,8.8,8.7
"아시아",키프로스,4.3,4.4,4.5,4.5,4.6
"아시아",조지아,8.0,7.6,7.5,7.4,7.4
"아시아",중국령 홍콩,2.5,2.5,2.5,2.5,2.5
"아시아",인도,17.2,16.7,16.0,15.3,14.8
"아시아",인도네시아,8.5,7.6,6.9,7.3,7.7
"아시아",이란,5.6,5.4,5.2,5.1,4.9
"아시아",이라크,26.8,27.4,27.7,27.8,27.7
"아시아",이스라엘,2.5,2.5,2.5,2.5,2.5
"아시아",일본,2.5,2.5,2.5,2.5,2.5
"아시아",요르단,9.5,10.7,12.0,12.9,13.5
"아시아",카자흐스탄,2.5,2.5,2.5,2.5,2.5
"아시아",북한,41.6,41.7,42.3,42.8,43.4
"아시아",쿠웨이트,2.5,2.5,2.5,2.5,2.5
"아시아",키르기스스탄,7.3,6.9,6.6,6.5,6.5
"아시아",레바논,7.6,9.3,10.5,10.9,10.9
"아시아",말레이시아,3.4,3.2,3.0,2.9,2.9
"아시아",오만,5.1,5.1,5.1,5.3,5.4
"아시아",파키스탄,21.0,21.1,21.2,20.9,20.5
"아시아",필리핀,14.1,14.2,14.2,13.9,13.7
"아시아",사우디아라비아,5.7,5.5,5.4,5.5,5.5
"아시아",스리랑카,12.3,11.6,11.0,10.8,10.9
"아시아",태국,8.8,9.0,9.2,9.2,9.0
"아시아",터키,2.5,2.5,2.5,2.5,2.5
"아시아",투르크메니스탄,4.9,4.8,4.8,5.1,5.5
"아시아",아랍 에미리트 연합국,5.1,4.5,3.9,3.1,2.5
"아시아",우즈베키스탄,7.6,7.4,7.4,7.3,7.4
"아시아",베트남,12.6,12.1,11.6,11.1,10.8
"아시아",예멘,25.9,27.7,30.2,32.6,34.4
"북아메리카",캐나다,2.5,2.5,2.5,2.5,2.5
"북아메리카",멕시코,4.6,4.4,4.2,4.0,3.8
"북아메리카",미국,2.5,2.5,2.5,2.5,2.5
"남아메리카",아르헨티나,3.7,3.5,3.4,3.6,3.8
"남아메리카",바베이도스,4.7,4.4,4.0,3.8,3.7
"남아메리카",볼리비아,22.9,21.4,19.9,19.6,19.8
"남아메리카",브라질,2.5,2.5,2.5,2.5,2.5
"남아메리카",칠레,3.8,3.7,3.6,3.3,3.3
"남아메리카",콜럼비아,10.0,8.9,7.9,7.1,6.5
"남아메리카",코스타리카,5.4,5.5,5.4,4.9,4.4
"남아메리카",쿠바,2.5,2.5,2.5,2.5,2.5
"남아메리카",에콰도르,8.3,8.2,8.2,8.0,7.8
"남아메리카",엘살바도르,12.3,11.8,11.3,11.0,10.3
"남아메리카",과테말라,16.4,16.6,16.5,16.1,15.8
"남아메리카",온두라스,15.3,15.4,15.6,15.5,15.3
